Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution]
EPPN1_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN1_L,,,,,,,,,,,"e.g. seeds were stored in some conditions, and exposed to something, and then treated with somehing else priot to sowing",,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-01711,Column,,row=1; column=2; rep=1
EPPN1_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN1_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-01712,Column,,row=1; column=10; rep=2
EPPN1_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN1_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-01713,Column,,row=2; column=7; rep=3
EPPN1_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN1_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-01714,Column,,row=3; column=10; rep=4
EPPN1_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN1_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-01715,Column,,row=4; column=1; rep=5
EPPN1_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN1_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-01716,Column,,row=6; column=1; rep=6
EPPN2_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN2_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-02711,Column,,row=2; column=2; rep=1
EPPN2_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN2_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-02712,Column,,row=2; column=9; rep=2
EPPN2_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN2_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-02713,Column,,row=3; column=7; rep=3
EPPN2_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN2_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-02714,Column,,row=5; column=7; rep=4
EPPN2_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN2_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-02715,Column,,row=5; column=10; rep=5
EPPN2_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN2_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-02716,Column,,row=6; column=8; rep=6
EPPN3_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN3_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-03711,Column,,row=2; column=6; rep=1
EPPN3_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN3_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-03712,Column,,row=3; column=6; rep=2
EPPN3_L,NCBITAXON:4577 ,Zea,Zea Mays,EPPN3_L,,,,,,,,,,,,,,,,,,,,,,,,,Growth,Root column,7 L,1,Compost,100% F2,6.5,None,ZM009-03713,Column,,row=4; column=6; rep=3
