image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-01711	A	19/03/2021	lateral	2319	1195	789	730	286	125	17	3	52	23
ZM009-01711	A	26/03/2021	lateral	8015	8664	8642	7171	4228	2216	504	1466	908	10731
ZM009-01711	A	02/04/2021	lateral	10199	17967	16449	10690	4605	1494	1987	6694	3003	7429
ZM009-01711	A	09/04/2021	lateral	8707	10527	17004	12626	10216	8635	9725	11201	13015	18271
ZM009-01711	A	16/04/2021	lateral	8237	10918	19240	19496	20056	27383	35667	20249	19857	32678
ZM009-01711	A	26/04/2021	lateral	7281	9086	17990	20175	21677	24347	31990	16510	17681	31328
ZM009-01711	B	19/03/2021	lateral	53	14	14	4	0	0	0	0	141	23
ZM009-01711	B	26/03/2021	lateral	333	4830	3907	5994	3654	1946	2129	131	264	12627
ZM009-01711	B	02/04/2021	lateral	2205	14389	21043	19214	18260	15693	17334	9857	2520	2285
ZM009-01711	B	09/04/2021	lateral	2617	15011	21977	22647	24308	22582	23986	17499	11530	15085
ZM009-01711	B	16/04/2021	lateral	2978	9712	26511	32991	39469	36324	32480	22985	17093	32694
ZM009-01711	B	26/04/2021	lateral	1994	4851	16161	26579	32848	31061	29275	19777	14332	30722
ZM009-01711	C	19/03/2021	lateral	181	40	76	64	153	81	24	0	3	0
ZM009-01711	C	26/03/2021	lateral	352	1639	4683	6540	8371	6051	1269	873	449	9133
ZM009-01711	C	02/04/2021	lateral	888	6364	16359	15276	11646	7239	5250	1460	423	5667
ZM009-01711	C	09/04/2021	lateral	2294	7769	16905	16975	15659	14606	12434	7796	5777	17551
ZM009-01711	C	16/04/2021	lateral	3156	5756	13753	18215	19774	25107	25568	23084	20852	35670
ZM009-01711	C	26/04/2021	lateral	2131	3768	8670	10846	17832	22357	24346	22439	19132	32839
ZM009-01711	D	19/03/2021	lateral	303	192	303	149	40	75	26	9	164	70
ZM009-01711	D	26/03/2021	lateral	328	4439	8506	6150	4253	2137	433	364	1421	11162
ZM009-01711	D	02/04/2021	lateral	1236	14279	22428	20999	18526	9084	8487	4070	10478	12748
ZM009-01711	D	09/04/2021	lateral	2412	14224	23625	24231	26363	18050	18967	16397	18678	20556
ZM009-01711	D	16/04/2021	lateral	2404	12878	24466	27294	31163	27447	30786	27268	33174	45758
ZM009-01711	D	26/04/2021	lateral	1860	8307	19979	21547	25819	22859	27103	24552	29080	44517
ZM009-01712	A	19/03/2021	lateral	1600	150	23	32	19	0	0	0	112	301
ZM009-01712	A	26/03/2021	lateral	7313	5379	2070	1646	763	57	29	86	259	9102
ZM009-01712	A	02/04/2021	lateral	6532	9885	6335	5083	5332	3983	3532	1251	1571	12707
ZM009-01712	A	09/04/2021	lateral	4925	1011	672	782	716	434	551	488	193	1343
ZM009-01712	A	16/04/2021	lateral	4445	11831	7378	21599	25439	23418	24764	17914	15715	45292
ZM009-01712	A	26/04/2021	lateral	5625	10292	8780	20445	21666	22162	23391	17802	17346	41990
ZM009-01712	B	19/03/2021	lateral	79	328	779	506	8	0	5	5	223	88
ZM009-01712	B	26/03/2021	lateral	1333	9988	9814	7769	3365	1959	483	414	591	12438
ZM009-01712	B	02/04/2021	lateral	2029	11460	15635	13787	6714	8775	9216	3589	3145	8366
ZM009-01712	B	09/04/2021	lateral	3937	916	637	983	422	638	512	349	449	252
ZM009-01712	B	16/04/2021	lateral	2538	12498	19047	32714	33772	30669	31750	22400	20722	33808
ZM009-01712	B	26/04/2021	lateral	2427	9912	15984	22870	30242	26385	31526	25513	24137	35452
ZM009-01712	C	19/03/2021	lateral	115	0	33	31	15	4	42	22	126	73
ZM009-01712	C	26/03/2021	lateral	173	1022	3148	2011	844	899	439	790	655	8689
ZM009-01712	C	02/04/2021	lateral	981	3949	7947	12183	9894	11505	9569	6989	3781	11609
ZM009-01712	C	09/04/2021	lateral	3440	1273	1064	1797	1370	1127	848	670	225	755
ZM009-01712	C	16/04/2021	lateral	1711	4179	9526	16556	15626	22293	25284	27192	33418	40430
ZM009-01712	C	26/04/2021	lateral	3728	3884	7123	10910	9519	14743	19581	22838	30794	40805
ZM009-01712	D	19/03/2021	lateral	2	9	14	0	27	0	2	0	55	111
ZM009-01712	D	26/03/2021	lateral	1015	686	1136	1562	2087	1069	300	228	584	6869
ZM009-01712	D	02/04/2021	lateral	1931	5152	4295	5204	9887	5769	3487	3062	4455	7858
ZM009-01712	D	09/04/2021	lateral	5741	1803	1229	1359	1903	1403	1425	947	821	1459
ZM009-01712	D	16/04/2021	lateral	2941	4968	6888	11536	17066	18206	21951	20886	16457	30214
ZM009-01712	D	26/04/2021	lateral	3486	6040	9961	11873	16007	12896	16948	15639	13006	33620
ZM009-01713	A	19/03/2021	lateral	1190	37	0	27	119	111	24	0	11	0
ZM009-01713	A	26/03/2021	lateral	6958	7197	2597	1052	1655	716	382	511	707	10120
ZM009-01713	A	02/04/2021	lateral	5788	14401	8734	4490	3072	2473	785	263	485	3235
ZM009-01713	A	09/04/2021	lateral	5755	11413	9476	5664	5374	5705	4935	3232	1445	2765
ZM009-01713	A	16/04/2021	lateral	6746	9877	10024	6407	5760	7281	9867	7725	4111	15740
ZM009-01713	A	26/04/2021	lateral	4805	6075	10298	7016	6423	7144	12231	13632	12682	32265
ZM009-01713	B	19/03/2021	lateral	349	56	312	130	5	19	0	9	0	14
ZM009-01713	B	26/03/2021	lateral	1088	1017	3249	2191	1702	631	353	167	268	10156
ZM009-01713	B	02/04/2021	lateral	2741	1839	5937	3594	5361	1317	1161	987	847	1589
ZM009-01713	B	09/04/2021	lateral	3043	2018	6273	3607	4795	1207	1323	1064	799	1083
ZM009-01713	B	16/04/2021	lateral	3004	4662	10083	4137	6200	1898	2709	2720	2327	16861
ZM009-01713	B	26/04/2021	lateral	3417	5451	15624	7802	13734	14049	18405	21853	21872	37220
ZM009-01713	C	19/03/2021	lateral	25	151	526	40	4	24	8	15	27	313
ZM009-01713	C	26/03/2021	lateral	91	394	580	1404	407	435	567	478	576	14800
ZM009-01713	C	02/04/2021	lateral	389	984	1546	3920	1275	1664	1862	1142	336	6548
ZM009-01713	C	09/04/2021	lateral	1151	908	1608	3659	2713	3107	3565	3938	4857	10747
ZM009-01713	C	16/04/2021	lateral	1159	794	1716	4186	2890	3571	4362	5246	10334	22200
ZM009-01713	C	26/04/2021	lateral	1940	2440	5627	6598	8941	9951	10993	10144	14926	34389
ZM009-01713	D	19/03/2021	lateral	328	797	1360	448	324	304	27	0	153	72
ZM009-01713	D	26/03/2021	lateral	1038	2148	4921	3329	2421	2095	1738	232	395	12067
ZM009-01713	D	02/04/2021	lateral	1013	4373	9448	10282	7224	5739	5520	872	1174	1714
ZM009-01713	D	09/04/2021	lateral	1485	4829	9429	12042	9796	9250	11990	7373	8461	6593
ZM009-01713	D	16/04/2021	lateral	1619	5038	9971	12337	10952	10147	13549	10698	11879	24482
ZM009-01713	D	26/04/2021	lateral	1547	4164	9518	12596	13261	11401	15495	12928	11621	31478
