plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-01	A	19/03/2021	lat:tot	0.286389444	0.302506985	0.407018877	0.454969933	0.447547272	0.494412378	0.454734909	0.429510847	0.251003036	0.604238409	0.092738763	0.160845294	0.05334841	0.036610573	0.072381679	0.054711407	0.058202895	0.104474254	0.139721069	0.014936578	6	3	3	4	4	3	3	2	3	2
ZM009-01	A	26/03/2021	lat:tot	0.301946009	0.298755841	0.297261355	0.335748816	0.401233883	0.415125577	0.402685738	0.497474539	0.329375992	0.721791551	0.091170166	0.084456876	0.103073247	0.081460529	0.078313717	0.051317481	0.162423873	0.175541274	0.161927	0.079914863	6	6	6	6	6	5	5	4	6	6
ZM009-01	A	02/04/2021	lat:tot	0.280248886	0.323714254	0.309657588	0.312150693	0.306593786	0.377464106	0.31562124	0.224938259	0.238900738	0.497683815	0.051197787	0.021877667	0.045278673	0.059322423	0.078146574	0.120204125	0.14588932	0.125198523	0.121960695	0.167453499	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	09/04/2021	lat:tot	0.266169702	0.345486556	0.383154374	0.388669854	0.399753829	0.476310988	0.428861384	0.41415512	0.368349905	0.419277011	0.029236068	0.099984126	0.088913394	0.088726288	0.076347146	0.078476231	0.120050825	0.111034239	0.109758923	0.145293278	6	6	6	6	6	6	6	6	5	6
ZM009-01	A	16/04/2021	lat:tot	0.273032784	0.285421653	0.291603649	0.334872074	0.362219867	0.41256009	0.369883196	0.309951087	0.249802823	0.293916259	0.036829781	0.073336103	0.029421931	0.04070412	0.064261	0.040514438	0.05941715	0.04793996	0.072065758	0.062483192	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	26/04/2021	lat:tot	0.275630861	0.306168752	0.298568069	0.355230995	0.356600978	0.420156468	0.405041973	0.350586563	0.291875685	0.284109664	0.050630342	0.080402848	0.047833566	0.043056985	0.063458521	0.070628372	0.051082237	0.055211385	0.064749334	0.043203023	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	19/03/2021	lat:tot	0.271264502	0.290622429	0.347093946	0.322907958	NA	NA	NA	NA	0.198396811	NA	0.157519604	0.080713916	0.070781444	NA	NA	NA	NA	NA	NA	NA	4	3	5	1	0	0	0	0	1	0
ZM009-01	B	26/03/2021	lat:tot	0.230167026	0.316662674	0.315858271	0.360844336	0.360199139	0.31910305	0.430282781	0.281255262	0.269046729	0.751325716	0.086910228	0.128311559	0.101844669	0.106486238	0.130410375	0.126398793	0.182366647	0.227898155	0.130661497	0.078051055	5	6	6	6	6	6	5	4	6	6
ZM009-01	B	02/04/2021	lat:tot	0.351770152	0.297824706	0.315933206	0.314842138	0.382163903	0.330752495	0.33879112	0.30502834	0.316870118	0.490025188	0.067042686	0.072884426	0.045665524	0.068465951	0.092633075	0.064782343	0.093127816	0.150007302	0.132903533	0.074535952	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	09/04/2021	lat:tot	0.443813102	0.362422095	0.376616472	0.376202589	0.425927893	0.371641141	0.395717926	0.449714564	0.434989883	0.420180243	0.065280554	0.103552049	0.085409325	0.080551383	0.082583036	0.060486114	0.11574026	0.141581149	0.141219777	0.127165496	6	6	6	6	6	6	6	6	6	5
