plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-01	A	19/03/2021	lat:vert	0.421414326	0.489432807	0.695231921	0.840781809	0.834932876	0.992537839	0.84857255	0.782776157	0.370431816	1.528574615	0.186114457	0.365234348	0.147456688	0.119653109	0.253261483	0.202951034	0.205437273	0.326481595	0.284189572	0.095431829	6	3	3	4	4	3	3	2	3	2
ZM009-01	A	26/03/2021	lat:vert	0.453601659	0.444665457	0.451420599	0.526756577	0.69529024	0.719556168	0.768806037	1.151601821	0.567955564	2.877315981	0.194440796	0.186892886	0.234745615	0.209759784	0.232517259	0.139702188	0.443296877	0.630293013	0.382965472	1.230825402	6	6	6	6	6	5	5	4	6	6
ZM009-01	A	02/04/2021	lat:vert	0.395183122	0.479928196	0.453835526	0.463616375	0.45753714	0.660704514	0.522903084	0.321563062	0.346113249	1.270063968	0.098210009	0.046884016	0.096704208	0.136799538	0.165149458	0.343219713	0.355552955	0.235046696	0.241936797	1.031609786	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	09/04/2021	lat:vert	0.364494536	0.55840207	0.652945324	0.66336774	0.68996184	0.951128561	0.8270519	0.764494323	0.634375035	0.826441853	0.0536838	0.242041495	0.265406901	0.228755504	0.22675139	0.335327531	0.436807197	0.36639163	0.36867144	0.509658229	6	6	6	6	6	6	6	6	5	6
ZM009-01	A	16/04/2021	lat:vert	0.378502664	0.410706085	0.413599254	0.50816601	0.580254711	0.709278687	0.600003955	0.454814388	0.343667574	0.426489735	0.069355384	0.132280248	0.056673743	0.092148251	0.147239423	0.121549721	0.166194872	0.097541889	0.134049456	0.139101978	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	26/04/2021	lat:vert	0.386244175	0.457300916	0.431126055	0.556831427	0.56596191	0.744321371	0.69256243	0.548826391	0.422182217	0.401346126	0.098570801	0.16660286	0.096413102	0.10589847	0.142758007	0.195455851	0.164787272	0.126784598	0.131932034	0.089271793	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	19/03/2021	lat:vert	0.430824029	0.422354619	0.546470909	0.476904082	NA	NA	NA	NA	0.247500028	NA	0.364869639	0.167287217	0.17167173	NA	NA	NA	NA	NA	NA	NA	4	3	5	1	0	0	0	0	1	0
ZM009-01	B	26/03/2021	lat:vert	0.311263529	0.514684664	0.486446278	0.602154401	0.622543018	0.510822782	0.922306203	0.538913386	0.410172141	3.467828664	0.136450935	0.331817554	0.201814184	0.272994252	0.354488977	0.275153928	0.669160549	0.630789557	0.283800265	1.731597932	5	6	6	6	6	6	5	4	6	6
ZM009-01	B	02/04/2021	lat:vert	0.55655363	0.437677723	0.467357634	0.471814756	0.656172552	0.505543662	0.536340195	0.506804126	0.515094622	0.993848652	0.161593133	0.156820863	0.099285949	0.14776598	0.302984012	0.141018745	0.205655624	0.386709255	0.319274671	0.273158627	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	09/04/2021	lat:vert	0.819772855	0.605934048	0.634768201	0.625559686	0.77482329	0.603450429	0.709836771	0.932999602	0.876896601	0.795353622	0.223773377	0.278918378	0.269697062	0.209539998	0.275394436	0.150038057	0.347619877	0.545698257	0.522667842	0.407894621	6	6	6	6	6	6	6	6	6	5
ZM009-01	B	16/04/2021	lat:vert	0.866165078	0.437200715	0.388922567	0.46966139	0.689857138	0.481467535	0.458324118	0.422701392	0.389706012	0.42509781	0.200537335	0.11535464	0.120051325	0.110928681	0.20585321	0.108904881	0.150423597	0.09196891	0.10238152	0.089632544	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	26/04/2021	lat:vert	1.174991904	0.530559129	0.405794043	0.466368054	0.72208526	0.557158208	0.592689249	0.490433598	0.448567124	0.400791791	0.276096454	0.124498863	0.115016335	0.142216037	0.154376207	0.059710496	0.202295391	0.087590886	0.128979829	0.064667112	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	19/03/2021	lat:vert	0.696275975	0.143701575	0.805500681	0.914161249	0.658907791	0.828764503	0.742668343	NA	0.188610691	NA	0.379560933	NA	NA	NA	0.287663719	NA	NA	NA	0.068577682	NA	2	1	1	1	2	1	1	0	3	0
ZM009-01	C	26/03/2021	lat:vert	0.724527457	0.305755257	0.413530579	0.690104591	0.685347269	0.782563072	0.990066232	0.775901619	0.372343368	4.00424274	0.451460494	0.262089304	0.355973177	0.391843451	0.512537488	0.299838339	0.380659589	0.543144184	0.224912579	1.441365148	4	5	6	6	6	6	5	5	5	6
ZM009-01	C	02/04/2021	lat:vert	0.683285453	0.328501835	0.419349785	0.455993904	0.438868995	0.492971021	0.42662862	0.3010276	0.248570315	3.45249324	0.331707199	0.125374157	0.212298757	0.089131712	0.183978939	0.164978565	0.153753658	0.185702703	0.155705537	6.273730377	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	09/04/2021	lat:vert	0.952345965	0.558596587	0.531430931	0.716496433	0.713924578	0.663733566	0.758482619	0.796686861	0.59908962	1.032044064	0.144269347	0.325996469	0.215610497	0.3621073	0.288794921	0.333750105	0.412218709	0.571207607	0.348544942	0.710413187	6	6	6	6	6	6	6	6	5	6
ZM009-01	C	16/04/2021	lat:vert	0.85857209	0.378617233	0.402216487	0.430486669	0.444198255	0.457008042	0.444756235	0.380560965	0.388053872	0.41870325	0.151718961	0.197203891	0.162350039	0.059692883	0.073767821	0.107996405	0.096706522	0.092128972	0.091099711	0.160680743	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	26/04/2021	lat:vert	1.21791688	0.522028356	0.441242357	0.436998302	0.446154664	0.503248521	0.513593752	0.424409867	0.394799775	0.40731484	0.503923232	0.203034137	0.170536769	0.137173205	0.118260329	0.086618756	0.146278529	0.110267102	0.105312178	0.083036971	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	19/03/2021	lat:vert	0.565900621	0.397773838	0.532762911	0.698814795	0.763975582	0.878446009	0.792273112	NA	0.188726038	0.617850674	0.345927207	0.21395383	0.206692339	0.130387378	0.50910358	0.446175146	NA	NA	0.100915684	NA	3	4	5	3	2	2	1	0	4	1
ZM009-01	D	26/03/2021	lat:vert	0.657993276	0.354252629	0.494100097	0.635211715	0.858107896	0.835226148	0.685931392	0.821618552	0.315740473	2.991685409	0.25341409	0.230097856	0.235701894	0.291616424	0.472857409	0.465974971	0.414676641	0.599517754	0.111912859	1.22054149	6	6	6	6	6	6	6	5	6	6
ZM009-01	D	02/04/2021	lat:vert	0.640181107	0.381359405	0.403486202	0.508034278	0.488370529	0.430271819	0.531127295	0.493701917	0.472404519	0.973029085	0.27528033	0.137861308	0.119498649	0.128025662	0.209849936	0.166340298	0.216014227	0.182133704	0.272803456	0.4016412	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	09/04/2021	lat:vert	0.859975575	0.571883326	0.537904074	0.701782656	0.739631492	0.749506404	0.763044183	0.83086499	0.875953328	1.359390278	0.277810876	0.323928488	0.193927559	0.190779596	0.189434762	0.223261334	0.239363224	0.354039995	0.504066675	1.447494837	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	16/04/2021	lat:vert	0.760613065	0.320315784	0.341459296	0.500604888	0.528047375	0.481097406	0.533661254	0.463911554	0.418114106	0.415192096	0.196608342	0.06586418	0.0784163	0.132657628	0.116977303	0.092811485	0.105799773	0.112574678	0.115118291	0.170359422	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	26/04/2021	lat:vert	0.942437215	0.359349223	0.338373079	0.515283631	0.532793885	0.511995965	0.587153743	0.544821849	0.443717464	0.424190011	0.148656463	0.092449679	0.08080967	0.169100693	0.079528966	0.147265588	0.141100561	0.171142933	0.096905575	0.096344768	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	19/03/2021	lat:vert	0.410881528	0.475048337	0.711750119	0.614797551	0.711087097	0.807551066	0.955143216	0.858050677	0.651377819	0.9727743	0.178921001	0.212720318	0.446527589	0.235919576	0.238660851	0.044837181	NA	NA	0.795978551	0.3221778	6	6	3	3	3	2	1	1	2	2
ZM009-02	A	26/03/2021	lat:vert	0.47758919	0.442561409	0.463099697	0.746463259	0.900140922	0.775382989	0.878442928	1.576626351	0.564647191	4.469645594	0.107501868	0.195194361	0.177777267	0.231867823	0.10662436	0.287622429	0.212491564	0.470657141	0.460146711	1.99116625	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	02/04/2021	lat:vert	0.265871225	0.302979527	0.386043964	0.431679686	0.486368308	0.522747062	0.429090369	0.463158109	0.324743894	0.88757808	0.027438103	0.120624236	0.176668756	0.138964722	0.191895502	0.273937219	0.165433832	0.168137984	0.166458336	0.393224342	6	6	6	6	6	6	6	6	5	5
ZM009-02	A	09/04/2021	lat:vert	0.310200053	0.364067394	0.427160843	0.581060825	0.595120733	0.706845734	0.688566919	0.58768556	0.517552933	0.552130801	0.085474262	0.183941878	0.152871066	0.178734658	0.211166004	0.331844299	0.281625298	0.354497818	0.352161787	0.306990993	6	6	6	6	6	6	6	6	6	6
