plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-01	A	19/03/2021	vert:tot	0.713608863	0.697485321	0.592976967	0.545025557	0.552447659	0.505581219	0.545258324	0.570480521	0.748982747	0.395750466	0.092739244	0.160838337	0.053347085	0.036612803	0.072377658	0.054716002	0.058209636	0.104481234	0.13972447	0.014924418	6	3	3	4	4	3	3	2	3	2
ZM009-01	A	26/03/2021	vert:tot	0.698053508	0.701243343	0.702737362	0.664249091	0.5987632	0.584870334	0.59730583	0.502520042	0.670617331	0.278207462	0.091170447	0.084457343	0.103074033	0.081461717	0.078314427	0.051319353	0.162425246	0.175544668	0.161929992	0.079915562	6	6	6	6	6	5	5	4	6	6
ZM009-01	A	02/04/2021	vert:tot	0.719750778	0.676285471	0.69034206	0.687848786	0.693405524	0.62253495	0.684377638	0.7750605	0.761096711	0.502315145	0.051197862	0.021877665	0.045278729	0.059322475	0.078146356	0.120204043	0.145889128	0.125198244	0.121962605	0.167453441	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	09/04/2021	vert:tot	0.733829934	0.654512426	0.616844072	0.611328819	0.600244668	0.523686315	0.57113649	0.585842585	0.631649466	0.580721863	0.029236111	0.099985351	0.088915665	0.088727275	0.076348549	0.078480767	0.120053737	0.111037233	0.109758753	0.145294486	6	6	6	6	6	6	6	6	5	6
ZM009-01	A	16/04/2021	vert:tot	0.726966811	0.714578084	0.708396068	0.665127643	0.637779875	0.587439655	0.630116613	0.690048726	0.750196991	0.706083637	0.036829772	0.073336149	0.029421879	0.04070417	0.064260949	0.040514403	0.05941716	0.047939971	0.072065728	0.062483261	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	26/04/2021	vert:tot	0.724368708	0.693830922	0.701431656	0.64476872	0.643398727	0.579843246	0.594957801	0.649413232	0.708124157	0.715890257	0.050630342	0.080402884	0.047833572	0.043057019	0.063458501	0.070628364	0.051082246	0.055211424	0.064749345	0.043203041	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	19/03/2021	vert:tot	0.728721531	0.709370701	0.652896647	0.67708566	NA	NA	NA	NA	0.801594292	NA	0.157519054	0.080711824	0.070782453	NA	NA	NA	NA	NA	NA	NA	4	3	5	1	0	0	0	0	1	0
ZM009-01	B	26/03/2021	vert:tot	0.769830459	0.683336156	0.68414069	0.639153582	0.639798538	0.68089418	0.569710315	0.71873891	0.730946359	0.248673173	0.086910285	0.128312163	0.101845431	0.106488457	0.130410594	0.126400736	0.182371046	0.227897944	0.130663805	0.078051947	5	6	6	6	6	6	5	4	6	6
ZM009-01	B	02/04/2021	vert:tot	0.648228109	0.702174871	0.684066539	0.685157547	0.617835633	0.669246623	0.661207709	0.694970026	0.683128502	0.509973516	0.067043126	0.072884208	0.045665562	0.068465878	0.092633355	0.064782972	0.093128733	0.150009054	0.132904306	0.07453601	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	09/04/2021	vert:tot	0.556185618	0.637576581	0.623381901	0.623796335	0.574070023	0.628356979	0.604279796	0.550281352	0.565006565	0.579818704	0.065280623	0.103553334	0.085412403	0.080552427	0.082583528	0.060488059	0.115742015	0.141586286	0.141224234	0.127166091	6	6	6	6	6	6	6	6	6	5
ZM009-01	B	16/04/2021	vert:tot	0.54097068	0.69923627	0.72442349	0.68389234	0.598532285	0.678107701	0.691611401	0.705397435	0.722933224	0.703968044	0.057211815	0.051492814	0.06178065	0.055187867	0.067021516	0.050769272	0.068931728	0.046622946	0.054789674	0.04327028	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	26/04/2021	vert:tot	0.465718974	0.656734202	0.715247018	0.687961335	0.584377107	0.642980487	0.636874801	0.672866652	0.695170541	0.71515588	0.056370592	0.049979427	0.057343748	0.07452638	0.049429308	0.024584222	0.085649887	0.039287679	0.065293968	0.033140136	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	19/03/2021	vert:tot	0.604651208	0.874341006	0.553854505	0.522404786	0.61199629	0.546807303	0.573815876	NA	0.843122854	NA	0.135295439	NA	NA	NA	0.106120935	NA	NA	NA	0.047341434	NA	2	1	1	1	2	1	1	0	3	0
ZM009-01	C	26/03/2021	vert:tot	0.608316735	0.787363943	0.736581935	0.616934532	0.637627272	0.574110208	0.518936317	0.60813424	0.745310026	0.212442699	0.147367241	0.135020257	0.140429798	0.13290572	0.177561736	0.093916744	0.108964853	0.187985979	0.127736381	0.054936015	4	5	6	6	6	6	5	5	5	6
ZM009-01	C	02/04/2021	vert:tot	0.614873984	0.758232651	0.717092847	0.688951247	0.704289734	0.676945944	0.707547359	0.780056608	0.810070416	0.46030218	0.128610686	0.070101001	0.101810903	0.041909381	0.087515179	0.077883901	0.073832591	0.096699576	0.088492401	0.215236481	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	09/04/2021	vert:tot	0.514752559	0.665255243	0.664961285	0.602004807	0.595637486	0.617004264	0.593664099	0.598071614	0.649225574	0.546385687	0.041499529	0.137003763	0.102689693	0.111385107	0.087605086	0.095748809	0.128943301	0.161577278	0.137481141	0.187827023	6	6	6	6	6	6	6	6	5	6
