barcode		leaf_no	shoot_fwt	root_fwt	shoot_dwt	root_dwt	shoot_dwt/fwt
ZM009-01711	9	70.9	52.5	12.3	22.3	17.348378
ZM009-01712	10	73.6	40.5	28.8	16.2	39.13043478
ZM009-01713	9	75.1	34	12.2	10.9	16.24500666
ZM009-01714	8	64.2	46.5	12.1	18.3	18.84735202
ZM009-01715	10	64	37.5	11.8	14.5	18.4375
ZM009-01716	10	59.9	34.4	12.4	16.1	20.70116861
ZM009-02711	10	68.1	41.5	20.3	16.3	29.80910426
ZM009-02712	9	74.3	37.9	13.8	16	18.57335128
ZM009-02713	10	71.3	45.6	15.5	20.1	21.73913043
ZM009-02714	9	67.6	31.5	12.1	12.3	17.89940828
ZM009-02715	8	64	44.2	12.6	21.9	19.6875
ZM009-02716	9	69.3	32.6	12.8	13.8	18.47041847
ZM009-03711	9	81.3	43.4	13.3	14.7	16.35916359
ZM009-03712	9	72.1	66.1	11.5	24.6	15.95006935
ZM009-03713	9	91.1	46.2	11.7	13.6	12.84302964
ZM009-03714	8	76.5	55.5	11.9	21.1	15.55555556
ZM009-03715	10	71.7	47.2	11.9	18.7	16.59693166
ZM009-03716	9	71.7	46.4	10.07	17.3	14.0446304
ZM009-04711	8	52.8	29.6	4.9	7.4	9.28030303
ZM009-04712	8	58.7	37.4	5.4	9.2	9.199318569
ZM009-04713	9	45.6	28.5	4.5	7	9.868421053
ZM009-04714	9	76.1	36.8	8.1	10.4	10.64388962
ZM009-04715	9	72.1	41.7	9.9	11.8	13.73092926
ZM009-04716	10	66.9	30.1	10.7	9.2	15.99402093
ZM009-05711	9	84.1	50.2	25.8	20.1	30.67776457
ZM009-05712	9	82.2	48.5	14.5	21	17.63990268
ZM009-05713	9	81.6	48.4	16.2	20.5	19.85294118
ZM009-05714	9	73.1	42.6	13	14.2	17.78385773
ZM009-05715	9	77.2	40.9	16.6	15.4	21.50259067
ZM009-05716	9	75.5	32.5	14.4	13.1	19.07284768
ZM009-06711	9	73.4	77.1	23.9	39.3	32.5613079
ZM009-06712	9	67.8	39.8	16.6	17.2	24.48377581
ZM009-06713	9	65.7	51.5	16.5	24.1	25.11415525
ZM009-06714	8	59.4	43.9	17.5	19.1	29.46127946
ZM009-06715	9	58.1	39.1	12.8	15.3	22.03098107
ZM009-06716	9	66.2	50.1	13.2	25	19.93957704
ZM009-07711	9	73.4	54.9	20.5	22.1	27.92915531
ZM009-07712	8	73.6	41.9	15.6	15.6	21.19565217
ZM009-07713	8	68.3	51.4	17.2	22.7	25.18301611
ZM009-07714	8	68.8	51.8	11.8	20.2	17.15116279
ZM009-07715	8	73.5	48.9	15.9	17.9	21.63265306
ZM009-07716	9	74.5	42.9	14.1	14.7	18.9261745
ZM009-08711	9	78.6	52.3	17.5	22.2	22.26463104
ZM009-08712	8	81.4	51.2	25.9	23.6	31.81818182
ZM009-08713	9	81.1	49.1	14.4	22.2	17.75585697
ZM009-08714	9	76.9	43.4	13.6	17.6	17.68530559
ZM009-08715	9	78.6	55.2	13.2	23.4	16.79389313
ZM009-08716	10	82.2	38	13.5	14	16.42335766
ZM009-09711	9	98.8	49.9	28.8	20.6	29.14979757
ZM009-09712	10	95.2	41.2	32.8	15.1	34.45378151
ZM009-09713	10	92.8	28.5	16.3	10.2	17.56465517
ZM009-09714	10	94.5	41.8	18.2	16.1	19.25925926
ZM009-09715	10	86.6	43.2	14	18	16.16628176
ZM009-09716	8	82.6	53.2	14.4	25.4	17.43341404
