plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-01	A	19/03/2021	lateral	1886.666667	962.6666667	1273	1453.75	2463.5	3818.666667	1460.666667	666.5	171	1367.5	674.8249156	787.6333749	945.0402108	1066.868431	2190.014536	3256.045813	1426.62901	417.9001077	55.83009941	1508.258764	6	3	3	4	4	3	3	2	3	2
ZM009-01	A	26/03/2021	lateral	7216.166667	4977.333333	3298.166667	2690	2151.666667	1711.4	1110.8	1250.75	564.6666667	10903.5	1843.90796	2620.553733	2651.82001	2346.132136	1411.903349	1132.719206	1119.202707	533.5793443	242.9194654	5178.591498	6	6	6	6	6	5	5	4	6	6
ZM009-01	A	02/04/2021	lateral	9022.333333	14262	10700	8214.333333	7062.833333	5955.5	4278.333333	3961.166667	2016.5	5899.5	2388.335376	7249.26457	5378.139939	4789.428929	5661.29545	4797.346131	3416.556844	3801.587743	1855.791341	3881.130956	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	09/04/2021	lateral	8006.5	11689.33333	10882	9548.833333	8587.5	10202.33333	9988.5	10371.66667	14000.4	13882.66667	2577.026795	9542.443076	7614.105043	6663.427599	5777.551722	6833.766711	6201.608041	6976.667791	7753.724995	9280.606482	6	6	6	6	6	6	6	6	5	6
ZM009-01	A	16/04/2021	lateral	6893.166667	11438.83333	11749.33333	14771.16667	17005.66667	19350.16667	22766.66667	19590.5	19357.33333	33877.66667	1379.698433	3777.236949	5411.465815	6594.130251	7814.74293	7287.855471	8965.417417	7095.563311	10362.58533	10108.42931	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	26/04/2021	lateral	6414.666667	9693.666667	11730.16667	15050.16667	14956.83333	17444.16667	19901.5	17956.66667	20216.33333	36368.33333	1225.740701	2688.424123	4299.914205	6388.482055	7203.993987	7207.348428	7378.139244	4313.773043	8193.283265	4171.843509	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	19/03/2021	lateral	211.75	502	454	506	NA	NA	NA	NA	223	NA	132.2759111	350.9928774	244.5393629	NA	NA	NA	NA	NA	NA	NA	4	3	5	1	0	0	0	0	1	0
ZM009-01	B	26/03/2021	lateral	1021.8	5851.666667	5548.333333	4942	3194.5	1628.5	1115.6	588.25	569.5	10536.33333	530.839618	4969.775032	3308.810401	2927.875271	1893.169697	676.1363028	898.501419	481.3746808	394.1998224	4136.567063	5	6	6	6	6	6	5	4	6	6
ZM009-01	B	02/04/2021	lateral	2393.166667	11725.16667	14889.5	12399.83333	10232.5	7922.5	6641	3756.833333	3874.333333	6262.833333	908.7645276	7339.239781	5684.765492	5499.866777	4636.475677	5162.538629	5935.555644	3197.593246	2019.269043	3925.812498	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	09/04/2021	lateral	3515	10118.16667	13573.33333	13448.33333	11735.33333	10726.16667	10099.5	8754	10631.5	17695.4	558.5183972	8240.11183	8853.180325	9270.865411	8568.575953	8869.137577	8595.758041	7200.983738	8526.41739	10701.71763	6	6	6	6	6	6	6	6	6	5
ZM009-01	B	16/04/2021	lateral	2628.166667	9438	16288.16667	20650	24016.33333	19764.5	20370.16667	16794.5	18014.33333	31822.66667	432.7666423	3743.709016	5803.209333	10880.64252	12629.26175	12452.95491	12444.089	8709.137793	8969.962802	8005.930768	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	26/04/2021	lateral	2928.5	7188.666667	14133.66667	17567.5	21731.33333	20424.66667	21084.16667	18436.66667	20112	34661.66667	759.0698914	2296.579166	2224.03765	6508.782029	8775.728133	7404.056474	9371.18002	5654.352613	5136.827153	3504.110082	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	19/03/2021	lateral	350	97	526	277	392.5	455	254	NA	97	NA	239.002092	NA	NA	NA	251.0229073	NA	NA	NA	25.15949125	NA	2	1	1	1	2	1	1	0	3	0
ZM009-01	C	26/03/2021	lateral	1085	1027.8	1911.5	2240.666667	2442	3123.5	1152.4	585.6	417	10332.5	1598.047767	538.7826092	1672.382821	2219.806989	3101.516919	3171.336989	630.2561384	258.7958655	209.1494681	4051.04721	4	5	6	6	6	6	5	5	5	6
ZM009-01	C	02/04/2021	lateral	708.1666667	3878.666667	9470	11107.83333	8600.833333	9161.5	6237.833333	4010.166667	1859	7440.166667	226.5898644	1750.791783	5693.38135	4500.550074	4715.312733	7105.082033	3976.587654	3322.80047	2255.035609	2552.297743	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	09/04/2021	lateral	2338.5	4933.166667	10314.16667	11369.83333	11431.16667	11007.66667	10003.5	10909.83333	12341.4	16953.5	845.0935451	3367.58747	8546.348985	7622.963267	8443.467591	9152.043699	7043.801381	9426.801269	9094.969725	11030.6242	6	6	6	6	6	6	6	6	5	6
