image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-01711	A	19/03/2021	vertical	11804	2994	1077	755	445	213	99	26	343	19
ZM009-01711	A	26/03/2021	vertical	35230	29324	18733	19105	5113	3102	2745	4477	3577	7055
ZM009-01711	A	02/04/2021	vertical	39315	44990	35055	29360	10392	4441	14585	21366	12180	4009
ZM009-01711	A	09/04/2021	vertical	30105	31469	36365	34563	20592	12793	21687	24230	26522	23534
ZM009-01711	A	16/04/2021	vertical	22171	31694	42193	47878	34319	45376	65032	54359	65984	82718
ZM009-01711	A	26/04/2021	vertical	16817	25935	37861	43686	32576	33815	49042	41890	49128	74387
ZM009-01711	B	19/03/2021	vertical	162	2	23	15	0	0	0	0	215	5
ZM009-01711	B	26/03/2021	vertical	3475	19034	25971	19971	14825	10100	4078	945	1437	5665
ZM009-01711	B	02/04/2021	vertical	3517	32555	53245	53962	37949	31715	27898	19991	10975	2563
ZM009-01711	B	09/04/2021	vertical	3727	32157	51333	53625	41565	34240	35519	27539	25500	18000
ZM009-01711	B	16/04/2021	vertical	2616	25304	62823	74335	66170	57934	69795	49141	43661	83307
ZM009-01711	B	26/04/2021	vertical	1385	10990	44663	60465	52634	48153	56910	39273	35418	69557
ZM009-01711	C	19/03/2021	vertical	423	76	120	134	335	116	69	64	113	0
ZM009-01711	C	26/03/2021	vertical	465	4748	18141	11519	8454	6231	1355	913	1171	3873
ZM009-01711	C	02/04/2021	vertical	777	14174	32367	34787	23757	10635	7754	10427	1764	5433
ZM009-01711	C	09/04/2021	vertical	2348	15039	33162	32543	29508	23015	23235	31099	19254	35185
ZM009-01711	C	16/04/2021	vertical	3202	13723	33851	40821	48321	47096	57335	68595	66990	109733
ZM009-01711	C	26/04/2021	vertical	1995	8070	22509	31255	39321	37140	47198	56228	59335	104127
ZM009-01711	D	19/03/2021	vertical	314	762	391	341	84	16	32	106	684	139
ZM009-01711	D	26/03/2021	vertical	346	13275	14414	8943	9194	4714	3157	1785	7893	5385
ZM009-01711	D	02/04/2021	vertical	1131	23299	45597	39714	38662	22353	18857	5285	14848	8603
ZM009-01711	D	09/04/2021	vertical	2057	25903	48991	36970	35950	29280	34680	45384	36035	24081
ZM009-01711	D	16/04/2021	vertical	2648	30502	59041	53611	58277	48236	72636	95242	86223	99963
ZM009-01711	D	26/04/2021	vertical	1891	24645	53065	43461	43829	37926	59228	83342	71132	75673
ZM009-01712	A	19/03/2021	vertical	5008	313	7	13	15	7	16	3	629	206
ZM009-01712	A	26/03/2021	vertical	12038	11104	7177	2949	712	62	64	84	1485	3916
ZM009-01712	A	02/04/2021	vertical	13031	20842	18839	14597	11710	4827	6350	9910	10106	15021
ZM009-01712	A	09/04/2021	vertical	15713	1088	619	895	754	279	373	378	158	815
ZM009-01712	A	16/04/2021	vertical	16119	21694	17656	35780	41220	25967	58810	58407	88187	111100
ZM009-01712	A	26/04/2021	vertical	17034	15575	15777	28853	35659	24680	40481	45766	72063	123091
ZM009-01712	B	19/03/2021	vertical	596	855	1850	1061	26	0	18	43	901	92
ZM009-01712	B	26/03/2021	vertical	2922	20147	18222	9515	3707	3661	759	926	2244	2498
ZM009-01712	B	02/04/2021	vertical	4086	33314	46033	24967	14302	17190	21201	23033	14492	14780
ZM009-01712	B	09/04/2021	vertical	3384	877	548	1083	553	794	492	229	258	161
ZM009-01712	B	16/04/2021	vertical	3922	31366	65334	56160	47187	63583	62333	67276	64678	75320
ZM009-01712	B	26/04/2021	vertical	2427	17989	53951	39834	30846	46829	48796	62680	63320	72541
ZM009-01712	C	19/03/2021	vertical	45	34	36	31	19	19	11	0	473	69
ZM009-01712	C	26/03/2021	vertical	335	8779	8531	6474	2636	932	348	518	1207	2390
ZM009-01712	C	02/04/2021	vertical	1088	20352	25439	32141	16688	26503	22887	27002	15228	24614
ZM009-01712	C	09/04/2021	vertical	3145	1293	1531	1352	1095	845	717	369	256	388
ZM009-01712	C	16/04/2021	vertical	1816	18618	30359	40555	26792	51318	53058	66964	68467	106267
ZM009-01712	C	26/04/2021	vertical	3972	10171	22120	30206	14128	30157	34217	41524	54373	107003
ZM009-01712	D	19/03/2021	vertical	0	2	19	34	28	0	21	0	1337	168
ZM009-01712	D	26/03/2021	vertical	1528	2867	3028	2155	1320	971	508	145	2531	1690
ZM009-01712	D	02/04/2021	vertical	3169	16359	20602	12993	30826	18044	7432	5917	17212	13692
ZM009-01712	D	09/04/2021	vertical	5355	1576	1922	1436	2218	1282	1380	711	502	342
ZM009-01712	D	16/04/2021	vertical	3130	14283	22628	19792	44731	45507	46507	51387	56933	109694
ZM009-01712	D	26/04/2021	vertical	3026	11619	21986	16513	34237	36156	31999	37272	39187	90992
ZM009-01713	A	19/03/2021	vertical	1910	8	11	35	154	101	22	0	69	10
ZM009-01713	A	26/03/2021	vertical	16241	15035	7407	1150	3448	834	312	282	711	2948
ZM009-01713	A	02/04/2021	vertical	16151	27599	22440	8584	13730	8000	3193	2712	2544	4673
ZM009-01713	A	09/04/2021	vertical	13469	21042	19771	8481	11421	8095	8911	5292	2981	4762
ZM009-01713	A	16/04/2021	vertical	14405	21572	23824	12984	17698	12341	17539	17081	14835	22810
ZM009-01713	A	26/04/2021	vertical	17811	15988	28267	14277	19536	17271	18291	22466	28556	57357
ZM009-01713	B	19/03/2021	vertical	363	116	856	261	23	11	4	1	0	44
ZM009-01713	B	26/03/2021	vertical	3918	3016	7727	6548	1456	904	187	132	400	4320
ZM009-01713	B	02/04/2021	vertical	6776	5943	12347	11463	4308	1913	1448	804	1157	1554
ZM009-01713	B	09/04/2021	vertical	4846	5964	13387	9446	3969	1818	2540	631	826	1157
ZM009-01713	B	16/04/2021	vertical	4294	9789	17924	15034	5856	3329	7750	6529	5813	29151
ZM009-01713	B	26/04/2021	vertical	3760	10817	28630	37933	22118	23772	23402	42181	38202	99226
ZM009-01713	C	19/03/2021	vertical	308	98	653	5	4	59	14	7	258	181
ZM009-01713	C	26/03/2021	vertical	157	1893	2691	1053	484	811	647	527	916	3466
ZM009-01713	C	02/04/2021	vertical	1778	4198	9839	11356	4057	6772	5423	6535	1746	5515
ZM009-01713	C	09/04/2021	vertical	1099	4401	8432	8824	3747	5868	4887	5105	5071	6807
ZM009-01713	C	16/04/2021	vertical	1406	4137	11009	11778	6386	9620	8719	13623	22467	30450
ZM009-01713	C	26/04/2021	vertical	1901	4931	16679	24147	26212	19954	24390	32362	34936	66778
ZM009-01713	D	19/03/2021	vertical	935	1127	3136	631	802	540	4	0	730	170
ZM009-01713	D	26/03/2021	vertical	4021	8893	10932	8890	3931	3230	1690	549	1036	3533
ZM009-01713	D	02/04/2021	vertical	3982	12410	22313	27161	26462	14264	7453	3601	2667	3980
ZM009-01713	D	09/04/2021	vertical	3830	12492	18976	21823	20587	14241	15971	7729	8723	5778
ZM009-01713	D	16/04/2021	vertical	3479	14918	24845	29217	26733	20840	25628	21935	19429	33691
ZM009-01713	D	26/04/2021	vertical	1731	14333	31499	32763	32562	28438	27226	19563	20050	67815
ZM009-01714	A	19/03/2021	vertical	4343	1804	2879	1652	3357	6045	1201	366	320	1525
