plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-01	A	19/03/2021	vertical	5338.5	1758.666667	1736.666667	1898.25	2632	4052.333333	2019	1054.5	567.3333333	865.5	3359.517391	1258.612464	993.24032	1705.569577	2136.102682	3275.468872	2208.688978	973.6860377	222.9895364	932.6738444	6	3	3	4	4	3	3	2	3	2
ZM009-01	A	26/03/2021	vertical	19696.66667	13076.16667	8652.166667	6266.333333	3207.833333	2724	1774	1801.25	1505.333333	4684.666667	10944.66887	8905.672673	6062.215912	6613.08387	1855.272424	2419.504598	1637.205699	1838.274077	1180.76478	2868.837233	6	6	6	6	6	5	5	4	6	6
ZM009-01	A	02/04/2021	vertical	24471.83333	29751.66667	23694.16667	18939.66667	14097.66667	9630.666667	9022	12348	6920.5	5986.166667	10314.47215	14537.9017	9834.02061	12804.14742	7100.487608	7438.37312	6103.306972	8794.281233	4507.821769	4578.135228	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	09/04/2021	vertical	22391.33333	23917.16667	18999.33333	16327.16667	13359.5	12062.83333	15604.66667	17062.16667	24329.2	26704.83333	7894.287724	14554.63109	11866.13391	11987.08864	8147.207785	7553.160144	10861.27902	12420.80149	15250.10284	25874.56284	6	6	6	6	6	6	6	6	5	6
ZM009-01	A	16/04/2021	vertical	18307	30557.66667	27744.5	30564.16667	28862.66667	27627.66667	39787.66667	44175.66667	57719	88242.5	2839.270047	13183.49583	9876.5678	16556.06629	10667.43324	11710.76426	18569.34321	16053.03221	25703.79579	34438.29805	6	6	6	6	6	6	6	6	6	6
ZM009-01	A	26/04/2021	vertical	16847.16667	23080.16667	27350.66667	28211.5	26103.33333	23792.16667	29624.83333	34378	49728.33333	94852.83333	1400.980145	8946.986876	7580.247639	14567.23807	9495.720292	8995.843872	12329.41261	10969.61802	17146.45503	24823.15433	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	19/03/2021	vertical	561.75	1110	890.4	1061	NA	NA	NA	NA	901	NA	225.0087035	339.9867644	572.2921457	NA	NA	NA	NA	NA	NA	NA	4	3	5	1	0	0	0	0	1	0
ZM009-01	B	26/03/2021	vertical	3386.4	13475	13728.5	9889.333333	7250.333333	5101.666667	1765.6	1895.5	2022.333333	3902.5	1137.83316	8845.610753	8438.695699	6470.943939	6537.415075	4502.892167	1509.922779	1966.621553	2172.257505	2156.624005	5	6	6	6	6	6	5	4	6	6
ZM009-01	B	02/04/2021	vertical	4619.666667	25110.5	33239.16667	26932.83333	18881	17265.5	14682.33333	11443	9701.333333	6687.5	2023.02661	10799.08075	14885.03422	14254.75518	11987.74177	11670.07182	11602.88458	8887.591642	5445.326938	4787.400537	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	09/04/2021	vertical	4477.666667	18219.66667	26185.16667	24455.66667	18733.5	20390	17704.5	15736.16667	19830.33333	31176.6	1161.467463	13405.76875	18874.59642	19589.69985	16270.78621	16978.27775	15428.42763	14307.16358	18501.9209	28187.08454	6	6	6	6	6	6	6	6	6	5
ZM009-01	B	16/04/2021	vertical	3201.833333	22216	46051.5	42200.5	38033.83333	41357.33333	42988.5	39973.33333	48302.33333	79173.33333	1003.689079	9206.582602	20016.74872	20528.53417	20424.69186	21314.76567	22457.8018	20280.60619	23979.88508	26337.28937	6	6	6	6	6	6	6	6	6	6
ZM009-01	B	26/04/2021	vertical	2595.5	13992.16667	37662.5	38491	30302.83333	36148.66667	36518.66667	38168.16667	46997.33333	88054.33333	818.1566476	5452.090293	12932.95902	11831.33085	12180.11217	10377.03173	14239.60437	13633.35345	13376.24461	13979.21748	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	19/03/2021	vertical	480.5	675	653	303	566.5	549	342	NA	528.3333333	NA	81.31727984	NA	NA	NA	133.6431816	NA	NA	NA	75.2351868	NA	2	1	1	1	2	1	1	0	3	0
ZM009-01	C	26/03/2021	vertical	1142.75	5810.4	7081.5	4654.5	5078.166667	4957.333333	1530.6	1000.8	1361.4	2932.333333	1039.076633	4985.725002	6768.737216	4492.859123	5323.128194	5772.35074	1523.661806	555.6812935	728.2240727	1328.685165	4	5	6	6	6	6	5	5	5	6
ZM009-01	C	02/04/2021	vertical	1210.333333	12366.5	21267	24258.16667	19949.33333	18436.5	17050.33333	13360.16667	6081.666667	9361.333333	530.6489109	5871.047462	7483.562334	9443.09753	11264.07863	13340.09275	15683.01548	9141.154619	5614.222819	8695.072321	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	09/04/2021	vertical	2511.5	10216.5	18748.33333	20772.66667	20631.33333	21311.33333	21048	23896.83333	32639.8	33702.33333	935.4532057	6319.335622	12894.26881	17894.91105	17040.95944	19476.26687	20585.79794	22458.22638	35202.81147	34806.47003	6	6	6	6	6	6	6	6	5	6
ZM009-01	C	16/04/2021	vertical	2257.166667	11628.33333	23975.5	32367.66667	37796.33333	43927.33333	48821.5	55907.16667	61548.66667	94052.5	1009.242967	6376.800159	7895.617512	12291.37764	18282.02339	17476.75396	20189.44965	22927.99134	23929.45925	32280.42196	6	6	6	6	6	6	6	6	6	6
ZM009-01	C	26/04/2021	vertical	2651.5	7869.666667	18125.66667	25012.5	31025.33333	33523.5	38614.66667	47092.33333	56880.33333	94417.5	831.8859898	3387.402289	3318.479632	5583.043785	9683.701062	8370.475847	9926.948648	12172.02086	19270.24624	16865.6758	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	19/03/2021	vertical	571.6666667	1542.75	1485	1459.333333	2341	1327	674	NA	843.75	403	323.704083	707.2332831	1158.151976	811.0883635	2176.474672	1112.986074	NA	NA	331.684966	NA	3	4	5	3	2	2	1	0	4	1
ZM009-01	D	26/03/2021	vertical	1808.166667	10421.5	8940.666667	5694	3660.333333	2140.666667	1293.166667	995.8	2454.166667	3895.5	1390.796235	7297.736355	5309.733954	4200.990169	3061.669261	1579.881472	1095.893137	496.4007454	2728.366575	2415.871416	6	6	6	6	6	6	6	5	6	6
ZM009-01	D	02/04/2021	vertical	2926.666667	23139.66667	30303.5	23755.16667	23461.16667	18989.16667	12997.5	7592.5	10750.5	7958.666667	1090.374737	7884.786507	10180.41348	9155.573066	10243.39841	3813.079932	5074.506272	4567.090485	5523.15963	3844.445586	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	09/04/2021	vertical	3996.333333	21147.66667	29784.16667	22780.66667	21424	21438.83333	24026.16667	24984.16667	31178.16667	35314.66667	1487.474459	13995.6932	22015.77121	13267.20381	13938.23982	14709.6172	16481.38578	19366.10825	28907.63084	34259.77513	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	16/04/2021	vertical	2826.833333	25002.5	41185.66667	37824.33333	41600.16667	47918.33333	49066.66667	59783.83333	67708.5	100668.8333	508.6654762	9491.257488	17664.65603	12574.08514	11871.12029	15697.10953	17702.11325	25140.01671	27411.67847	34824.98688	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	26/04/2021	vertical	2585.833333	19738.5	38595	33239.16667	35034	39088.5	38032.33333	46445.5	56256	95963.5	729.5470969	7084.25476	13384.77671	9694.900297	4590.384864	9421.10424	14317.45565	21733.80781	22549.19522	23145.17486	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	19/03/2021	vertical	6141.833333	1223.833333	2557	1051.333333	1449.666667	2587	3634	620	1169	1605.5	1806.529426	905.6532265	780.1461402	847.0680807	1180.049293	3262.590688	NA	NA	135.764502	584.777308	6	6	3	3	3	2	1	1	2	2
ZM009-02	A	26/03/2021	vertical	19821.83333	11455.5	8642	4059.333333	3132	2848.333333	2175.666667	1321.166667	1345.166667	2950	9339.051481	9455.090433	6764.096599	3268.791989	2955.683677	2745.244591	2596.249962	1608.731353	1102.010057	2034.02291	6	6	6	6	6	6	6	6	6	6
