timeNumber	timePoint	height_above_reference_corr	height_above_reference	wt	genotype	geno.decomp	rowId	colId	plotId
1	2020-09-10T00:00:00Z	10.358348147105502	10.268037767708314	0.5997702598847539	EPPN1_H	Hybrid	24	16	c24r16
1	2020-09-10T00:00:00Z	9.483960686985478	10.323020566999926	0.5997702598847539	EPPN1_H	Hybrid	26	18	c26r18
1	2020-09-10T00:00:00Z	10.285817935702218	10.323020566999926	0.5997702598847539	EPPN1_H	Hybrid	5	16	c5r16
1	2020-09-10T00:00:00Z	11.016313253008562	10.487968964874758	0.5997702598847539	EPPN1_H	Hybrid	19	15	c19r15
1	2020-09-10T00:00:00Z	12.345248900218767	13.264600329101105	0.5997702598847539	EPPN1_H	Hybrid	11	18	c11r18
1	2020-09-10T00:00:00Z	10.569590233586874	10.336766266822828	0.5997702598847539	EPPN1_H	Hybrid	8	14	c8r14
1	2020-09-10T00:00:00Z	10.024936909578578	10.350511966645733	0.5997702598847539	EPPN1_H	Hybrid	10	17	c10r17
1	2020-09-10T00:00:00Z	11.759477515763935	11.230236755311505	0.5997702598847539	EPPN1_H	Hybrid	14	14	c14r14
1	2020-09-10T00:00:00Z	7.887991989530228	7.780066099762928	0.5997702598847539	EPPN1_H	Hybrid	5	15	c5r15
1	2020-09-10T00:00:00Z	8.522011128134931	8.96219628453256	0.5997702598847539	EPPN1_H	Hybrid	16	17	c16r17
1	2020-09-10T00:00:00Z	10.947705848641222	10.570443163812175	0.5997941269209138	EPPN2_H	Hybrid	16	15	c16r15
1	2020-09-10T00:00:00Z	10.80961118451619	10.831611460447327	0.5997941269209138	EPPN2_H	Hybrid	3	15	c3r15
1	2020-09-10T00:00:00Z	11.20677211266558	11.037796957790867	0.5997941269209138	EPPN2_H	Hybrid	2	14	c2r14
1	2020-09-10T00:00:00Z	9.588029217586316	8.041234396398078	0.5997941269209138	EPPN2_H	Hybrid	25	14	c25r14
1	2020-09-10T00:00:00Z	7.780395575202894	8.371131192147743	0.5997941269209138	EPPN2_H	Hybrid	10	18	c10r18
1	2020-09-10T00:00:00Z	8.879901279137178	9.030924783647073	0.5997941269209138	EPPN2_H	Hybrid	6	17	c6r17
1	2020-09-10T00:00:00Z	7.999813489816599	8.907213485240948	0.5997941269209138	EPPN2_H	Hybrid	20	18	c20r18
1	2020-09-10T00:00:00Z	9.127286574495153	9.567007076740278	0.5997941269209138	EPPN2_H	Hybrid	22	17	c22r17
1	2020-09-10T00:00:00Z	9.983435564063708	10.185563568770899	0.5997941269209138	EPPN2_H	Hybrid	8	16	c8r16
1	2020-09-10T00:00:00Z	8.690647070801257	8.577316689491283	0.5997941269209138	EPPN2_H	Hybrid	22	16	c22r16
1	2020-09-10T00:00:00Z	7.503314397616871	6.9828155100345715	0.5997151877093994	EPPN3_H	Hybrid	1	14	c1r14
1	2020-09-10T00:00:00Z	7.1258336646631975	6.116836421191701	0.5997151877093994	EPPN3_H	Hybrid	19	14	c19r14
1	2020-09-10T00:00:00Z	8.880127926702707	9.635735575854792	0.5997151877093994	EPPN3_H	Hybrid	13	18	c13r18
1	2020-09-10T00:00:00Z	5.593578274063029	5.223365932703025	0.5997151877093994	EPPN3_H	Hybrid	23	16	c23r16
1	2020-09-10T00:00:00Z	8.893050629967712	9.154636082053198	0.5997151877093994	EPPN3_H	Hybrid	12	16	c12r16
1	2020-09-10T00:00:00Z	10.82444303348694	11.230236755311505	0.5997151877093994	EPPN3_H	Hybrid	7	17	c7r17
1	2020-09-10T00:00:00Z	9.430296717154594	9.113398982584489	0.5997151877093994	EPPN3_H	Hybrid	1	18	c1r18
1	2020-09-10T00:00:00Z	9.102278582721002	7.9999972969293704	0.5997151877093994	EPPN3_H	Hybrid	26	15	c26r15
1	2020-09-10T00:00:00Z	8.80664473598979	9.360821579396738	0.5997151877093994	EPPN3_H	Hybrid	14	17	c14r17
1	2020-09-10T00:00:00Z	10.284691314359277	10.116835069656386	0.5997151877093994	EPPN3_H	Hybrid	14	15	c14r15
1	2020-09-10T00:00:00Z	11.108583309009624	10.185563568770899	0.5995853336437847	EPPN4_H	Hybrid	25	15	c25r15
1	2020-09-10T00:00:00Z	10.826412031475616	11.285219554603115	0.5995853336437847	EPPN4_H	Hybrid	17	17	c17r17
1	2020-09-10T00:00:00Z	9.086377846128403	9.00343338400127	0.5995853336437847	EPPN4_H	Hybrid	4	15	c4r15
1	2020-09-10T00:00:00Z	11.095686485485558	11.134016856551186	0.5995853336437847	EPPN4_H	Hybrid	4	16	c4r16
1	2020-09-10T00:00:00Z	10.046820685726733	10.364257666468635	0.5995853336437847	EPPN4_H	Hybrid	3	18	c3r18
