date_time	sensorID	variable	value
2020-09-07T23:58:00Z	station_01/par_01	PAR	0
2020-09-08T00:17:00Z	station_01/co2_01	CO2	450
2020-09-08T00:33:00Z	station_01/multisens_01	Temperature	22.9
2020-09-08T00:55:00Z	station_01/multisens_01	Relative Humidity	100
2020-09-08T14:55:00Z	station_01/par_01	PAR	1015
2020-09-08T15:00:00Z	station_01/co2_01	CO2	672
2020-09-08T15:07:00Z	station_01/multisens_01	Temperature	40.29
2020-09-08T15:07:00Z	station_01/multisens_01	Relative Humidity	27.39
2020-09-08T20:26:00Z	station_01/par_01	PAR	0
2020-09-08T20:40:00Z	station_01/multisens_01	Temperature	21.92
2020-09-08T20:40:00Z	station_01/co2_01	CO2	403
2020-09-08T23:04:00Z	station_01/multisens_01	Relative Humidity	77.28
2020-09-09T14:58:00Z	station_01/par_01	PAR	989
2020-09-09T15:13:00Z	station_01/multisens_01	Relative Humidity	22.43
2020-09-09T15:18:00Z	station_01/multisens_01	Temperature	41.22
2020-09-09T16:45:00Z	station_01/co2_01	CO2	603
2020-09-09T17:43:00Z	station_01/par_01	PAR	58
2020-09-09T20:42:00Z	station_01/multisens_01	Relative Humidity	55.14
2020-09-09T21:26:00Z	station_01/multisens_01	Temperature	23.95
2020-09-10T03:29:00Z	station_01/co2_01	CO2	396
2020-09-10T06:59:00Z	station_01/multisens_01	Relative Humidity	71.5
2020-09-10T12:04:00Z	station_01/par_01	PAR	667
2020-09-10T12:38:00Z	station_01/multisens_01	Temperature	36.6
2020-09-10T14:03:00Z	station_01/multisens_01	Temperature	21.6
2020-09-10T14:03:00Z	station_01/par_01	PAR	35
2020-09-10T14:49:00Z	station_01/co2_01	CO2	660
2020-09-10T15:54:00Z	station_01/multisens_01	Relative Humidity	26.65
2020-09-11T03:15:00Z	station_01/co2_01	CO2	385
2020-09-11T04:07:00Z	station_01/multisens_01	Relative Humidity	75.04
2020-09-11T11:04:00Z	station_01/par_01	PAR	686
2020-09-11T11:15:00Z	station_01/multisens_01	Temperature	34.57
2020-09-11T14:01:00Z	station_01/co2_01	CO2	685
2020-09-11T14:09:00Z	station_01/multisens_01	Relative Humidity	26.04
2020-09-15T02:23:00Z	station_01/multisens_01	Relative Humidity	65.68
2020-09-15T02:25:00Z	station_01/co2_01	CO2	401
2020-09-15T09:58:00Z	station_01/par_01	PAR	422
2020-09-15T15:11:00Z	station_01/multisens_01	Temperature	35.43
2020-09-15T15:11:00Z	station_01/multisens_01	Relative Humidity	26.29
2020-09-15T18:52:00Z	station_01/par_01	PAR	0
2020-09-16T00:07:00Z	station_01/multisens_01	Temperature	20.82
2020-09-16T01:05:00Z	station_01/multisens_01	Relative Humidity	82.42
2020-09-16T13:23:00Z	station_01/multisens_01	Relative Humidity	31.31
2020-09-16T14:09:00Z	station_01/multisens_01	Temperature	36.64
2020-09-16T15:08:00Z	station_01/par_01	PAR	634
2020-09-16T15:28:00Z	station_01/co2_01	CO2	619
2020-09-16T19:14:00Z	station_01/multisens_01	Temperature	20
2020-09-16T19:14:00Z	station_01/par_01	PAR	6
2020-09-16T19:14:00Z	station_01/co2_01	CO2	367
2020-09-17T01:20:00Z	station_01/multisens_01	Relative Humidity	93.42
2020-09-17T15:11:00Z	station_01/par_01	PAR	654
2020-09-17T15:33:00Z	station_01/multisens_01	Temperature	32.85
2020-09-17T15:33:00Z	station_01/multisens_01	Relative Humidity	35.97
2020-09-17T16:52:00Z	station_01/co2_01	CO2	436
2020-09-17T18:47:00Z	station_01/par_01	PAR	3
2020-09-17T22:50:00Z	station_01/multisens_01	Temperature	24.5
2020-09-17T23:43:00Z	station_01/multisens_01	Relative Humidity	59.65
2020-09-18T12:45:00Z	station_01/multisens_01	Relative Humidity	34
2020-09-18T12:45:00Z	station_01/par_01	PAR	557
2020-09-18T13:04:00Z	station_01/multisens_01	Temperature	35.26
2020-09-18T13:53:00Z	station_01/par_01	PAR	125
