timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	solidity.S.000	solidity.S.090	solidity.T.000	areaRaw.S.000	areaRaw.S.090	areaRaw.T.000	convex_hull_areaRaw.S.000	convex_hull_areaRaw.S.090	convex_hull_areaRaw.T.000	height_above_referenceRaw.S.000	height_above_referenceRaw.S.090
2020-09-10 09:10:51	2020-09-10	DIC09D11G09	EPPN3_H	Hybrid	14	1	9	c1r14	0.2656407807995299	0.3370364777703475	0.5650242658550629	7233	7812	6869	27228.5	23178.5	12157	257	251
2020-09-10 09:11:06	2020-09-10	DIC09D11F09	EPPN2_H	Hybrid	14	2	9	c2r14	0.12350177285680103	0.3163426868372384	0.44152923538230887	11355	11888	12958	91942	37579.5	29348	401	402
2020-09-10 09:12:36	2020-09-10	DIC09D11C09	EPPN3_L	Line	14	5	9	c5r14	0.37976975811667313	0.49503840058515175	0.7624903920061491	13212	10152	5952	34789.5	20507.5	7806	315	319
2020-09-10 09:13:14	2020-09-10	DIC09D11D09	EPPN4_L	Line	14	6	9	c6r14	0.19175309891221856	0.6181308172893025	0.7213736545361353	4169	4848	7037	21741.5	7843	9755	143	148
2020-09-10 09:13:52	2020-09-10	DIC09D11H09	EPPN4_H	Hybrid	14	7	9	c7r14	0.14221938193271558	0.43524686755970277	0.6370088116218147	7789	9049	6687	54767.5	20790.5	10497.5	406	398
2020-09-10 09:14:30	2020-09-10	DIC09D11E09	EPPN1_H	Hybrid	14	8	9	c8r14	0.17757141844474375	0.724531349914179	0.4512826478971555	12525	10764	11637	70535	14856.5	25786.5	383	369
2020-09-10 09:15:08	2020-09-10	DIC09D11I09	EPPN20_T	Line	14	9	9	c9r14	0.18615909671793485	0.5888832790195988	0.5088161209068011	6191	6415	4747	33256.5	10893.5	9329.5	285	292
2020-09-10 09:15:46	2020-09-10	DIC09D11B09	EPPN2_L	Line	14	10	9	c10r14	0.1723734609512415	0.41461140229589377	0.74234774376775	9653	6447	9410	56000.5	15549.5	12676	302	309
2020-09-10 09:17:44	2020-09-10	DIC09D11A09	EPPN1_L	Line	14	13	9	c13r14	0.149632027361285	0.591552795031056	0.7070587188084146	12250	11905	11915	81867.5	20125	16851.5	420	435
2020-09-10 09:18:25	2020-09-10	DIC09D11E10	EPPN1_H	Hybrid	14	14	10	c14r14	0.1653260592715531	0.3905621805792164	0.6426551143890301	10061	11463	8975	60855.5	29350	13965.5	414	403
2020-09-10 09:19:04	2020-09-10	DIC09D11C10	EPPN3_L	Line	14	15	10	c15r14	0.23681756414697183	0.7696965110118822	0.8104045678590601	13332	10170	8303	56296.5	13213	10245.5	410	367
2020-09-10 09:19:42	2020-09-10	DIC09D11B10	EPPN2_L	Line	14	16	10	c16r14	0.387657724525501	0.8081527013911356	0.8728668080379683	5484	3747	4322	14146.5	4636.5	4951.5	170	184
2020-09-10 09:20:20	2020-09-10	DIC09D11D10	EPPN4_L	Line	14	17	10	c17r14	0.3285120532003325	0.9460610361958836	0.8108982333913909	1976	1333	3259	6015	1409	4019	69	56
2020-09-10 09:21:00	2020-09-10	DIC09D11A10	EPPN1_L	Line	14	18	10	c18r14	0.2109038737446198	0.36102062975027144	0.41893528513506395	10437	8645	7956	49487	23946	18991	314	313
2020-09-10 09:21:38	2020-09-10	DIC09D11G10	EPPN3_H	Hybrid	14	19	10	c19r14	0.18392612859097127	0.7693710118505014	0.6960132890365448	5378	4642	4609	29240	6033.5	6622	222	223
2020-09-10 09:24:19	2020-09-10	DIC09D11H10	EPPN4_H	Hybrid	14	23	10	c23r14	0.15567525806382385	0.2853991812625007	0.5251171054756906	7254	7634	6502	46597	26748.5	12382	276	286
2020-09-10 09:24:57	2020-09-10	DIC09D11I10	EPPN20_T	Line	14	24	10	c24r14	0.27244052053448303	0.4470827403943891	0.5952380952380952	8594	5498	6200	31544.5	12297.5	10416	233	239
2020-09-10 09:25:21	2020-09-10	DIC09D11F10	EPPN2_H	Hybrid	14	25	10	c25r14	0.17095254123190845	0.6793658803246289	0.5638087300760496	10158	8078	10824	59420	11890.5	19198	294	291
2020-09-10 09:55:26	2020-09-10	DIC09D11A07	EPPN1_L	Line	15	1	7	c1r15	0.20578927380902148	0.4034355590062112	0.444242451115151	9754	8314	10019	47398	20608	22553	293	329
2020-09-10 09:56:04	2020-09-10	DIC09D11F07	EPPN2_H	Hybrid	15	3	7	c3r15	0.2074402318519471	0.190216430537667	0.17583080009989407	10486	11298	10209	50549.5	59395.5	58061.5	388	400
2020-09-10 09:56:42	2020-09-10	DIC09D11H07	EPPN4_H	Hybrid	15	4	7	c4r15	0.13816452320274997	0.49700846452893654	0.743913463636647	9325	9013	11932	67492	18134.5	16039.5	317	338
2020-09-10 09:57:06	2020-09-10	DIC09D11E07	EPPN1_H	Hybrid	15	5	7	c5r15	0.2032391904130073	0.6530155465489081	0.4942380183091007	9650	10795	9178	47481	16531	18570	289	277
2020-09-10 09:58:21	2020-09-10	DIC09D11I07	EPPN20_T	Line	15	7	7	c7r15	0.1923784494086728	0.505551759480697	0.1799509442239815	5856	5919	4512	30440	11708	25073.5	214	218
2020-09-10 09:59:34	2020-09-10	DIC09D11C07	EPPN3_L	Line	15	9	7	c9r15	0.22597302793735885	0.6340466383822118	0.5500714172353595	12056	10237	8665	53351.5	16145.5	15752.5	438	430
2020-09-10 10:01:15	2020-09-10	DIC09D11D07	EPPN4_L	Line	15	12	7	c12r15	0.1520186242712458	0.27862549075160886	0.2911449965137782	7640	6884	9604	50257	24707	32987	282	293
2020-09-10 10:01:39	2020-09-10	DIC09D11B07	EPPN2_L	Line	15	13	7	c13r15	0.25187663535366533	0.7461765839866341	0.8121953983905701	2936	2903	3583	11656.5	3890.5	4411.5	118	129
2020-09-10 10:02:15	2020-09-10	DIC09D11G07	EPPN3_H	Hybrid	15	14	7	c14r15	0.141629824726429	0.49325811777655476	0.7855114937265317	9034	10755	8577	63786	21804	10919	373	363
2020-09-10 10:02:53	2020-09-10	DIC09D11B08	EPPN2_L	Line	15	15	8	c15r15	0.46623046165030896	0.21744571754899697	0.4182463253928028	6413	8948	8252	13755	41150.5	19730	229	242
2020-09-10 10:03:31	2020-09-10	DIC09D11F08	EPPN2_H	Hybrid	15	16	8	c16r15	0.16220840700393543	0.21612745833958866	0.32581843082514683	9954	11517	12371	61365.5	53288	37969	379	390
2020-09-10 10:04:47	2020-09-10	DIC09D11I08	EPPN20_T	Line	15	18	8	c18r15	0.19265830874198822	0.4343397599126955	0.6662852784134249	5125	5373	3494	26601.5	12370.5	5244	243	237
2020-09-10 10:05:25	2020-09-10	DIC09D11E08	EPPN1_H	Hybrid	15	19	8	c19r15	0.13407751356252834	0.3993986141979344	0.6747657558160248	8576	9165	9470	63963	22947	14034.5	383	380
2020-09-10 10:06:00	2020-09-10	DIC09D11D08	EPPN4_L	Line	15	20	8	c20r15	0.14332879818594105	0.517059553349876	0.6081274382314694	7901	6668	9353	55125	12896	15380	247	263
2020-09-10 10:06:38	2020-09-10	DIC09D11A08	EPPN1_L	Line	15	21	8	c21r15	0.21173868134078008	0.46633732086718654	0.5104494434790776	11582	11422	10869	54699.5	24493	21293	330	335
2020-09-10 10:07:16	2020-09-10	DIC09D11C08	EPPN3_L	Line	15	22	8	c22r15	0.17774490623657965	0.6987601176220936	0.7142634207240949	11175	11525	9154	62871	16493.5	12816	417	416
2020-09-10 10:09:11	2020-09-10	DIC09D11H08	EPPN4_H	Hybrid	15	25	8	c25r15	0.1639392239592225	0.21920977144443415	0.4110270660701029	10083	9476	10243	61504.5	43228	24920.5	366	375
2020-09-10 10:09:51	2020-09-10	DIC09D11G08	EPPN3_H	Hybrid	15	26	8	c26r15	0.17305494256775872	0.4453542823511349	0.5846453388834805	7646	8702	8708	44182.5	19539.5	14894.5	285	297
2020-09-10 10:40:28	2020-09-10	DIC09D11D05	EPPN4_L	Line	16	1	5	c1r16	0.21974828426441328	0.31606991246303834	0.6882632466404374	4915	5398	6735	22366.5	17078.5	9785.5	160	184
2020-09-10 10:40:58	2020-09-10	DIC09D11A05	EPPN1_L	Line	16	3	5	c3r16	0.16160808118833622	0.5131196888569222	0.7187384319241874	10303	9631	9708	63753	18769.5	13507	376	369
2020-09-10 10:41:36	2020-09-10	DIC09D11H05	EPPN4_H	Hybrid	16	4	5	c4r16	0.13951165371809102	0.3570067949847895	0.37916442680119644	13827	12557	13754	99110	35173	36274.5	400	410
2020-09-10 10:42:00	2020-09-10	DIC09D11E05	EPPN1_H	Hybrid	16	5	5	c5r16	0.14481822528650534	0.5448266410853776	0.6004848559241416	9389	9939	9784	64833	18242.5	16293.5	373	378
2020-09-10 10:43:55	2020-09-10	DIC09D11F05	EPPN2_H	Hybrid	16	8	5	c8r16	0.1500551328271019	0.27330340639028256	0.4555321764129914	9594	13455	10933	63936.5	49231	24000.5	378	363
2020-09-10 10:44:33	2020-09-10	DIC09D11C05	EPPN3_L	Line	16	9	5	c9r16	0.2822686208450462	0.5357135478005743	0.5792897059272605	13154	12964	9485	46601	24199.5	16373.5	366	381
2020-09-10 10:45:09	2020-09-10	DIC09D11I05	EPPN20_T	Line	16	10	5	c10r16	0.19800510597874488	0.6675695641467618	0.5014070518126138	3335	2711	3029	16843	4061	6041	135	150
2020-09-10 10:45:47	2020-09-10	DIC09D11B05	EPPN2_L	Line	16	11	5	c11r16	0.14794968142460382	0.43687856471668013	0.4936644703497212	9056	9996	11201	61210	22880.5	22689.5	306	324
2020-09-10 10:46:25	2020-09-10	DIC09D11G05	EPPN3_H	Hybrid	16	12	5	c12r16	0.18371137885785374	0.3391592797011763	0.5585013146362839	10780	12167	10196	58679	35874	18256	342	324
