timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	irrigation	water_consumed
2020-09-10 09:10:51	2020-09-10	DIC09D11G09	EPPN3_H	Hybrid	14	1	9	c1r14	145	NA
2020-09-10 09:11:06	2020-09-10	DIC09D11F09	EPPN2_H	Hybrid	14	2	9	c2r14	135	NA
2020-09-10 09:12:36	2020-09-10	DIC09D11C09	EPPN3_L	Line	14	5	9	c5r14	155	NA
2020-09-10 09:13:14	2020-09-10	DIC09D11D09	EPPN4_L	Line	14	6	9	c6r14	150	NA
2020-09-10 09:13:52	2020-09-10	DIC09D11H09	EPPN4_H	Hybrid	14	7	9	c7r14	205	NA
2020-09-10 09:14:30	2020-09-10	DIC09D11E09	EPPN1_H	Hybrid	14	8	9	c8r14	135	NA
2020-09-10 09:15:08	2020-09-10	DIC09D11I09	EPPN20_T	Line	14	9	9	c9r14	185	NA
2020-09-10 09:15:46	2020-09-10	DIC09D11B09	EPPN2_L	Line	14	10	9	c10r14	180	NA
2020-09-10 09:17:44	2020-09-10	DIC09D11A09	EPPN1_L	Line	14	13	9	c13r14	185	NA
2020-09-10 09:18:25	2020-09-10	DIC09D11E10	EPPN1_H	Hybrid	14	14	10	c14r14	150	NA
2020-09-10 09:19:04	2020-09-10	DIC09D11C10	EPPN3_L	Line	14	15	10	c15r14	185	NA
2020-09-10 09:19:42	2020-09-10	DIC09D11B10	EPPN2_L	Line	14	16	10	c16r14	120	NA
2020-09-10 09:20:20	2020-09-10	DIC09D11D10	EPPN4_L	Line	14	17	10	c17r14	135	NA
2020-09-10 09:21:00	2020-09-10	DIC09D11A10	EPPN1_L	Line	14	18	10	c18r14	190	NA
2020-09-10 09:21:38	2020-09-10	DIC09D11G10	EPPN3_H	Hybrid	14	19	10	c19r14	145	NA
2020-09-10 09:24:19	2020-09-10	DIC09D11H10	EPPN4_H	Hybrid	14	23	10	c23r14	75	NA
2020-09-10 09:24:57	2020-09-10	DIC09D11I10	EPPN20_T	Line	14	24	10	c24r14	130	NA
2020-09-10 09:25:21	2020-09-10	DIC09D11F10	EPPN2_H	Hybrid	14	25	10	c25r14	115	NA
2020-09-10 09:55:26	2020-09-10	DIC09D11A07	EPPN1_L	Line	15	1	7	c1r15	145	NA
2020-09-10 09:56:04	2020-09-10	DIC09D11F07	EPPN2_H	Hybrid	15	3	7	c3r15	130	NA
2020-09-10 09:56:42	2020-09-10	DIC09D11H07	EPPN4_H	Hybrid	15	4	7	c4r15	90	NA
2020-09-10 09:57:06	2020-09-10	DIC09D11E07	EPPN1_H	Hybrid	15	5	7	c5r15	35	NA
2020-09-10 09:58:21	2020-09-10	DIC09D11I07	EPPN20_T	Line	15	7	7	c7r15	180	NA
2020-09-10 09:59:34	2020-09-10	DIC09D11C07	EPPN3_L	Line	15	9	7	c9r15	120	NA
2020-09-10 10:01:15	2020-09-10	DIC09D11D07	EPPN4_L	Line	15	12	7	c12r15	100	NA
2020-09-10 10:01:39	2020-09-10	DIC09D11B07	EPPN2_L	Line	15	13	7	c13r15	110	NA
2020-09-10 10:02:15	2020-09-10	DIC09D11G07	EPPN3_H	Hybrid	15	14	7	c14r15	125	NA
2020-09-10 10:02:53	2020-09-10	DIC09D11B08	EPPN2_L	Line	15	15	8	c15r15	110	NA
2020-09-10 10:03:31	2020-09-10	DIC09D11F08	EPPN2_H	Hybrid	15	16	8	c16r15	125	NA
2020-09-10 10:04:47	2020-09-10	DIC09D11I08	EPPN20_T	Line	15	18	8	c18r15	150	NA
2020-09-10 10:05:25	2020-09-10	DIC09D11E08	EPPN1_H	Hybrid	15	19	8	c19r15	165	NA
2020-09-10 10:06:00	2020-09-10	DIC09D11D08	EPPN4_L	Line	15	20	8	c20r15	125	NA
2020-09-10 10:06:38	2020-09-10	DIC09D11A08	EPPN1_L	Line	15	21	8	c21r15	195	NA
2020-09-10 10:07:16	2020-09-10	DIC09D11C08	EPPN3_L	Line	15	22	8	c22r15	45	NA
2020-09-10 10:09:11	2020-09-10	DIC09D11H08	EPPN4_H	Hybrid	15	25	8	c25r15	120	NA
2020-09-10 10:09:51	2020-09-10	DIC09D11G08	EPPN3_H	Hybrid	15	26	8	c26r15	125	NA
2020-09-10 10:40:28	2020-09-10	DIC09D11D05	EPPN4_L	Line	16	1	5	c1r16	150	NA
2020-09-10 10:40:58	2020-09-10	DIC09D11A05	EPPN1_L	Line	16	3	5	c3r16	185	NA
2020-09-10 10:41:36	2020-09-10	DIC09D11H05	EPPN4_H	Hybrid	16	4	5	c4r16	155	NA
2020-09-10 10:42:00	2020-09-10	DIC09D11E05	EPPN1_H	Hybrid	16	5	5	c5r16	135	NA
2020-09-10 10:43:55	2020-09-10	DIC09D11F05	EPPN2_H	Hybrid	16	8	5	c8r16	175	NA
2020-09-10 10:44:33	2020-09-10	DIC09D11C05	EPPN3_L	Line	16	9	5	c9r16	155	NA
2020-09-10 10:45:09	2020-09-10	DIC09D11I05	EPPN20_T	Line	16	10	5	c10r16	95	NA
2020-09-10 10:45:47	2020-09-10	DIC09D11B05	EPPN2_L	Line	16	11	5	c11r16	120	NA
2020-09-10 10:46:25	2020-09-10	DIC09D11G05	EPPN3_H	Hybrid	16	12	5	c12r16	125	NA
2020-09-10 10:47:04	2020-09-10	DIC09D11I06	EPPN20_T	Line	16	13	6	c13r16	210	NA
2020-09-10 10:49:33	2020-09-10	DIC09D11H06	EPPN4_H	Hybrid	16	17	6	c17r16	175	NA
2020-09-10 10:50:38	2020-09-10	DIC09D11A06	EPPN1_L	Line	16	19	6	c19r16	160	NA
2020-09-10 10:51:15	2020-09-10	DIC09D11D06	EPPN4_L	Line	16	20	6	c20r16	175	NA
2020-09-10 10:51:39	2020-09-10	DIC09D11B06	EPPN2_L	Line	16	21	6	c21r16	195	NA
2020-09-10 10:52:18	2020-09-10	DIC09D11F06	EPPN2_H	Hybrid	16	22	6	c22r16	115	NA
2020-09-10 10:52:55	2020-09-10	DIC09D11G06	EPPN3_H	Hybrid	16	23	6	c23r16	110	NA
2020-09-10 10:53:34	2020-09-10	DIC09D11E06	EPPN1_H	Hybrid	16	24	6	c24r16	125	NA
2020-09-10 10:54:54	2020-09-10	DIC09D11C06	EPPN3_L	Line	16	26	6	c26r16	175	NA
2020-09-10 11:25:28	2020-09-10	DIC09D11H03	EPPN4_H	Hybrid	17	1	3	c1r17	175	NA
2020-09-10 11:25:45	2020-09-10	DIC09D11B03	EPPN2_L	Line	17	2	3	c2r17	155	NA
2020-09-10 11:25:59	2020-09-10	DIC09D11D03	EPPN4_L	Line	17	3	3	c3r17	150	NA
2020-09-10 11:27:14	2020-09-10	DIC09D11A03	EPPN1_L	Line	17	5	3	c5r17	275	NA
2020-09-10 11:27:53	2020-09-10	DIC09D11F03	EPPN2_H	Hybrid	17	6	3	c6r17	180	NA
2020-09-10 11:28:31	2020-09-10	DIC09D11G03	EPPN3_H	Hybrid	17	7	3	c7r17	150	NA
2020-09-10 11:30:32	2020-09-10	DIC09D11E03	EPPN1_H	Hybrid	17	10	3	c10r17	150	NA
2020-09-10 11:31:11	2020-09-10	DIC09D11C03	EPPN3_L	Line	17	11	3	c11r17	165	NA
2020-09-10 11:32:26	2020-09-10	DIC09D11I03	EPPN20_T	Line	17	13	3	c13r17	150	NA
2020-09-10 11:33:04	2020-09-10	DIC09D11G04	EPPN3_H	Hybrid	17	14	4	c14r17	165	NA
2020-09-10 11:34:20	2020-09-10	DIC09D11E04	EPPN1_H	Hybrid	17	16	4	c16r17	130	NA
2020-09-10 11:34:57	2020-09-10	DIC09D11H04	EPPN4_H	Hybrid	17	17	4	c17r17	160	NA
2020-09-10 11:35:35	2020-09-10	DIC09D11C04	EPPN3_L	Line	17	18	4	c18r17	155	NA
