Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Characteristics[...],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Parameter Value[…],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Characteristics[…],Factor Value[e.g. SomeTreatment],…
EPPN2_H,NCBITAXON:4577,Zea,mays,N22_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,101,Rhizotron,,row=1; column=1; rep=5,,,
EPPN4_H,NCBITAXON:4577,Zea,mays,UH_P148_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,102,Rhizotron,,row=2; column=1; rep=5,,,
EPPN2_L,NCBITAXON:4577,Zea,mays,N22,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,103,Rhizotron,,row=3; column=1; rep=5,,,
EPPN20_T,NCBITAXON:4577,Zea,mays,UH007,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,104,Rhizotron,,row=4; column=1; rep=5,,,
EPPN1_L,NCBITAXON:4577,Zea,mays,B73,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,105,Rhizotron,,row=5; column=1; rep=5,,,
EPPN4_L,NCBITAXON:4577,Zea,mays,UH_P148,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,106,Rhizotron,,row=6; column=1; rep=5,,,
EPPN1_H,NCBITAXON:4577,Zea,mays,B73_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,107,Rhizotron,,row=7; column=1; rep=5,,,
EPPN3_L,NCBITAXON:4577,Zea,mays,PHT77,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,108,Rhizotron,,row=8; column=1; rep=5,,,
EPPN3_H,NCBITAXON:4577,Zea,mays,PHT77_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,109,Rhizotron,,row=9; column=1; rep=5,,,
EPPN1_H,NCBITAXON:4577,Zea,mays,B73_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,110,Rhizotron,,row=10; column=1; rep=7,,,
