Unit ID	Timestamp	Primary_root_length_S1	Primary_root_length_S2	Primary_root_length_S3	Primary_root_length_S4	Primary_root_length_S5	Primary_root_length_S6	Primary_root_length_S7	Primary_root_length_S8	Primary_root_length_S9	Primary_root_length_S10	Primary_root_length_S11	Primary_root_length_S12	Primary_root_length_S13	Primary_root_length_S14	Primary_root_length_S15	Primary_root_length_S16	Primary_root_length_S17	Primary_root_length_S18	Primary_root_length_S19	Primary_root_length_S20	Lateral_root_length_S1	Lateral_root_length_S2	Lateral_root_length_S3	Lateral_root_length_S4	Lateral_root_length_S5	Lateral_root_length_S6	Lateral_root_length_S7	Lateral_root_length_S8	Lateral_root_length_S9	Lateral_root_length_S10	Lateral_root_length_S11	Lateral_root_length_S12	Lateral_root_length_S13	Lateral_root_length_S14	Lateral_root_length_S15	Lateral_root_length_S16	Lateral_root_length_S17	Lateral_root_length_S18	Lateral_root_length_S19	Lateral_root_length_S20	Seminal_nodal_root_length_S1	Seminal_nodal_root_length_S2	Seminal_nodal_root_length_S3	Seminal_nodal_root_length_S4	Seminal_nodal_root_length_S5	Seminal_nodal_root_length_S6	Seminal_nodal_root_length_S7	Seminal_nodal_root_length_S8	Seminal_nodal_root_length_S9	Seminal_nodal_root_length_S10	Seminal_nodal_root_length_S11	Seminal_nodal_root_length_S12	Seminal_nodal_root_length_S13	Seminal_nodal_root_length_S14	Seminal_nodal_root_length_S15	Seminal_nodal_root_length_S16	Seminal_nodal_root_length_S17	Seminal_nodal_root_length_S18	Seminal_nodal_root_length_S19	Seminal_nodal_root_length_S20	Total_root_length_S1	Total_root_length_S2	Total_root_length_S3	Total_root_length_S4	Total_root_length_S5	Total_root_length_S6	Total_root_length_S7	Total_root_length_S8	Total_root_length_S9	Total_root_length_S10	Total_root_length_S11	Total_root_length_S12	Total_root_length_S13	Total_root_length_S14	Total_root_length_S15	Total_root_length_S16	Total_root_length_S17	Total_root_length_S18	Total_root_length_S19	Total_root_length_S20	
101	2019_11_11	2.4	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.1	50.8	25.5	4.8	8.0	11.8	6.6	3.0	4.3	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	22.2	14.1	15.2	12.3	11.1	8.8	7.4	6.8	7.8	5.9	3.1	3.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	95.6	73.8	39.6	20.0	20.3	22.9	15.4	10.4	11.1	8.4	5.9	3.1	3.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	
102	2019_11_11	1.7	2.2	3.9	0.0	3.3	2.5	3.7	4.1	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	65.8	30.3	12.6	6.1	7.4	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2	14.5	13.5	9.9	5.4	11.8	12.5	13.8	9.7	8.6	6.2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.9	82.6	47.7	22.5	14.8	21.7	16.7	17.9	13.0	8.6	6.2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
103	2019_11_11	2.2	1.7	5.4	4.1	4.0	3.8	4.0	2.9	3.3	3.7	2.2	3.8	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	58.2	49.7	32.4	21.0	9.6	1.9	2.6	3.7	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.8	26.9	11.6	14.4	7.9	5.9	5.6	7.4	3.1	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	86.8	66.7	50.9	32.9	19.3	11.5	12.9	10.1	7.9	2.2	3.8	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
104	2019_11_11	1.4	2.0	2.1	3.8	3.3	3.7	3.3	3.8	3.5	3.7	3.3	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	13.1	2.5	3.0	1.9	1.0	0.3	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.9	6.8	2.3	2.8	2.5	3.4	3.9	3.7	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3	21.9	6.9	9.6	7.7	8.1	7.5	8.8	3.6	3.7	3.3	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
105	2019_11_11	4.7	3.1	2.9	2.9	3.6	3.5	4.0	2.1	2.5	3.1	3.9	3.6	3.4	3.3	1.2	0.0	0.0	0.0	0.0	0.0	25.7	43.7	22.0	20.4	23.2	14.5	9.0	4.7	5.2	1.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5	15.9	10.5	16.6	16.3	12.7	13.1	7.7	10.2	10.5	10.8	8.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.9	62.7	35.4	39.9	43.1	30.8	26.0	14.5	17.8	14.6	15.1	11.6	6.5	3.3	1.2	0.0	0.0	0.0	0.0	0.0	
106	2019_11_11	1.5	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8	9.5	7.6	8.5	4.8	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.4	6.8	2.8	0.0	3.3	3.2	3.5	3.2	2.7	0.7	1.9	5.2	3.5	4.1	3.3	0.7	0.0	0.0	0.0	0.0	30.6	17.9	10.5	8.5	8.1	7.2	3.5	3.2	2.7	0.7	1.9	5.2	3.5	4.1	3.3	0.7	0.0	0.0	0.0	0.0	
107	2019_11_11	2.7	4.0	4.1	1.7	4.2	3.9	4.0	4.1	3.8	4.3	4.5	4.7	2.7	2.9	3.2	0.8	1.7	3.9	2.0	0.0	44.4	63.3	65.6	54.0	10.3	27.0	27.1	30.6	23.0	6.5	4.5	4.2	0.7	0.8	0.0	0.0	0.0	0.0	0.0	0.0	31.8	19.1	11.8	4.7	3.7	1.6	5.4	7.5	9.2	8.9	6.3	5.5	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	78.9	86.4	81.5	60.4	18.2	32.5	36.6	42.1	35.9	19.6	15.2	14.5	8.5	5.6	3.2	0.8	1.7	3.9	2.0	0.0	
108	2019_11_11	3.5	0.0	1.7	3.3	2.6	2.1	3.2	2.4	3.4	3.5	3.9	4.1	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.1	16.4	14.8	11.5	3.9	5.7	3.6	5.0	2.5	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.4	21.4	18.0	7.0	3.5	3.6	0.8	2.5	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	37.8	34.5	21.7	10.0	11.4	7.6	9.8	6.4	3.7	3.9	4.1	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
109	2019_11_11	2.6	4.2	2.2	0.0	0.0	0.0	0.0	0.0	0.0	1.8	4.2	3.8	3.7	2.7	3.0	2.8	3.6	1.4	3.7	2.7	37.9	42.3	46.7	20.7	13.3	6.2	5.5	5.4	2.4	1.5	2.5	1.3	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9	10.1	7.1	7.7	8.0	6.4	3.1	2.2	2.5	2.2	4.0	2.7	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.4	56.6	55.9	28.5	21.3	12.6	8.6	7.6	4.9	5.5	10.7	7.9	8.9	2.7	3.0	2.8	3.6	1.4	3.7	2.7	
110	2019_11_11	3.9	3.2	3.4	0.0	0.0	0.0	0.0	3.5	3.2	3.8	3.8	3.2	3.6	2.8	3.3	3.4	2.7	3.5	2.4	0.0	41.0	37.7	14.4	11.2	5.5	21.6	26.6	33.2	20.7	6.8	6.0	4.3	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.5	5.0	0.4	0.0	0.0	0.0	1.8	3.5	2.6	2.0	3.5	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.4	45.9	18.2	11.2	5.5	21.6	28.4	40.3	26.4	12.6	13.3	8.7	7.0	2.8	3.3	3.4	2.7	3.5	2.4	0.0	
111	2019_11_11	1.5	1.7	1.5	2.9	3.8	3.7	3.4	3.9	3.5	3.9	3.4	3.2	3.4	3.6	3.8	3.3	0.0	0.0	0.0	0.0	42.6	38.2	26.5	25.0	25.8	17.5	6.4	5.6	1.1	0.5	3.9	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6	21.1	8.4	2.0	8.2	8.7	9.7	10.1	7.2	7.0	5.1	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.6	60.9	36.4	29.8	37.8	29.8	19.5	19.6	11.8	11.4	12.5	5.9	3.4	3.6	3.8	3.3	0.0	0.0	0.0	0.0	
112	2019_11_11	2.7	0.7	0.0	0.0	0.0	0.0	0.4	5.1	3.6	3.8	3.9	3.9	3.9	0.4	0.0	0.0	0.0	0.0	0.0	0.0	14.7	25.9	11.8	4.2	1.0	5.9	16.6	5.1	3.2	0.9	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.8	20.8	11.6	2.7	2.3	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.1	47.4	23.4	6.9	3.2	12.0	16.9	10.2	6.8	4.8	4.5	3.9	3.9	0.4	0.0	0.0	0.0	0.0	0.0	0.0	
113	2019_11_11	1.5	0.9	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	4.0	4.2	3.7	1.3	0.0	40.5	34.6	28.0	36.1	22.7	12.1	29.3	7.3	8.5	2.1	1.4	0.7	1.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	17.4	17.5	15.6	8.1	9.4	10.6	7.0	7.0	9.4	11.1	10.2	7.1	8.8	5.8	0.0	0.0	0.0	0.0	0.0	0.0	59.4	53.0	45.0	44.2	32.2	22.7	36.3	14.3	17.8	13.2	11.5	7.8	9.8	6.6	2.6	4.0	4.2	3.7	1.3	0.0	
114	2019_11_11	2.0	0.2	1.7	0.0	0.0	0.0	3.9	4.4	4.2	3.4	3.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.9	38.7	20.8	15.8	23.3	11.6	9.1	12.3	11.2	12.5	6.5	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.5	16.0	10.2	10.5	12.2	7.8	3.9	0.9	1.9	8.3	5.6	4.6	4.0	4.0	4.1	0.2	0.0	0.0	0.0	0.0	63.4	55.0	32.6	26.3	35.5	19.4	16.9	17.6	17.2	24.2	15.4	6.6	4.0	4.0	4.1	0.2	0.0	0.0	0.0	0.0	
