Unit ID	Timestamp	Root_length_density_S1	Root_length_density_S2	Root_length_density_S3	Root_length_density_S4	Root_length_density_S5	Root_length_density_S6	Root_length_density_S7	Root_length_density_S8	Root_length_density_S9	Root_length_density_S10	Root_length_density_S11	Root_length_density_S12	Root_length_density_S13	Root_length_density_S14	Root_length_density_S15	Root_length_density_S16	Root_length_density_S17	Root_length_density_S18	Root_length_density_S19	Root_length_density_S20	
101	2019_11_11	0.404	0.312	0.167	0.085	0.086	0.097	0.065	0.044	0.047	0.035	0.025	0.013	0.013	0.009	0.000	0.000	0.000	0.000	0.000	0.000	
102	2019_11_11	0.287	0.349	0.202	0.095	0.063	0.092	0.071	0.076	0.055	0.037	0.026	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
103	2019_11_11	0.224	0.367	0.282	0.215	0.139	0.082	0.048	0.055	0.043	0.034	0.009	0.016	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
104	2019_11_11	0.115	0.093	0.029	0.041	0.032	0.034	0.032	0.037	0.015	0.016	0.014	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
105	2019_11_11	0.228	0.265	0.150	0.169	0.182	0.130	0.110	0.061	0.075	0.062	0.064	0.049	0.028	0.014	0.005	0.000	0.000	0.000	0.000	0.000	
106	2019_11_11	0.129	0.076	0.044	0.036	0.034	0.030	0.015	0.014	0.011	0.003	0.008	0.022	0.015	0.017	0.014	0.003	0.000	0.000	0.000	0.000	
107	2019_11_11	0.333	0.365	0.344	0.255	0.077	0.137	0.155	0.178	0.152	0.083	0.064	0.061	0.036	0.024	0.014	0.003	0.007	0.016	0.009	0.000	
108	2019_11_11	0.241	0.160	0.146	0.092	0.042	0.048	0.032	0.042	0.027	0.016	0.016	0.017	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
109	2019_11_11	0.268	0.239	0.236	0.120	0.090	0.053	0.036	0.032	0.021	0.023	0.045	0.033	0.038	0.011	0.013	0.012	0.015	0.006	0.016	0.011	
110	2019_11_11	0.260	0.194	0.077	0.047	0.023	0.091	0.120	0.170	0.112	0.053	0.056	0.037	0.029	0.012	0.014	0.014	0.011	0.015	0.010	0.000	
111	2019_11_11	0.298	0.258	0.154	0.126	0.160	0.126	0.082	0.083	0.050	0.048	0.053	0.025	0.015	0.015	0.016	0.014	0.000	0.000	0.000	0.000	
112	2019_11_11	0.216	0.201	0.099	0.029	0.014	0.051	0.071	0.043	0.029	0.020	0.019	0.017	0.017	0.002	0.000	0.000	0.000	0.000	0.000	0.000	
113	2019_11_11	0.251	0.224	0.190	0.187	0.136	0.096	0.153	0.060	0.075	0.056	0.049	0.033	0.042	0.028	0.011	0.017	0.018	0.016	0.005	0.000	
114	2019_11_11	0.268	0.232	0.138	0.111	0.150	0.082	0.071	0.074	0.073	0.102	0.065	0.028	0.017	0.017	0.017	0.001	0.000	0.000	0.000	0.000	
115	2019_11_11	0.185	0.197	0.163	0.207	0.179	0.151	0.123	0.089	0.077	0.024	0.034	0.039	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
116	2019_11_11	0.237	0.244	0.157	0.104	0.092	0.062	0.052	0.050	0.044	0.036	0.015	0.015	0.015	0.013	0.000	0.000	0.000	0.000	0.000	0.000	
117	2019_11_11	0.331	0.203	0.166	0.130	0.189	0.071	0.040	0.045	0.030	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
118	2019_11_11	0.335	0.199	0.106	0.111	0.161	0.094	0.061	0.056	0.063	0.060	0.031	0.020	0.015	0.014	0.017	0.016	0.000	0.000	0.000	0.000	
201	2019_11_11	0.169	0.195	0.146	0.143	0.109	0.073	0.078	0.029	0.011	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
