Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Factor Value[WaterTreatment]
EPPN7_L,NCBITAXON:4577,Zea,mays,B107,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0001/ZM4531/EPPN7_L/WD1/EPPN_Rep_1/01_01/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0001zm4531eppn7_lwd1eppn_rep_101_01arch2020-02-03,row=1; column=1; rep=1,WD1
EPPN10_L,NCBITAXON:4577,Zea,mays,FP1,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0002/ZM4534/EPPN10_L/WD1/EPPN_Rep_1/01_02/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0002zm4534eppn10_lwd1eppn_rep_101_02arch2020-02-03,row=1; column=2; rep=1,WD1
EPPN8_L,NCBITAXON:4577,Zea,mays,DKFAPW,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0003/ZM4532/EPPN8_L/WD1/EPPN_Rep_1/01_03/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0003zm4532eppn8_lwd1eppn_rep_101_03arch2020-02-03,row=1; column=3; rep=1,WD1
EPPN3_L,NCBITAXON:4577,Zea,mays,PHT77,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0004/ZM4527/EPPN3_L/WD1/EPPN_Rep_1/01_04/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0004zm4527eppn3_lwd1eppn_rep_101_04arch2020-02-03,row=1; column=4; rep=1,WD1
EPPN1_L,NCBITAXON:4577,Zea,mays,B73,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0005/ZM4525/EPPN1_L/WD1/EPPN_Rep_1/01_05/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0005zm4525eppn1_lwd1eppn_rep_101_05arch2020-02-03,row=1; column=5; rep=1,WD1
EPPN2_L,NCBITAXON:4577,Zea,mays,N22,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0006/ZM4526/EPPN2_L/WD1/EPPN_Rep_1/01_06/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0006zm4526eppn2_lwd1eppn_rep_101_06arch2020-02-03,row=1; column=6; rep=1,WD1
EPPN9_L,NCBITAXON:4577,Zea,mays,ML606,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0007/ZM4533/EPPN9_L/WD1/EPPN_Rep_1/01_07/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0007zm4533eppn9_lwd1eppn_rep_101_07arch2020-02-03,row=1; column=7; rep=1,WD1
EPPN14_L,NCBITAXON:4577,Zea,mays,Va26,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0008/ZM4538/EPPN14_L/WD1/EPPN_Rep_1/01_08/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0008zm4538eppn14_lwd1eppn_rep_101_08arch2020-02-03,row=1; column=8; rep=1,WD1
EPPN4_L,NCBITAXON:4577,Zea,mays,UH_P148,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0009/ZM4528/EPPN4_L/WD1/EPPN_Rep_1/01_09/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0009zm4528eppn4_lwd1eppn_rep_101_09arch2020-02-03,row=1; column=9; rep=1,WD1
EPPN20_T,NCBITAXON:4577,Zea,mays,UH007,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0010/ZM4555/EPPN20_T/WD1/EPPN_Rep_1/01_10/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0010zm4555eppn20_twd1eppn_rep_101_10arch2020-02-03,row=1; column=10; rep=1,WD1
EPPN13_L,NCBITAXON:4577,Zea,mays,A347,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0011/ZM4537/EPPN13_L/WD1/EPPN_Rep_1/01_11/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0011zm4537eppn13_lwd1eppn_rep_101_11arch2020-02-03,row=1; column=11; rep=1,WD1
EPPN6_L,NCBITAXON:4577,Zea,mays,DK4676A,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0012/ZM4530/EPPN6_L/WD1/EPPN_Rep_1/01_12/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0012zm4530eppn6_lwd1eppn_rep_101_12arch2020-02-03,row=1; column=12; rep=1,WD1
EPPN11_L,NCBITAXON:4577,Zea,mays,Lo904,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0013/ZM4535/EPPN11_L/WD1/EPPN_Rep_1/01_13/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0013zm4535eppn11_lwd1eppn_rep_101_13arch2020-02-03,row=1; column=13; rep=1,WD1
EPPN5_L,NCBITAXON:4577,Zea,mays,PHG83,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0014/ZM4529/EPPN5_L/WD1/EPPN_Rep_1/01_14/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0014zm4529eppn5_lwd1eppn_rep_101_14arch2020-02-03,row=1; column=14; rep=1,WD1
EPPN12_L,NCBITAXON:4577,Zea,mays,Oh43,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0015/ZM4536/EPPN12_L/WD1/EPPN_Rep_1/01_15/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0015zm4536eppn12_lwd1eppn_rep_101_15arch2020-02-03,row=1; column=15; rep=1,WD1
EPPN2_H,NCBITAXON:4577,Zea,mays,N22_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0016/ZM4541/EPPN2_H/WW/EPPN_Rep_2/01_16/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0016zm4541eppn2_hwweppn_rep_201_16arch2020-02-03,row=1; column=16; rep=2,WW
EPPN8_H,NCBITAXON:4577,Zea,mays,DKFAPW_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0017/ZM4547/EPPN8_H/WW/EPPN_Rep_2/01_17/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0017zm4547eppn8_hwweppn_rep_201_17arch2020-02-03,row=1; column=17; rep=2,WW
EPPN10_H,NCBITAXON:4577,Zea,mays,FP1_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0018/ZM4549/EPPN10_H/WW/EPPN_Rep_2/01_18/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0018zm4549eppn10_hwweppn_rep_201_18arch2020-02-03,row=1; column=18; rep=2,WW
EPPN13_H,NCBITAXON:4577,Zea,mays,A347_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0019/ZM4552/EPPN13_H/WW/EPPN_Rep_2/01_19/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0019zm4552eppn13_hwweppn_rep_201_19arch2020-02-03,row=1; column=19; rep=2,WW
EPPN7_H,NCBITAXON:4577,Zea,mays,B107_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0020/ZM4546/EPPN7_H/WW/EPPN_Rep_2/01_20/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0020zm4546eppn7_hwweppn_rep_201_20arch2020-02-03,row=1; column=20; rep=2,WW
EPPN3_H,NCBITAXON:4577,Zea,mays,PHT77_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0021/ZM4542/EPPN3_H/WW/EPPN_Rep_2/01_21/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0021zm4542eppn3_hwweppn_rep_201_21arch2020-02-03,row=1; column=21; rep=2,WW
EPPN4_H,NCBITAXON:4577,Zea,mays,UH_P148_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0022/ZM4543/EPPN4_H/WW/EPPN_Rep_2/01_22/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0022zm4543eppn4_hwweppn_rep_201_22arch2020-02-03,row=1; column=22; rep=2,WW
EPPN6_H,NCBITAXON:4577,Zea,mays,DK4676A_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0023/ZM4545/EPPN6_H/WW/EPPN_Rep_2/01_23/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0023zm4545eppn6_hwweppn_rep_201_23arch2020-02-03,row=1; column=23; rep=2,WW
EPPN14_H,NCBITAXON:4577,Zea,mays,Va26_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0024/ZM4553/EPPN14_H/WW/EPPN_Rep_2/01_24/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0024zm4553eppn14_hwweppn_rep_201_24arch2020-02-03,row=1; column=24; rep=2,WW
EPPN1_H,NCBITAXON:4577,Zea,mays,B73_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0025/ZM4540/EPPN1_H/WW/EPPN_Rep_2/01_25/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0025zm4540eppn1_hwweppn_rep_201_25arch2020-02-03,row=1; column=25; rep=2,WW
EPPN11_H,NCBITAXON:4577,Zea,mays,Lo904_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0026/ZM4550/EPPN11_H/WW/EPPN_Rep_2/01_26/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0026zm4550eppn11_hwweppn_rep_201_26arch2020-02-03,row=1; column=26; rep=2,WW
EPPN15_H,NCBITAXON:4577,Zea,mays,EC334_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0027/ZM4554/EPPN15_H/WW/EPPN_Rep_2/01_27/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0027zm4554eppn15_hwweppn_rep_201_27arch2020-02-03,row=1; column=27; rep=2,WW
EPPN5_H,NCBITAXON:4577,Zea,mays,PHG83_H,,,,,,,,,,,,,,,,,,,,,,,,Growth,Pot,9L,1,Soil,30:70 (v/v) mixture of a clay and organic compost,,Automatic,0028/ZM4544/EPPN5_H/WW/EPPN_Rep_2/01_28/ARCH2020-02-03,Pot,m3p:set/experiments#za20/so-0028zm4544eppn5_hwweppn_rep_201_28arch2020-02-03,row=1; column=28; rep=2,WW
