Plant ID	Plant Info	Plant Name	shoot_fresh_biomass_scale_gram	
2020_Maize001	S1_1	UHEL_EPPN20_T	167,78	
2020_Maize002	S1_1	UHEL_EPPN06_H	219,75	
2020_Maize003	S2_1	UHEL_EPPN08_H	205,48	
2020_Maize004	S2_1	UHEL_EPPN10_L	103,12	
2020_Maize005	S2_2	UHEL_EPPN05_H	135,96	
2020_Maize006	S2_2	UHEL_EPPN11_H	118,15	
2020_Maize007	S1_2	UHEL_EPPN06_H	221,58	
2020_Maize008	S1_2	UHEL_EPPN09_H	278,6	
2020_Maize009	S1_3	UHEL_EPPN09_H	218,6	
2020_Maize010	S2_3	UHEL_EPPN04_H	182,33	
2020_Maize011	S2_3	UHEL_EPPN03_H	146,58	
2020_Maize012	S1_4	UHEL_EPPN12_H	118,61	
2020_Maize013	S1_4	UHEL_EPPN10_H	226,39	
2020_Maize014	S2_4	UHEL_EPPN11_H	71,87	
2020_Maize015	S2_5	UHEL_EPPN01_H	130,8	
2020_Maize016	S2_5	UHEL_EPPN08_H	318,55	
2020_Maize017	S1_5	UHEL_EPPN02_H	110,65	
2020_Maize018	S1_5	UHEL_EPPN11_L	129,64	
2020_Maize019	S1_1	UHEL_EPPN10_L	160,35	
2020_Maize020	S1_1	UHEL_EPPN12_H	228,08	
2020_Maize021	S2_1	UHEL_EPPN03_H	205,01	
2020_Maize022	S2_1	UHEL_EPPN09_H	227,02	
2020_Maize023	S2_2	UHEL_EPPN13_H	213,13	
2020_Maize024	S2_2	UHEL_EPPN06_H	187,84	
2020_Maize025	S1_2	UHEL_EPPN01_H	267,64	
2020_Maize026	S1_2	UHEL_EPPN09_H	182,78	
2020_Maize027	S1_3	UHEL_EPPN02_H	187,19	
2020_Maize028	S1_3	UHEL_EPPN04_H	224,78	
2020_Maize029	S2_3	UHEL_EPPN11_H	NA	
2020_Maize030	S2_3	UHEL_EPPN02_H	198,5	
2020_Maize031	S1_4	UHEL_EPPN08_H	13,23	
2020_Maize032	S2_4	UHEL_EPPN05_H	213,69	
2020_Maize033	S2_4	UHEL_EPPN12_H	107,54	
2020_Maize034	S2_5	UHEL_EPPN06_H	250,69	
2020_Maize035	S1_5	UHEL_EPPN09_H	177,25	
2020_Maize036	S1_5	UHEL_EPPN13_H	200,6	
2020_Maize037	S1_1	UHEL_EPPN05_H	107,89	
2020_Maize038	S1_1	UHEL_EPPN11_L	75,47	
2020_Maize039	S2_1	UHEL_EPPN11_H	246,73	
2020_Maize040	S2_1	UHEL_EPPN06_H	177,22	
2020_Maize041	S2_2	UHEL_EPPN12_H	191,95	
2020_Maize042	S2_2	UHEL_EPPN04_H	181,85	
2020_Maize043	S1_2	UHEL_EPPN10_H	102,62	
2020_Maize044	S1_2	UHEL_EPPN03_H	145,36	
2020_Maize045	S1_3	UHEL_EPPN07_L	208,48	
2020_Maize046	S1_3	UHEL_EPPN08_H	325,94	
2020_Maize047	S1_4	UHEL_EPPN06_H	346,9	
2020_Maize048	S1_4	UHEL_EPPN06_H	124,25	
2020_Maize049	S2_4	UHEL_EPPN01_H	173,57	
2020_Maize050	S2_4	UHEL_EPPN06_H	268,17	
2020_Maize051	S2_5	UHEL_EPPN03_H	57,7	
2020_Maize052	S2_5	UHEL_EPPN02_H	103,17	
2020_Maize053	S1_5	UHEL_EPPN10_H	279,06	
2020_Maize054	S1_5	UHEL_EPPN06_H	318,76	
2020_Maize055	S1_1	UHEL_EPPN09_H	146,19	
2020_Maize056	S1_1	UHEL_EPPN11_H	134,38	
2020_Maize057	S2_1	UHEL_EPPN06_H	162,76	
2020_Maize058	S2_1	UHEL_EPPN20_T	89,82	
2020_Maize059	S2_2	UHEL_EPPN01_H	221,09	
2020_Maize060	S2_2	UHEL_EPPN02_H	202,44	
2020_Maize061	S1_2	UHEL_EPPN11_H	250,39	
2020_Maize062	S1_2	UHEL_EPPN05_H	219,37	
