Plant ID	Plant Info	Plant Name	shoot_dry_biomass_scale_gram
2020_Maize001	S1_1	UHEL_EPPN20_T	35,95
2020_Maize002	S1_1	UHEL_EPPN06_H	41,49
2020_Maize003	S2_1	UHEL_EPPN08_H	35,77
2020_Maize004	S2_1	UHEL_EPPN10_L	40,11
2020_Maize005	S2_2	UHEL_EPPN05_H	27,15
2020_Maize006	S2_2	UHEL_EPPN11_H	31,6
2020_Maize007	S1_2	UHEL_EPPN06_H	29,44
2020_Maize008	S1_2	UHEL_EPPN09_H	46,72
2020_Maize009	S1_3	UHEL_EPPN09_H	56,68
2020_Maize010	S2_3	UHEL_EPPN04_H	36,42
2020_Maize011	S2_3	UHEL_EPPN03_H	30,57
2020_Maize012	S1_4	UHEL_EPPN12_H	28,43
2020_Maize013	S1_4	UHEL_EPPN10_H	36,66
2020_Maize014	S2_4	UHEL_EPPN11_H	17,73
2020_Maize015	S2_5	UHEL_EPPN01_H	29,97
2020_Maize016	S2_5	UHEL_EPPN08_H	46,45
2020_Maize017	S1_5	UHEL_EPPN02_H	28,08
2020_Maize018	S1_5	UHEL_EPPN11_L	23,53
2020_Maize019	S1_1	UHEL_EPPN10_L	32,63
2020_Maize020	S1_1	UHEL_EPPN12_H	38,36
2020_Maize021	S2_1	UHEL_EPPN03_H	35,79
2020_Maize022	S2_1	UHEL_EPPN09_H	36,94
2020_Maize023	S2_2	UHEL_EPPN13_H	35,17
2020_Maize024	S2_2	UHEL_EPPN06_H	33,94
2020_Maize025	S1_2	UHEL_EPPN01_H	41,73
2020_Maize026	S1_2	UHEL_EPPN09_H	35,33
2020_Maize027	S1_3	UHEL_EPPN02_H	30,52
2020_Maize028	S1_3	UHEL_EPPN04_H	37,32
2020_Maize029	S2_3	UHEL_EPPN11_H	NA
2020_Maize030	S2_3	UHEL_EPPN02_H	35,2
2020_Maize031	S1_4	UHEL_EPPN08_H	28,07
2020_Maize032	S2_4	UHEL_EPPN05_H	35,51
2020_Maize033	S2_4	UHEL_EPPN12_H	27,47
2020_Maize034	S2_5	UHEL_EPPN06_H	41,68
2020_Maize035	S1_5	UHEL_EPPN09_H	28,27
2020_Maize036	S1_5	UHEL_EPPN13_H	35,79
2020_Maize037	S1_1	UHEL_EPPN05_H	25,45
2020_Maize038	S1_1	UHEL_EPPN11_L	25,59
2020_Maize039	S2_1	UHEL_EPPN11_H	40,59
2020_Maize040	S2_1	UHEL_EPPN06_H	34,67
2020_Maize041	S2_2	UHEL_EPPN12_H	35,12
2020_Maize042	S2_2	UHEL_EPPN04_H	35,21
2020_Maize043	S1_2	UHEL_EPPN10_H	33,37
2020_Maize044	S1_2	UHEL_EPPN03_H	26,1
2020_Maize045	S1_3	UHEL_EPPN07_L	30,12
2020_Maize046	S1_3	UHEL_EPPN08_H	34,58
2020_Maize047	S1_4	UHEL_EPPN06_H	45,46
2020_Maize048	S1_4	UHEL_EPPN06_H	20,97
2020_Maize049	S2_4	UHEL_EPPN01_H	29,95
2020_Maize050	S2_4	UHEL_EPPN06_H	32,29
2020_Maize051	S2_5	UHEL_EPPN03_H	42,05
2020_Maize052	S2_5	UHEL_EPPN02_H	22,52
2020_Maize053	S1_5	UHEL_EPPN10_H	26,78
2020_Maize054	S1_5	UHEL_EPPN06_H	42,41
2020_Maize055	S1_1	UHEL_EPPN09_H	46,8
2020_Maize056	S1_1	UHEL_EPPN11_H	30,38
2020_Maize057	S2_1	UHEL_EPPN06_H	33,15
2020_Maize058	S2_1	UHEL_EPPN20_T	26,01
2020_Maize059	S2_2	UHEL_EPPN01_H	36,51
2020_Maize060	S2_2	UHEL_EPPN02_H	36,07
2020_Maize061	S1_2	UHEL_EPPN11_H	41,15
2020_Maize062	S1_2	UHEL_EPPN05_H	37,04
2020_Maize063	S1_3	UHEL_EPPN10_H	33,87
2020_Maize064	S1_3	UHEL_EPPN03_H	23,9
2020_Maize065	S2_3	UHEL_EPPN06_H	23,54
2020_Maize066	S2_3	UHEL_EPPN01_H	34,39
2020_Maize067	S1_4	UHEL_EPPN05_H	35,64
2020_Maize068	S1_4	UHEL_EPPN02_H	37,49
2020_Maize069	S2_4	UHEL_EPPN04_H	31,63
2020_Maize070	S2_5	UHEL_EPPN06_H	26,35
2020_Maize071	S2_5	UHEL_EPPN05_H	36,01
2020_Maize072	S1_5	UHEL_EPPN08_H	38,3
2020_Maize073	S1_5	UHEL_EPPN12_H	27,6
2020_Maize074	S1_1	UHEL_EPPN01_H	40,04
2020_Maize075	S2_1	UHEL_EPPN06_H	49,21
2020_Maize076	S2_1	UHEL_EPPN12_H	31,7
2020_Maize077	S2_2	UHEL_EPPN09_H	47,3
2020_Maize078	S1_2	UHEL_EPPN12_H	73,04
2020_Maize079	S1_2	UHEL_EPPN02_H	29,8
2020_Maize080	S1_3	UHEL_EPPN06_H	31,93
2020_Maize081	S1_3	UHEL_EPPN01_H	29,93
2020_Maize082	S2_3	UHEL_EPPN08_H	33,12
2020_Maize083	S2_3	UHEL_EPPN07_L	27,29
2020_Maize084	S1_4	UHEL_EPPN09_H	29,16
2020_Maize085	S1_4	UHEL_EPPN11_H	28,55
2020_Maize086	S2_4	UHEL_EPPN02_H	27,7
2020_Maize087	S2_4	UHEL_EPPN03_H	22,71
2020_Maize088	S2_5	UHEL_EPPN20_T	29,25
2020_Maize089	S2_5	UHEL_EPPN05_H	32,65
2020_Maize090	S1_5	UHEL_EPPN05_H	41,31
2020_Maize091	S1_5	UHEL_EPPN04_H	30,1
2020_Maize092	S1_1	UHEL_EPPN06_H	35,23
2020_Maize093	S1_1	UHEL_EPPN13_H	64,39
2020_Maize094	S2_1	UHEL_EPPN01_H	34,15
2020_Maize095	S2_2	UHEL_EPPN10_H	30,75
2020_Maize096	S2_2	UHEL_EPPN03_H	34,52
2020_Maize097	S1_2	UHEL_EPPN05_H	26,71
2020_Maize098	S1_2	UHEL_EPPN13_H	65,73
2020_Maize099	S1_3	UHEL_EPPN05_H	24,16
2020_Maize100	S1_3	UHEL_EPPN11_H	35,43
