Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Factor Value[growth substrate effect]
UHEL_EPPN20_T,NCBITAXON:4577,Zea,maize,EPPN20_T,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize001,plant,,row=1; column=1; block=1; x=0; y=110,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize002,plant,,row=1; column=2; block=1; x=0; y=135,S1
UHEL_EPPN08_H,NCBITAXON:4577,Zea,maize,EPPN08_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize003,plant,,row=1; column=3; block=1; x=0; y=160,S2
UHEL_EPPN10_L,NCBITAXON:4577,Zea,maize,EPPN10_L,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize004,plant,,row=1; column=4; block=1; x=0; y=184,S2
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize005,plant,,row=1; column=5; block=2; x=0; y=209,S2
UHEL_EPPN11_H,NCBITAXON:4577,Zea,maize,EPPN11_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize006,plant,,row=1; column=6; block=2; x=0; y=234,S2
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize007,plant,,row=1; column=7; block=2; x=0; y=259,S1
UHEL_EPPN09_H,NCBITAXON:4577,Zea,maize,EPPN09_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize008,plant,,row=1; column=8; block=2; x=0; y=284,S1
UHEL_EPPN09_H,NCBITAXON:4577,Zea,maize,EPPN09_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize009,plant,,row=1; column=9; block=3; x=0; y=308,S1
UHEL_EPPN04_H,NCBITAXON:4577,Zea,maize,EPPN04_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize010,plant,,row=1; column=11; block=3; x=0; y=358,S2
UHEL_EPPN03_H,NCBITAXON:4577,Zea,maize,EPPN03_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize011,plant,,row=1; column=12; block=3; x=0; y=383,S2
UHEL_EPPN12_H,NCBITAXON:4577,Zea,maize,EPPN12_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize012,plant,,row=1; column=13; block=4; x=0; y=408,S1
UHEL_EPPN10_H,NCBITAXON:4577,Zea,maize,EPPN10_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize013,plant,,row=1; column=14; block=4; x=0; y=432,S1
UHEL_EPPN11_H,NCBITAXON:4577,Zea,maize,EPPN11_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize014,plant,,row=1; column=15; block=4; x=0; y=457,S2
UHEL_EPPN01_H,NCBITAXON:4577,Zea,maize,EPPN01_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize015,plant,,row=1; column=17; block=5; x=0; y=507,S2
UHEL_EPPN08_H,NCBITAXON:4577,Zea,maize,EPPN08_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize016,plant,,row=1; column=18; block=5; x=0; y=532,S2
UHEL_EPPN02_H,NCBITAXON:4577,Zea,maize,EPPN02_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize017,plant,,row=1; column=19; block=5; x=0; y=556,S1
UHEL_EPPN11_L,NCBITAXON:4577,Zea,maize,EPPN11_L,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize018,plant,,row=1; column=20; block=5; x=0; y=581,S1
UHEL_EPPN10_L,NCBITAXON:4577,Zea,maize,EPPN10_L,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize019,plant,,row=2; column=1; block=1; x=50; y=110,S1
UHEL_EPPN12_H,NCBITAXON:4577,Zea,maize,EPPN12_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize020,plant,,row=2; column=2; block=1; x=50; y=135,S1
UHEL_EPPN03_H,NCBITAXON:4577,Zea,maize,EPPN03_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize021,plant,,row=2; column=3; block=1; x=50; y=160,S2
UHEL_EPPN09_H,NCBITAXON:4577,Zea,maize,EPPN09_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize022,plant,,row=2; column=4; block=1; x=50; y=184,S2
UHEL_EPPN13_H,NCBITAXON:4577,Zea,maize,EPPN13_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize023,plant,,row=2; column=5; block=2; x=50; y=209,S2
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize024,plant,,row=2; column=6; block=2; x=50; y=234,S2
UHEL_EPPN01_H,NCBITAXON:4577,Zea,maize,EPPN01_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize025,plant,,row=2; column=7; block=2; x=50; y=259,S1
UHEL_EPPN09_H,NCBITAXON:4577,Zea,maize,EPPN09_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize026,plant,,row=2; column=8; block=2; x=50; y=284,S1
UHEL_EPPN02_H,NCBITAXON:4577,Zea,maize,EPPN02_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize027,plant,,row=2; column=9; block=3; x=50; y=308,S1
UHEL_EPPN04_H,NCBITAXON:4577,Zea,maize,EPPN04_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize028,plant,,row=2; column=10; block=3; x=50; y=333,S1
UHEL_EPPN11_H,NCBITAXON:4577,Zea,maize,EPPN11_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize029,plant,,row=2; column=11; block=3; x=50; y=358,S2
UHEL_EPPN02_H,NCBITAXON:4577,Zea,maize,EPPN02_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize030,plant,,row=2; column=12; block=3; x=50; y=383,S2
UHEL_EPPN08_H,NCBITAXON:4577,Zea,maize,EPPN08_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize031,plant,,row=2; column=14; block=4; x=50; y=432,S1
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize032,plant,,row=2; column=15; block=4; x=50; y=457,S2
UHEL_EPPN12_H,NCBITAXON:4577,Zea,maize,EPPN12_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize033,plant,,row=2; column=16; block=4; x=50; y=482,S2
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize034,plant,,row=2; column=18; block=5; x=50; y=532,S2
UHEL_EPPN09_H,NCBITAXON:4577,Zea,maize,EPPN09_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize035,plant,,row=2; column=19; block=5; x=50; y=556,S1
UHEL_EPPN13_H,NCBITAXON:4577,Zea,maize,EPPN13_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize036,plant,,row=2; column=20; block=5; x=50; y=581,S1
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize037,plant,,row=3; column=1; block=1; x=100; y=110,S1
UHEL_EPPN11_L,NCBITAXON:4577,Zea,maize,EPPN11_L,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize038,plant,,row=3; column=2; block=1; x=100; y=135,S1
UHEL_EPPN11_H,NCBITAXON:4577,Zea,maize,EPPN11_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize039,plant,,row=3; column=3; block=1; x=100; y=160,S2
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize040,plant,,row=3; column=4; block=1; x=100; y=184,S2
UHEL_EPPN12_H,NCBITAXON:4577,Zea,maize,EPPN12_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize041,plant,,row=3; column=5; block=2; x=100; y=209,S2
UHEL_EPPN04_H,NCBITAXON:4577,Zea,maize,EPPN04_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize042,plant,,row=3; column=6; block=2; x=100; y=234,S2
UHEL_EPPN10_H,NCBITAXON:4577,Zea,maize,EPPN10_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize043,plant,,row=3; column=7; block=2; x=100; y=259,S1
UHEL_EPPN03_H,NCBITAXON:4577,Zea,maize,EPPN03_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize044,plant,,row=3; column=8; block=2; x=100; y=284,S1
UHEL_EPPN07_L,NCBITAXON:4577,Zea,maize,EPPN07_L,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize045,plant,,row=3; column=9; block=3; x=100; y=308,S1
UHEL_EPPN08_H,NCBITAXON:4577,Zea,maize,EPPN08_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize046,plant,,row=3; column=10; block=3; x=100; y=333,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize047,plant,,row=3; column=13; block=4; x=100; y=408,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize048,plant,,row=3; column=14; block=4; x=100; y=432,S1
UHEL_EPPN01_H,NCBITAXON:4577,Zea,maize,EPPN01_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize049,plant,,row=3; column=15; block=4; x=100; y=457,S2
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize050,plant,,row=3; column=16; block=4; x=100; y=482,S2
UHEL_EPPN03_H,NCBITAXON:4577,Zea,maize,EPPN03_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize051,plant,,row=3; column=17; block=5; x=100; y=507,S2
UHEL_EPPN02_H,NCBITAXON:4577,Zea,maize,EPPN02_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize052,plant,,row=3; column=18; block=5; x=100; y=532,S2
UHEL_EPPN10_H,NCBITAXON:4577,Zea,maize,EPPN10_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize053,plant,,row=3; column=19; block=5; x=100; y=556,S1
