Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
1	NA	2020-07-05	NA	35.95	167.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	S1	1	1	1	NaPPI
2	NA	2020-07-05	NA	41.49	219.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN06_H	S1	1	1	2	NaPPI
3	NA	2020-07-05	NA	35.77	205.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN08_H	S2	1	1	3	NaPPI
4	NA	2020-07-05	NA	40.11	103.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN10_L	S2	1	1	4	NaPPI
5	NA	2020-07-05	NA	27.15	135.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN05_H	S2	2	1	5	NaPPI
6	NA	2020-07-05	NA	31.6	118.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN11_H	S2	2	1	6	NaPPI
7	NA	2020-07-05	NA	29.44	221.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN06_H	S1	2	1	7	NaPPI
8	NA	2020-07-05	NA	46.72	278.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN09_H	S1	2	1	8	NaPPI
9	NA	2020-07-05	NA	56.68	218.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN09_H	S1	3	1	9	NaPPI
10	NA	2020-07-05	NA	36.42	182.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN04_H	S2	3	1	11	NaPPI
11	NA	2020-07-05	NA	30.57	146.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN03_H	S2	3	1	12	NaPPI
12	NA	2020-07-05	NA	28.43	118.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN12_H	S1	4	1	13	NaPPI
13	NA	2020-07-05	NA	36.66	226.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN10_H	S1	4	1	14	NaPPI
