timeNumber	timePoint	S_Height_cm_corr	S_Height_cm	wt	genotype	geno.decomp	rowId	colId	plotId
1	2020-06-17T00:00:00Z	13.060664726682024	15.7231581658939	0.04422177774511456	EPPN01_H	Hybrid	1	17	15
1	2020-06-17T00:00:00Z	11.03182878838863	10.1704430705822	0.0410259123843517	EPPN07_L	Line	5	12	83
1	2020-06-17T00:00:00Z	10.833906769544381	11.0410716125709	0.0410259123843517	EPPN07_L	Line	3	9	45
1	2020-06-17T00:00:00Z	4.591537630016973	3.3788253477589	0.0410259056261531	EPPN10_L	Line	2	1	19
1	2020-06-17T00:00:00Z	12.037403884749194	10.9624111282844	0.04102591227085675	EPPN20_T	Line	5	17	88
1	2020-06-17T00:00:00Z	15.010475382618745	15.6534363730037	0.04102591227085675	EPPN20_T	Line	4	4	58
2	2020-06-22T00:00:00Z	3.847584939666198	3.74531169500259	0.24902961335818025	EPPN01_H	Hybrid	1	17	15
2	2020-06-22T00:00:00Z	3.3137670113535633	3.47536321483773	0.23430672628964663	EPPN07_L	Line	5	12	83
2	2020-06-22T00:00:00Z	4.4725195598410785	4.59627511591965	0.23430672628964663	EPPN07_L	Line	3	9	45
2	2020-06-22T00:00:00Z	3.524995185318571	4.16543019062341	0.23430362632379917	EPPN10_L	Line	1	4	4
2	2020-06-22T00:00:00Z	4.98086344339373	4.44789283874293	0.23430362632379917	EPPN10_L	Line	2	1	19
2	2020-06-22T00:00:00Z	3.322869786578413	3.4789386913962	0.23431367710691184	EPPN20_T	Line	5	17	88
2	2020-06-22T00:00:00Z	3.924788156152377	3.34664605873263	0.23431367710691184	EPPN20_T	Line	4	4	58
3	2020-06-23T00:00:00Z	3.7461241813619934	3.75425038639878	0.22266673719735378	EPPN01_H	Hybrid	1	17	15
3	2020-06-23T00:00:00Z	3.6746594884548816	3.5218444100979	0.20761978619972946	EPPN07_L	Line	5	12	83
3	2020-06-23T00:00:00Z	5.118685113517058	4.66599690880991	0.20761978619972946	EPPN07_L	Line	3	9	45
3	2020-06-23T00:00:00Z	4.189145302467878	4.54800618238024	0.20761964186058193	EPPN10_L	Line	1	4	4
3	2020-06-23T00:00:00Z	3.9926484739085994	4.20833590932511	0.20761964186058193	EPPN10_L	Line	2	1	19
3	2020-06-23T00:00:00Z	3.8621419026225663	3.4646367851623	0.20762008282746908	EPPN20_T	Line	5	17	88
3	2020-06-23T00:00:00Z	3.653433342222447	3.42709428129831	0.20762008282746908	EPPN20_T	Line	4	4	58
4	2020-06-24T00:00:00Z	3.680674874260442	3.91693456980939	0.3053638501853786	EPPN01_H	Hybrid	1	17	15
4	2020-06-24T00:00:00Z	4.1152482682655105	3.94196290571872	0.27220100541650244	EPPN07_L	Line	5	12	83
4	2020-06-24T00:00:00Z	5.4344699063589355	5.05751159196293	0.27220100541650244	EPPN07_L	Line	3	9	45
4	2020-06-24T00:00:00Z	4.904906837102622	4.6749356002061	0.2710135797959229	EPPN10_L	Line	1	4	4
4	2020-06-24T00:00:00Z	5.396816955335389	5.35963936115407	0.2710135797959229	EPPN10_L	Line	2	1	19
4	2020-06-24T00:00:00Z	3.6865512199480173	3.57190108191655	0.27581656403800237	EPPN20_T	Line	5	17	88
4	2020-06-24T00:00:00Z	3.599300354687012	3.5504482225657	0.27581656403800237	EPPN20_T	Line	4	4	58
5	2020-06-25T00:00:00Z	4.246772663115268	3.73279752704793	0.668972663096441	EPPN01_H	Hybrid	1	17	15
5	2020-06-25T00:00:00Z	4.450970098266661	4.25839258114376	0.6477226936992359	EPPN07_L	Line	5	12	83
5	2020-06-25T00:00:00Z	6.0069302131389355	5.96568263781558	0.6477226936992359	EPPN07_L	Line	3	9	45
5	2020-06-25T00:00:00Z	5.006290240257378	5.23092220504897	0.6473563886011348	EPPN10_L	Line	1	4	4
5	2020-06-25T00:00:00Z	5.7909570413153535	6.16948480164866	0.6473563886011348	EPPN10_L	Line	2	1	19
5	2020-06-25T00:00:00Z	3.883931539662345	3.62732096857292	0.6488711758530514	EPPN20_T	Line	5	17	88
5	2020-06-25T00:00:00Z	4.272562105925337	4.36744461617725	0.6488711758530514	EPPN20_T	Line	4	4	58
6	2020-06-27T00:00:00Z	4.661642583073423	4.38532199896962	0.6178667211890885	EPPN01_H	Hybrid	1	17	15
6	2020-06-27T00:00:00Z	4.67514854569017	4.4318031942298	0.5922271406493914	EPPN07_L	Line	5	12	83
