Measuring Date,Measuring Time,Experiment ID,Round Order,Tray ID,Tray Info,Plant ID,Position,Plant Name,Plant Info,PID,Camera Position,AREA_PX,AREA_MM,PERIMETER_PX,PERIMETER_MM,COMPACTNESS,ROUNDNESS,ROUNDNESS2,ISOTROPY,ECCENTRICITY,RMS,SOL
2020-02-17,22:02:06,53,8,PS_Tray_001,Maize,PS_Tray_4001,A1,EPPN1_L,S2,RGB2,520,422,"35,51354494","128,9533188","37,40875986","0,6929392447","0,3189020179","0,5241762147",0,"1,633540373","0,9847976917","4,587677725"
2020-02-17,22:04:55,53,8,PS_Tray_002,Maize,PS_Tray_4002,A1,EPPN_T,S2,RGB2,520,1400,"117,8174477","151,7817459","44,03118072","0,9936124911","0,7636578341","0,8533224515",0,"0,4910714286","0,8490906093","1,142857143"
2020-02-17,22:16:36,53,8,PS_Tray_003,Maize,PS_Tray_4003,A1,EPPN2_H,S2,RGB2,550,688,"61,21935451","159,7817459","47,66255466","0,5421591805","0,3386444618","0,5167950312",0,"1,231660232","0,967398427","3,63372093"
2020-02-17,22:26:10,53,8,PS_Tray_004,Maize,PS_Tray_4004,A1,EPPN3_H,S2,RGB2,520,508,"42,75090244","148,8528137","43,18151107","0,8566610455","0,2881107609","0,3808388629",0,"2,653225806","0,9922557854","5,12007874"
2020-02-17,22:37:05,53,8,PS_Tray_005,Maize,PS_Tray_4005,A1,EPPN4_H,S2,RGB2,500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-17,22:47:36,53,8,PS_Tray_006,Maize,PS_Tray_4006,A1,EPPN3_L,S2,RGB2,500,125,"10,12656789","47,79898987","13,60488427","0,9398496241","0,6875154138","0,8053821537",0,"0,7578947368","0,906575464","1,352"
2020-02-17,23:00:31,53,8,PS_Tray_007,Maize,PS_Tray_4007,A1,EPPN4_L,S2,RGB2,520,473,"39,80546625","109,3553391","31,7234768","0,8924528302","0,4970396352","0,6070155414",0,"1,513793103","0,9710280305","2,589852008"
2020-02-17,23:09:45,53,8,PS_Tray_008,Maize,PS_Tray_4008,A1,EPPN2_L,S2,RGB2,550,1013,"90,13838098","163,7817459","48,85574614","0,833744856","0,4745569264","0,6412937613",0,"0,9582309582","0,9443110293","2,87857848"
2020-02-17,23:20:44,53,8,PS_Tray_009,Maize,PS_Tray_4009,A1,EPPN1_H,S2,RGB2,520,79,"6,648270261","30,97056275","8,98441665",1,"1,034996216","1,068774705",NaN,"0,2794117647","0,7007161355","0,2025316456"
2020-02-17,23:29:53,53,8,PS_Tray_010,Maize,PS_Tray_4010,A1,EPPN3_H,S1,RGB2,520,103,"8,667997936","36,627417","10,62544384","1,009803922","0,9647937979","1,023963816",NaN,"0,4875","0,6945928327","0,08737864078"
2020-02-17,23:40:25,53,8,PS_Tray_011,Maize,PS_Tray_4011,A1,EPPN1_L,S1,RGB2,500,90,"7,291128883","34,627417","9,85589867","0,989010989","0,9432182161","1,022629046",NaN,"0,5692307692","0,7347082856","0,2777777778"
2020-02-17,23:48:49,53,8,PS_Tray_012,Maize,PS_Tray_4012,A1,EPPN1_H,S1,RGB2,500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-17,23:57:21,53,8,PS_Tray_013,Maize,PS_Tray_4013,A1,EPPN4_H,S1,RGB2,500,114,"9,235429918","46,87005769","13,34048506","0,890625","0,6521143233","0,9155845836",NaN,"0,7272727273","0,7819091156","1,48245614"
2020-02-18,00:06:29,53,8,PS_Tray_014,Maize,PS_Tray_4014,A1,EPPN2_L,S1,RGB2,520,373,"31,38993427","109,5979797","31,79386574","0,9164619165","0,3902236604","0,4745383256",0,"2,025773196","0,9835670819","4,289544236"
2020-02-18,00:16:53,53,8,PS_Tray_015,Maize,PS_Tray_4015,A1,EPPN4_L,S1,RGB2,500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-18,00:23:18,53,8,PS_Tray_016,Maize,PS_Tray_4016,A1,EPPN_T,S1,RGB2,500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-02-18,00:33:04,53,8,PS_Tray_017,Maize,PS_Tray_4017,A1,EPPN2_H,S1,RGB2,520,235,"19,77650014","63,69848481","18,47863509","0,9362549801","0,7278125205","0,9874384325",NaN,"0,3482587065","0,1657433989","0,514893617"
2020-02-18,00:42:15,53,8,PS_Tray_018,Maize,PS_Tray_4018,A1,EPPN3_L,S1,RGB2,500,92,"7,453153969","41,21320344","11,73039147","0,8518518519","0,680651719","0,9115399237",0,"0,5625","0,5552554278","1,565217391"
2020-02-18,00:49:02,53,8,PS_Tray_019,Maize,PS_Tray_4019,A1,EPPN1_L,S1,RGB2,520,2312,"194,5670993","222,4507935","64,53194374","0,9307568438","0,5871239213","0,7222182935","0,5053752147","0,5607476636","0,8690716925","3,198961938"
2020-02-18,01:00:30,53,8,PS_Tray_020,Maize,PS_Tray_4020,A1,EPPN2_L,S1,RGB2,500,2132,"172,718742","316,8944443","90,1967228","0,7413073713","0,2667889352","0,408845068",0,"1,997185081","0,9872642415","7,446529081"
2020-02-18,01:10:15,53,8,PS_Tray_021,Maize,PS_Tray_4021,A1,EPPN_T,S1,RGB2,520,1113,"93,6648709","149,3969696","43,33936817","0,9823477493","0,6266448167","0,6933012901",0,"0,9400798935","0,9318257201","2,336927224"
