Unit ID,Timestamp,Device ID,Variable ID,Value
A_01_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.9400
A_02_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.1700
A_03_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.6100
A_05_1,,SCALE_SEFY_01,HarvestRootFreshMass,4.3200
A_06_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.2800
A_07_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.9000
A_08_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.6300
A_09_1,,SCALE_SEFY_01,HarvestRootFreshMass,5.5400
A_10_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.5400
A_12_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.6800
A_13_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.1700
A_14_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.8500
A_15_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.5900
A_16_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.3600
A_17_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.2500
A_19_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.1800
A_20_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.4200
A_22_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.4500
A_24_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.2300
A_25_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.8800
A_27_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.6500
A_28_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.5900
A_29_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.1300
A_30_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.1900
A_33_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.8900
A_34_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.8200
A_35_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.4100
A_36_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.4700
A_37_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.8100
A_38_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.6600
A_39_1,,SCALE_SEFY_01,HarvestRootFreshMass,4.3100
A_40_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.6300
A_41_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.1300
A_42_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.4300
A_43_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.8700
A_44_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.8800
A_45_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.5500
A_48_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.3800
A_49_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.4500
A_50_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.1100
A_55_1,,SCALE_SEFY_01,HarvestRootFreshMass,4.4400
A_56_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.2300
A_57_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.8700
A_58_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.2200
A_60_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.3300
A_62_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.4800
A_66_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.1300
A_67_1,,SCALE_SEFY_01,HarvestRootFreshMass,4.3200
A_70_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.0800
A_74_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.7000
A_76_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.2100
A_78_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.3600
A_81_1,,SCALE_SEFY_01,HarvestRootFreshMass,3.3600
A_83_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.1000
A_85_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.9200
A_90_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.1300
A_91_1,,SCALE_SEFY_01,HarvestRootFreshMass,1.3300
A_93_1,,SCALE_SEFY_01,HarvestRootFreshMass,2.0500
A_96_1,,SCALE_SEFY_01,HarvestRootFreshMass,0.7900
A_99_1,,SCALE_SEFY_01,HarvestRootFreshMass,4.7300
A_03_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.1600
A_04_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.8300
A_07_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.1400
A_08_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.1200
A_09_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.6400
A_10_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.5400
A_11_2,,SCALE_SEFY_01,HarvestRootFreshMass,0.9500
A_13_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.3700
A_15_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.4500
A_16_2,,SCALE_SEFY_01,HarvestRootFreshMass,0.5100
A_17_2,,SCALE_SEFY_01,HarvestRootFreshMass,0.1600
A_19_2,,SCALE_SEFY_01,HarvestRootFreshMass,4.8100
A_20_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.8400
A_21_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.5500
A_22_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.7600
A_23_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.0700
A_24_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.4800
A_25_2,,SCALE_SEFY_01,HarvestRootFreshMass,4.1300
A_28_2,,SCALE_SEFY_01,HarvestRootFreshMass,4.1500
A_29_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.0600
A_30_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.5700
A_32_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.2500
A_34_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.8300
A_36_2,,SCALE_SEFY_01,HarvestRootFreshMass,4.2100
A_38_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.2400
A_40_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.5500
A_42_2,,SCALE_SEFY_01,HarvestRootFreshMass,5.2000
A_43_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.9000
A_44_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.0900
A_45_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.9400
A_46_2,,SCALE_SEFY_01,HarvestRootFreshMass,4.3500
A_47_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.2300
A_49_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.6500
A_50_2,,SCALE_SEFY_01,HarvestRootFreshMass,4.1500
A_52_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.7500
A_57_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.8300
A_58_2,,SCALE_SEFY_01,HarvestRootFreshMass,6.0200
A_60_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.2100
A_63_2,,SCALE_SEFY_01,HarvestRootFreshMass,0.0400
A_64_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.7300
A_68_2,,SCALE_SEFY_01,HarvestRootFreshMass,4.3800
A_70_2,,SCALE_SEFY_01,HarvestRootFreshMass,0.2900
A_71_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.0800
A_73_2,,SCALE_SEFY_01,HarvestRootFreshMass,5.4600
A_77_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.6600
A_80_2,,SCALE_SEFY_01,HarvestRootFreshMass,2.5100
A_81_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.1700
A_85_2,,SCALE_SEFY_01,HarvestRootFreshMass,3.3600
A_87_2,,SCALE_SEFY_01,HarvestRootFreshMass,4.4800
A_88_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.2700
A_89_2,,SCALE_SEFY_01,HarvestRootFreshMass,0.5200
A_90_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.4300
A_92_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.9300
A_95_2,,SCALE_SEFY_01,HarvestRootFreshMass,1.8700
