SessionName:,2021-06 TNA - Mspec v1.0 0001
SessionRecipe:,2021-06 TNA - Mspec v1.0
Date:,17-09-2021
Time:,18:34:34
Processing Algorithm:,VM.Lab.Session.StaticsKeyValues
Processing Algorithm:,VM.Lab.Session.StaticsKeyValues
,NoImageBands,BlobSizeMin,BlobSizeMax,HistMinimum,HistMaximum,HistogramImageBand,HistogramNumBins,Scale,NumKeyValues,MultiCapture,MultiCaptureIndex,
,15,0,10000,0,0,1,100,5,30,1,-1,
,
Index,Sample ID,Comment,Initials,Status,TimeStamp,ImageFileName,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,
1,Giant__PlantId_1_2021-06-14 20.14.05.260,,,,2021-06-14_20.13.10.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_1_2021-06-14 20.14.05.260.hips,3.021719,2.444878,4.520876,4.674611,2.737421,2.01877,3.150077,18.25895,18.21447,17.05102,8.130551,8.317286,8.139442,8.431993,11.61471,0.8042098,0.7246187,1.112754,1.155876,0.8192001,0.6917441,0.8613004,3.88855,3.808937,3.683302,1.213256,1.373573,1.297106,1.208744,1.822892,
2,Giant__PlantId_1_2021-06-15 11.54.09.874,,,,2021-06-15_11.53.14.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_1_2021-06-15 11.54.09.874.hips,3.733014,3.12311,5.723198,5.647859,3.674624,2.695525,4.036316,21.53847,21.32661,19.92129,7.467963,7.684625,7.502182,8.141386,12.45554,0.9266267,0.7632177,1.259676,1.252,0.8763409,0.7007362,0.9029095,4.766869,4.713393,4.488513,1.431754,1.446036,1.440958,1.060147,2.080663,
3,Giant__PlantId_1_2021-06-16 18.00.18.147,,,,2021-06-16_17.59.23.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_1_2021-06-16 18.00.18.147.hips,3.233944,2.752703,4.93558,4.833257,3.202518,2.340569,3.483364,18.99598,18.88556,17.4804,7.211311,7.405319,7.23819,7.916465,11.71031,0.9107406,0.7370756,1.214356,1.224236,0.8933635,0.7116448,0.9111732,4.065529,4.011621,3.793905,1.355955,1.375224,1.329977,0.9677789,1.646258,
4,Giant__PlantId_1_2021-06-17 11.58.28.247,,,,2021-06-17_11.57.30.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_1_2021-06-17 11.58.28.247.hips,3.035537,2.471081,4.495445,4.467056,2.849392,2.042919,3.115811,17.22318,17.11922,15.88351,7.098573,7.266044,7.118998,7.800554,11.57857,1.172687,1.007907,1.456035,1.466869,1.038773,0.8302364,1.066778,4.122076,4.03372,3.891922,1.834793,1.878682,1.845273,1.381586,2.049497,
5,Giant__PlantId_1_2021-06-21 18.00.39.643,,,,2021-06-21_17.59.44.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_1_2021-06-21 18.00.39.643.hips,3.630913,2.55707,4.848512,5.002306,2.814986,2.04727,3.283909,19.51723,19.44096,18.35117,8.012611,8.175922,8.054383,8.432745,13.20672,1.120699,0.9541225,1.503387,1.535209,1.000682,0.7979861,1.057151,5.444482,5.466758,5.312213,0.9120247,0.8783606,0.47043,0.4648367,1.894063,
6,Giant__PlantId_1_2021-06-22 12.04.18.717,,,,2021-06-22_12.03.24.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_1_2021-06-22 12.04.18.717.hips,3.792449,2.738621,5.042419,4.999693,3.103667,2.238519,3.493201,19.9128,19.76524,18.52906,8.093584,8.246158,8.141737,8.529529,13.73994,1.091717,0.9528804,1.471016,1.481961,1.016924,0.8183798,1.056568,5.24606,5.23592,5.10355,0.99447,0.977582,0.6238326,0.5284674,1.833053,
7,Giant__PlantId_1_2021-06-23 18.03.51.108,,,,2021-06-23_18.02.55.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_1_2021-06-23 18.03.51.108.hips,2.749048,1.674816,3.617879,3.720369,1.91495,1.327201,2.343261,15.95138,16.05729,14.89495,6.664319,6.782083,6.710631,7.578555,12.6861,0.7918111,0.6681315,1.108858,1.141837,0.8110005,0.6681283,0.8309408,3.829439,3.864496,3.621134,1.665857,1.656246,1.63884,1.1351,1.693835,
8,Giant__PlantId_1_2021-06-24 11.59.25.823,,,,2021-06-24_11.58.30.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_1_2021-06-24 11.59.25.823.hips,2.682585,1.843412,3.585716,3.552429,2.111947,1.450649,2.396762,15.22425,15.18358,14.02702,6.638019,6.763975,6.660233,7.515641,11.98026,0.8395245,0.7311221,1.062194,1.052597,0.8620614,0.7060378,0.844866,3.554516,3.542858,3.313599,2.17099,2.17599,2.171486,1.529652,1.508375,
9,Giant__PlantId_10_2021-06-14 20.16.52.804,,,,2021-06-14_20.15.55.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_10_2021-06-14 20.16.52.804.hips,3.066921,2.352711,4.804302,5.027839,2.758567,1.935566,3.199685,18.69464,18.76068,17.55352,8.027799,8.210319,8.054111,8.368875,11.6696,0.6870372,0.8820662,1.028203,1.080328,0.6991316,0.5642344,0.7086253,3.864845,3.728035,3.592297,0.4970799,0.4917319,0.4761416,0.4321457,1.304268,
10,Giant__PlantId_10_2021-06-15 11.56.55.031,,,,2021-06-15_11.55.59.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_10_2021-06-15 11.56.55.031.hips,3.087625,2.423408,4.876069,4.866815,2.933799,2.064734,3.301635,18.47842,18.47086,17.17194,7.959144,8.166096,7.991784,8.367754,11.77396,0.6554882,0.780705,1.097556,1.063883,0.7338417,0.5954764,0.7433576,4.202996,4.255443,4.093078,0.6866135,0.6772606,0.6280938,0.5011892,1.158607,
11,Giant__PlantId_10_2021-06-16 18.02.59.015,,,,2021-06-16_18.02.04.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_10_2021-06-16 18.02.59.015.hips,2.935413,2.295966,4.406365,4.290916,2.699957,1.92564,2.998591,17.53187,17.47069,16.23193,7.520985,7.705585,7.558677,8.141131,11.67241,0.8464934,0.7099892,1.142419,1.091533,0.7433288,0.5866015,0.7680908,4.036756,4.091751,3.856269,0.9365082,0.9311212,0.9077742,0.6542959,1.470759,
12,Giant__PlantId_10_2021-06-17 12.01.16.462,,,,2021-06-17_12.00.19.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_10_2021-06-17 12.01.16.462.hips,2.776603,2.065322,3.912133,3.898934,2.353099,1.631042,2.655259,15.53038,15.53696,14.46543,7.811048,7.965711,7.819211,8.296377,11.61053,1.058984,1.067461,1.270881,1.275986,0.8443043,0.6450048,0.8748599,4.019551,3.83123,3.630048,0.7257568,0.7234244,0.713935,0.567475,1.790086,
13,Giant__PlantId_10_2021-06-21 18.03.35.065,,,,2021-06-21_18.02.39.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_10_2021-06-21 18.03.35.065.hips,2.860536,1.903467,3.559588,3.631714,2.00522,1.455613,2.345883,16.16364,16.32687,15.35852,8.053669,8.153073,8.095732,8.378617,12.16789,0.8248098,0.657584,1.105911,1.163727,0.7487099,0.6101229,0.812887,5.62609,5.594594,5.423022,0.532396,0.5241264,0.49486,0.4456562,1.310557,
14,Giant__PlantId_10_2021-06-22 12.07.01.238,,,,2021-06-22_12.06.06.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_10_2021-06-22 12.07.01.238.hips,3.095185,2.118418,3.826947,3.691849,2.346594,1.666612,2.602745,16.04323,16.07427,15.02613,8.116433,8.24322,8.154205,8.482968,12.78954,0.8730606,0.667891,1.120838,1.097391,0.7927966,0.6308375,0.8006147,4.300285,4.25683,4.0819,0.6475252,0.6496096,0.5787766,0.5024957,1.626777,
15,Giant__PlantId_10_2021-06-23 18.06.38.356,,,,2021-06-23_18.05.43.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_10_2021-06-23 18.06.38.356.hips,2.327778,1.45227,2.678445,2.69574,1.486779,1.088153,1.740618,12.176,12.33637,11.54677,7.910423,8.016106,7.96662,8.302922,11.93964,0.9183073,0.7518204,0.9979013,0.9946964,0.7695025,0.6308761,0.753669,2.355526,2.372098,2.330857,0.5596095,0.5579059,0.5032445,0.4484283,1.566352,
16,Giant__PlantId_10_2021-06-24 12.02.19.202,,,,2021-06-24_12.01.21.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_10_2021-06-24 12.02.19.202.hips,2.189916,1.511077,2.611959,2.558908,1.594301,1.160545,1.760526,12.06381,12.11323,11.38225,7.951762,8.059548,7.962219,8.270232,11.34731,0.9190742,0.7412233,0.938626,0.9198571,0.7073143,0.5711054,0.6842971,2.843517,2.75919,2.735024,1.125609,1.071888,0.6460166,0.5215266,1.092535,
17,Giant__PlantId_100_2021-06-14 20.44.46.719,,,,2021-06-14_20.43.49.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-14 20.44.46.719.hips,3.099744,2.592836,4.321059,4.411196,2.771079,2.142133,3.040377,18.49049,18.54825,17.2961,8.154771,8.303258,8.179771,8.461354,12.1329,0.8733626,1.045908,1.199081,1.228516,0.9690536,0.8366423,0.9422815,4.247002,4.172104,4.018749,0.4557026,0.4584251,0.4595564,0.4375869,1.165125,
18,Giant__PlantId_100_2021-06-15 12.24.52.892,,,,2021-06-15_12.23.55.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-15 12.24.52.892.hips,3.00676,2.548507,4.074732,3.963255,2.721394,2.074847,2.909572,17.02602,16.90704,15.77467,8.266013,8.399138,8.300527,8.557998,12.18973,1.018487,1.190368,1.302057,1.274449,1.042499,0.8708187,0.989491,4.266398,4.203311,3.997151,0.5939894,0.5782921,0.5674427,0.4970037,1.386447,
19,Giant__PlantId_100_2021-06-16 18.31.15.783,,,,2021-06-16_18.30.20.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-16 18.31.15.783.hips,3.22478,2.57472,4.287967,4.145091,2.797817,2.108115,3.013822,18.38174,18.16714,16.97071,8.256308,8.384045,8.298184,8.577401,13.02167,1.251257,1.252039,1.564676,1.503071,1.258147,1.058761,1.211131,4.879358,4.790809,4.660371,1.427394,1.601777,1.287171,1.25358,1.851827,
20,Giant__PlantId_100_2021-06-17 12.29.14.854,,,,2021-06-17_12.28.19.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-17 12.29.14.854.hips,3.553443,2.73007,4.555797,4.467255,2.944214,2.219769,3.207033,19.75498,19.58103,18.30686,8.246425,8.38012,8.286511,8.622323,13.61129,1.195188,1.084122,1.426935,1.404283,1.052703,0.8996098,1.054608,4.855543,4.762969,4.632125,1.264505,1.412102,1.137526,1.117434,2.157236,
21,Giant__PlantId_100_2021-06-21 18.32.16.965,,,,2021-06-21_18.31.22.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-21 18.32.16.965.hips,3.083415,2.278088,3.81724,3.867497,2.400188,1.852782,2.672546,16.79655,17.07236,16.07427,8.173989,8.285265,8.224031,8.480466,12.62022,0.9324735,0.8306342,1.194278,1.222875,0.8909999,0.7448424,0.9215587,4.604924,4.68511,4.537939,0.4925265,0.4943765,0.4553145,0.4375874,1.355404,
22,Giant__PlantId_100_2021-06-22 12.35.59.611,,,,2021-06-22_12.35.05.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_100_2021-06-22 12.35.59.611.hips,3.113373,2.278572,3.774029,3.659683,2.417511,1.800569,2.631687,16.31703,16.48714,15.47971,8.249578,8.35624,8.290444,8.572063,12.95979,1.104492,0.9692564,1.271235,1.259279,0.905101,0.7498503,0.9268093,4.614734,4.602648,4.469851,1.139373,1.263714,1.020028,0.985499,1.858495,
