Date and Time,Type:,Fixture ID:,Measurement:
29/06/2021 05.25.01,Height (mm)                   ,102,"583,00"
29/06/2021 05.23.17,Height (mm)                   ,93,"379,00"
29/06/2021 05.21.38,Height (mm)                   ,84,"516,00"
29/06/2021 05.20.09,Height (mm)                   ,75,"606,00"
29/06/2021 05.18.44,Height (mm)                   ,66,"606,00"
29/06/2021 05.17.27,Height (mm)                   ,57,"564,00"
29/06/2021 05.16.09,Height (mm)                   ,48,"605,00"
29/06/2021 05.14.54,Height (mm)                   ,39,"606,00"
29/06/2021 05.13.36,Height (mm)                   ,30,"605,00"
29/06/2021 05.12.19,Height (mm)                   ,21,"515,00"
29/06/2021 05.10.02,Height (mm)                   ,12,"534,00"
29/06/2021 05.08.48,Height (mm)                   ,3,"168,00"
29/06/2021 05.05.39,Height (mm)                   ,112,"487,00"
29/06/2021 05.03.49,Height (mm)                   ,103,"606,00"
29/06/2021 05.02.06,Height (mm)                   ,94,"513,00"
29/06/2021 05.00.29,Height (mm)                   ,85,"542,00"
29/06/2021 04.58.58,Height (mm)                   ,76,"606,00"
29/06/2021 04.57.34,Height (mm)                   ,67,"606,00"
29/06/2021 04.56.17,Height (mm)                   ,58,"606,00"
29/06/2021 04.54.59,Height (mm)                   ,49,"605,00"
29/06/2021 04.53.44,Height (mm)                   ,40,"606,00"
29/06/2021 04.52.27,Height (mm)                   ,31,"605,00"
29/06/2021 04.51.10,Height (mm)                   ,22,"441,00"
29/06/2021 04.48.50,Height (mm)                   ,13,"605,00"
29/06/2021 04.47.38,Height (mm)                   ,4,"29,00"
29/06/2021 04.44.28,Height (mm)                   ,113,"500,00"
29/06/2021 04.42.41,Height (mm)                   ,104,"517,00"
29/06/2021 04.40.56,Height (mm)                   ,95,"606,00"
29/06/2021 04.39.19,Height (mm)                   ,86,"385,00"
29/06/2021 04.37.49,Height (mm)                   ,77,"605,00"
29/06/2021 04.36.26,Height (mm)                   ,68,"523,00"
29/06/2021 04.35.07,Height (mm)                   ,59,"533,00"
29/06/2021 04.33.51,Height (mm)                   ,50,"606,00"
29/06/2021 04.32.34,Height (mm)                   ,41,"603,00"
29/06/2021 04.31.19,Height (mm)                   ,32,"606,00"
29/06/2021 04.30.01,Height (mm)                   ,23,"401,00"
29/06/2021 04.27.42,Height (mm)                   ,14,"605,00"
29/06/2021 04.26.29,Height (mm)                   ,5,"605,00"
29/06/2021 04.23.19,Height (mm)                   ,114,"455,00"
29/06/2021 04.21.32,Height (mm)                   ,105,"567,00"
29/06/2021 04.19.48,Height (mm)                   ,96,"578,00"
29/06/2021 04.18.11,Height (mm)                   ,87,"605,00"
29/06/2021 04.16.40,Height (mm)                   ,78,"605,00"
29/06/2021 04.15.15,Height (mm)                   ,69,"542,00"
29/06/2021 04.13.57,Height (mm)                   ,60,"607,00"
29/06/2021 04.12.43,Height (mm)                   ,51,"37,00"
29/06/2021 04.11.26,Height (mm)                   ,42,"518,00"
29/06/2021 04.10.08,Height (mm)                   ,33,"607,00"
29/06/2021 04.08.52,Height (mm)                   ,24,"566,00"
29/06/2021 04.06.32,Height (mm)                   ,15,"393,00"
29/06/2021 04.05.18,Height (mm)                   ,6,"504,00"
29/06/2021 04.02.10,Height (mm)                   ,115,"577,00"
29/06/2021 04.00.23,Height (mm)                   ,106,"606,00"
29/06/2021 03.58.39,Height (mm)                   ,97,"522,00"
29/06/2021 03.57.00,Height (mm)                   ,88,"605,00"
29/06/2021 03.55.30,Height (mm)                   ,79,"508,00"
29/06/2021 03.54.07,Height (mm)                   ,70,"504,00"
29/06/2021 03.52.47,Height (mm)                   ,61,"606,00"
29/06/2021 03.51.33,Height (mm)                   ,52,"577,00"
29/06/2021 03.50.16,Height (mm)                   ,43,"606,00"
29/06/2021 03.48.59,Height (mm)                   ,34,"606,00"
29/06/2021 03.47.43,Height (mm)                   ,25,"605,00"
29/06/2021 03.45.23,Height (mm)                   ,16,"557,00"
29/06/2021 03.44.09,Height (mm)                   ,7,"566,00"
29/06/2021 03.41.00,Height (mm)                   ,116,"529,00"
29/06/2021 03.39.13,Height (mm)                   ,107,"602,00"
29/06/2021 03.37.29,Height (mm)                   ,98,"606,00"
29/06/2021 03.35.51,Height (mm)                   ,89,"493,00"
29/06/2021 03.34.22,Height (mm)                   ,80,"606,00"
29/06/2021 03.32.56,Height (mm)                   ,71,"604,00"
29/06/2021 03.31.39,Height (mm)                   ,62,"604,00"
29/06/2021 03.30.22,Height (mm)                   ,53,"476,00"
29/06/2021 03.29.05,Height (mm)                   ,44,"432,00"
29/06/2021 03.27.49,Height (mm)                   ,35,"508,00"
29/06/2021 03.26.32,Height (mm)                   ,26,"606,00"
29/06/2021 03.24.12,Height (mm)                   ,17,"604,00"
29/06/2021 03.23.00,Height (mm)                   ,8,"599,00"
29/06/2021 03.19.50,Height (mm)                   ,117,"567,00"
29/06/2021 03.18.02,Height (mm)                   ,108,"591,00"
29/06/2021 03.16.18,Height (mm)                   ,99,"585,00"
29/06/2021 03.14.42,Height (mm)                   ,90,"606,00"
29/06/2021 03.13.11,Height (mm)                   ,81,"505,00"
29/06/2021 03.11.46,Height (mm)                   ,72,"374,00"
29/06/2021 03.10.30,Height (mm)                   ,63,"604,00"
29/06/2021 03.09.14,Height (mm)                   ,54,"605,00"
29/06/2021 03.07.56,Height (mm)                   ,45,"481,00"
29/06/2021 03.06.41,Height (mm)                   ,36,"605,00"
29/06/2021 03.05.36,Height (mm)                   ,27,"579,00"
29/06/2021 03.04.31,Height (mm)                   ,18,"603,00"
29/06/2021 03.03.27,Height (mm)                   ,9,"436,00"
28/06/2021 16.08.25,Height (mm)                   ,109,"600,00"
28/06/2021 16.06.36,Height (mm)                   ,100,"607,00"
28/06/2021 16.04.54,Height (mm)                   ,91,"563,00"
28/06/2021 16.03.15,Height (mm)                   ,82,"472,00"
28/06/2021 16.01.45,Height (mm)                   ,73,"606,00"
28/06/2021 16.00.21,Height (mm)                   ,64,"474,00"
28/06/2021 15.59.04,Height (mm)                   ,55,"606,00"
28/06/2021 15.57.48,Height (mm)                   ,46,"606,00"
28/06/2021 15.56.31,Height (mm)                   ,37,"384,00"
28/06/2021 15.55.14,Height (mm)                   ,28,"606,00"
28/06/2021 15.53.58,Height (mm)                   ,19,"605,00"
28/06/2021 15.51.38,Height (mm)                   ,10,"573,00"
28/06/2021 15.50.08,Height (mm)                   ,1,"474,00"
28/06/2021 15.47.15,Height (mm)                   ,110,"394,00"
28/06/2021 15.45.28,Height (mm)                   ,101,"606,00"
28/06/2021 15.43.46,Height (mm)                   ,92,"583,00"
28/06/2021 15.42.08,Height (mm)                   ,83,"580,00"
28/06/2021 15.40.36,Height (mm)                   ,74,"590,00"
28/06/2021 15.39.11,Height (mm)                   ,65,"581,00"
28/06/2021 15.37.55,Height (mm)                   ,56,"437,00"
28/06/2021 15.36.38,Height (mm)                   ,47,"606,00"
28/06/2021 15.35.21,Height (mm)                   ,38,"404,00"
28/06/2021 15.34.06,Height (mm)                   ,29,"606,00"
28/06/2021 15.32.50,Height (mm)                   ,20,"387,00"
28/06/2021 15.30.30,Height (mm)                   ,11,"607,00"
28/06/2021 15.28.58,Height (mm)                   ,2,"559,00"
28/06/2021 15.26.07,Height (mm)                   ,111,"382,00"
28/06/2021 15.24.20,Height (mm)                   ,102,"604,00"
28/06/2021 15.22.36,Height (mm)                   ,93,"369,00"
28/06/2021 15.20.59,Height (mm)                   ,84,"492,00"
28/06/2021 15.19.30,Height (mm)                   ,75,"605,00"
28/06/2021 15.18.04,Height (mm)                   ,66,"606,00"
