Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Factor Value[growth substrate effect]
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_1,plant,,e.g. row=1; column=1; rep=1,S2
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_2,plant,,e.g. row=1; column=1; rep=2,S2
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_3,plant,,e.g. row=1; column=1; rep=3,S2
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_4,plant,,e.g. row=1; column=1; rep=4,S2
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_5,plant,,e.g. row=1; column=1; rep=5,S2
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_6,plant,,e.g. row=1; column=1; rep=6,S2
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_7,plant,,,S2
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_8,plant,,,S2
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_9,plant,,,S2
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_10,plant,,,S1
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_11,plant,,,S1
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_12,plant,,,S1
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_13,plant,,,S1
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_14,plant,,,S1
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_15,plant,,,S1
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_16,plant,,,S1
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_17,plant,,,S1
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_18,plant,,,S1
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_19,plant,,,S2
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_20,plant,,,S2
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_21,plant,,,S2
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_22,plant,,,S2
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_23,plant,,,S2
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_24,plant,,,S2
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_25,plant,,,S2
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_26,plant,,,S2
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_27,plant,,,S2
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_28,plant,,,S1
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_29,plant,,,S1
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_30,plant,,,S1
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_31,plant,,,S1
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_32,plant,,,S1
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_33,plant,,,S1
