"","Number","Maize_cultivar","DW_shoot_g","DW_root_g","Soil","Genotype","Replication"
"2","1","S2,EPPN1_L","2,2","1","S2","EPPN1_L","1"
"3","2","S2,EPPN4_H","2,7","0,5","S2","EPPN4_H","1"
"4","3","S2,EPPN1_H","2,7","0,3","S2","EPPN1_H","1"
"5","4","S2,EPPN2_L","1,1","0,1","S2","EPPN2_L","1"
"6","5","S2,EPPN3_L","2,2","0,4","S2","EPPN3_L","1"
"7","6","S2,EPPN4_L","1,3","0,4","S2","EPPN4_L","1"
"8","7","S2,EPPN_T","1,2","0,2","S2","EPPN_T","1"
"9","8","S2,EPPN3_H","3,1","1","S2","EPPN3_H","1"
"10","9","S2,EPPN2_H","1,6","0,4","S2","EPPN2_H","1"
"11","10","S1,EPPN1_L","4,6","0,9","S1","EPPN1_L","1"
"12","11","S1,EPPN3_H","4,3","0,6","S1","EPPN3_H","1"
"13","12","S1,EPPN1_H","5,6","1,2","S1","EPPN1_H","1"
"14","13","S1,EPPN4_H","4,1","1","S1","EPPN4_H","1"
"15","14","S1,EPPN4_L","3,7","0,9","S1","EPPN4_L","1"
"16","15","S1,EPPN2_L","1,8","0,1","S1","EPPN2_L","1"
"17","16","S1,EPPN2_H","4,9","1,5","S1","EPPN2_H","1"
"18","17","S1,EPPN3_L","3,4","0,6","S1","EPPN3_L","1"
"19","18","S1,EPPN_T","3,2","0,8","S1","EPPN_T","1"
"20","19","S2,EPPN3_H","3,6","0,8","S2","EPPN3_H","2"
"21","20","S2,EPPN2_L","1,5","0,3","S2","EPPN2_L","2"
"22","21","S2,EPPN_T","0,9","0,1","S2","EPPN_T","2"
"23","22","S2,EPPN2_H","2,6","0,6","S2","EPPN2_H","2"
"24","23","S2,EPPN4_L","1,0","0,1","S2","EPPN4_L","2"
"25","24","S2,EPPN1_L","3,2","0,9","S2","EPPN1_L","2"
"26","25","S2,EPPN3_L","3,1","0,9","S2","EPPN3_L","2"
"27","26","S2,EPPN4_H","3,3","0,8","S2","EPPN4_H","2"
"28","27","S2,EPPN1_H","3,8","1,7","S2","EPPN1_H","2"
"29","28","S1,EPPN3_H","6,3","1,1","S1","EPPN3_H","2"
"30","29","S1,EPPN3_L","3,4","0,7","S1","EPPN3_L","2"
"31","30","S1,EPPN1_L","4,2","0,8","S1","EPPN1_L","2"
"32","31","S1,EPPN1_H","7,8","1,9","S1","EPPN1_H","2"
"33","32","S1,EPPN4_H","6,4","2,1","S1","EPPN4_H","2"
"34","33","S1,EPPN_T","2,6","0,5","S1","EPPN_T","2"
"35","34","S1,EPPN4_L","3,4","0,8","S1","EPPN4_L","2"
"36","35","S1,EPPN2_L","2,9","0,7","S1","EPPN2_L","2"
"37","36","S1,EPPN2_H","5,2","2,3","S1","EPPN2_H","2"
"38","37","S2,EPPN2_L","1,6","0,3","S2","EPPN2_L","3"
"39","38","S2,EPPN_T","0,8","0,1","S2","EPPN_T","3"
"40","39","S2,EPPN3_H","2,3","0,5","S2","EPPN3_H","3"
"41","40","S2,EPPN3_L","2,1","0,2","S2","EPPN3_L","3"
"42","41","S2,EPPN4_H","3,1","0,7","S2","EPPN4_H","3"
"43","42","S2,EPPN2_H","3,2","0,7","S2","EPPN2_H","3"
"44","43","S2,EPPN1_H","4,4","1,3","S2","EPPN1_H","3"
"45","44","S2,EPPN4_L","1,2","0,4","S2","EPPN4_L","3"
