Unit.ID	Timestamp	Date	Time	S_Height_cm	S_Height_pixel	S_Area_cmsquared	S_Area_pixel	S_Perimeter_cm	S_Perimeter_pixel	S_Convex_hull_area_cmsquared	S_Solidity	S_Compactness	S_Width_cm	S_Width_pixel	S_Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
102	2021-06-29 05:25:00.55	2021-06-29	05:25:00.55	5.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S1	3	6	9	UCPH
93	2021-06-29 05:23:17.15	2021-06-29	05:23:17.15	3.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S1	5	9	8	UCPH
84	2021-06-29 05:21:38.45	2021-06-29	05:21:38.45	5.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S1	6	12	7	UCPH
75	2021-06-29 05:20:09.05	2021-06-29	05:20:09.05	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S2	2	3	7	UCPH
66	2021-06-29 05:18:44.45	2021-06-29	05:18:44.45	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S1	3	6	6	UCPH
57	2021-06-29 05:17:26.75	2021-06-29	05:17:26.75	5.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	S1	5	9	5	UCPH
48	2021-06-29 05:16:08.95	2021-06-29	05:16:08.95	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S1	6	12	4	UCPH
39	2021-06-29 05:14:53.753	2021-06-29	05:14:53.753	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	2	3	4	UCPH
30	2021-06-29 05:13:36.053	2021-06-29	05:13:36.053	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S1	3	6	3	UCPH
21	2021-06-29 05:12:19.353	2021-06-29	05:12:19.353	5.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S1	5	9	2	UCPH
12	2021-06-29 05:10:01.753	2021-06-29	05:10:01.753	5.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S1	6	12	1	UCPH
3	2021-06-29 05:08:47.653	2021-06-29	05:08:47.653	1.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	S2	2	3	1	UCPH
103	2021-06-29 05:03:49.153	2021-06-29	05:03:49.153	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	S1	4	7	9	UCPH
94	2021-06-29 05:02:05.853	2021-06-29	05:02:05.853	5.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S2	5	10	8	UCPH
85	2021-06-29 05:00:29.453	2021-06-29	05:00:29.453	5.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S2	1	1	8	UCPH
76	2021-06-29 04:58:58.45	2021-06-29	04:58:58.45	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S1	2	4	7	UCPH
67	2021-06-29 04:57:34.05	2021-06-29	04:57:34.05	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S1	4	7	6	UCPH
58	2021-06-29 04:56:16.85	2021-06-29	04:56:16.85	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S2	5	10	5	UCPH
49	2021-06-29 04:54:59.253	2021-06-29	04:54:59.253	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S2	1	1	5	UCPH
40	2021-06-29 04:53:44.15	2021-06-29	04:53:44.15	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S1	2	4	4	UCPH
31	2021-06-29 04:52:26.547	2021-06-29	04:52:26.547	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S1	4	7	3	UCPH
22	2021-06-29 04:51:09.647	2021-06-29	04:51:09.647	4.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	5	10	2	UCPH
13	2021-06-29 04:48:49.75	2021-06-29	04:48:49.75	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S2	1	1	2	UCPH
4	2021-06-29 04:47:37.55	2021-06-29	04:47:37.55	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S1	2	4	1	UCPH
104	2021-06-29 04:42:41.05	2021-06-29	04:42:41.05	5.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S2	4	8	9	UCPH
95	2021-06-29 04:40:56.25	2021-06-29	04:40:56.25	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S2	6	11	8	UCPH
86	2021-06-29 04:39:18.95	2021-06-29	04:39:18.95	3.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S1	1	2	8	UCPH
77	2021-06-29 04:37:48.55	2021-06-29	04:37:48.55	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S2	3	5	7	UCPH
68	2021-06-29 04:36:25.55	2021-06-29	04:36:25.55	5.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S2	4	8	6	UCPH
59	2021-06-29 04:35:06.95	2021-06-29	04:35:06.95	5.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S2	6	11	5	UCPH
50	2021-06-29 04:33:50.65	2021-06-29	04:33:50.65	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S1	1	2	5	UCPH
41	2021-06-29 04:32:34.15	2021-06-29	04:32:34.15	6.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S2	3	5	4	UCPH
32	2021-06-29 04:31:18.65	2021-06-29	04:31:18.65	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	4	8	3	UCPH
23	2021-06-29 04:30:01.45	2021-06-29	04:30:01.45	4.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	S2	6	11	2	UCPH
14	2021-06-29 04:27:41.55	2021-06-29	04:27:41.55	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S1	1	2	2	UCPH
5	2021-06-29 04:26:28.973	2021-06-29	04:26:28.973	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	3	5	1	UCPH
105	2021-06-29 04:21:32.163	2021-06-29	04:21:32.163	5.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S1	5	9	9	UCPH
96	2021-06-29 04:19:47.663	2021-06-29	04:19:47.663	5.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S1	6	12	8	UCPH
87	2021-06-29 04:18:10.663	2021-06-29	04:18:10.663	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S2	2	3	8	UCPH
78	2021-06-29 04:16:40.163	2021-06-29	04:16:40.163	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S1	3	6	7	UCPH
69	2021-06-29 04:15:15.153	2021-06-29	04:15:15.153	5.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S1	5	9	6	UCPH
60	2021-06-29 04:13:56.953	2021-06-29	04:13:56.953	6.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S1	6	12	5	UCPH
51	2021-06-29 04:12:42.653	2021-06-29	04:12:42.653	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S2	2	3	5	UCPH
42	2021-06-29 04:11:26.153	2021-06-29	04:11:26.153	5.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	S1	3	6	4	UCPH
33	2021-06-29 04:10:07.753	2021-06-29	04:10:07.753	6.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S1	5	9	3	UCPH
24	2021-06-29 04:08:51.553	2021-06-29	04:08:51.553	5.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S1	6	12	2	UCPH
15	2021-06-29 04:06:31.953	2021-06-29	04:06:31.953	3.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S2	2	3	2	UCPH
6	2021-06-29 04:05:17.953	2021-06-29	04:05:17.953	5.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S1	3	6	1	UCPH
106	2021-06-29 04:00:23.053	2021-06-29	04:00:23.053	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S2	5	10	9	UCPH
97	2021-06-29 03:58:38.55	2021-06-29	03:58:38.55	5.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	1	1	9	UCPH
88	2021-06-29 03:57:00.25	2021-06-29	03:57:00.25	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S1	2	4	8	UCPH
79	2021-06-29 03:55:29.85	2021-06-29	03:55:29.85	5.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S1	4	7	7	UCPH
70	2021-06-29 03:54:06.753	2021-06-29	03:54:06.753	5.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S2	5	10	6	UCPH
61	2021-06-29 03:52:47.453	2021-06-29	03:52:47.453	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S2	1	1	6	UCPH
52	2021-06-29 03:51:33.05	2021-06-29	03:51:33.05	5.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S1	2	4	5	UCPH
43	2021-06-29 03:50:15.95	2021-06-29	03:50:15.95	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S1	4	7	4	UCPH
34	2021-06-29 03:48:59.15	2021-06-29	03:48:59.15	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S2	5	10	3	UCPH
25	2021-06-29 03:47:42.75	2021-06-29	03:47:42.75	6.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S2	1	1	3	UCPH
16	2021-06-29 03:45:23.25	2021-06-29	03:45:23.25	5.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S1	2	4	2	UCPH
7	2021-06-29 03:44:08.95	2021-06-29	03:44:08.95	5.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S1	4	7	1	UCPH
107	2021-06-29 03:39:12.56	2021-06-29	03:39:12.56	6.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S2	6	11	9	UCPH
98	2021-06-29 03:37:29.47	2021-06-29	03:37:29.47	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S1	1	2	9	UCPH
89	2021-06-29 03:35:50.97	2021-06-29	03:35:50.97	4.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S2	3	5	8	UCPH
80	2021-06-29 03:34:22.07	2021-06-29	03:34:22.07	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S2	4	8	7	UCPH
71	2021-06-29 03:32:55.97	2021-06-29	03:32:55.97	6.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	6	11	6	UCPH
62	2021-06-29 03:31:39.47	2021-06-29	03:31:39.47	6.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S1	1	2	6	UCPH
53	2021-06-29 03:30:22.27	2021-06-29	03:30:22.27	4.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S2	3	5	5	UCPH
44	2021-06-29 03:29:05.37	2021-06-29	03:29:05.37	4.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S2	4	8	4	UCPH
35	2021-06-29 03:27:48.67	2021-06-29	03:27:48.67	5.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S2	6	11	3	UCPH
26	2021-06-29 03:26:32.07	2021-06-29	03:26:32.07	6.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S1	1	2	3	UCPH
17	2021-06-29 03:24:11.97	2021-06-29	03:24:11.97	6.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S2	3	5	2	UCPH
8	2021-06-29 03:23:00.17	2021-06-29	03:23:00.17	5.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S2	4	8	1	UCPH
