Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
1	NA	2021-06-28	NA	2.19162790697674	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S2	1	1	1	UCPH
2	NA	2021-06-28	NA	2.71553784860558	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S1	1	2	1	UCPH
3	NA	2021-06-28	NA	2.70849420849421	NA	0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	S2	2	3	1	UCPH
4	NA	2021-06-28	NA	1.13725490196078	NA	0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	S1	2	4	1	UCPH
5	NA	2021-06-28	NA	2.15720524017467	NA	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	3	5	1	UCPH
6	NA	2021-06-28	NA	1.30645161290323	NA	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S1	3	6	1	UCPH
7	NA	2021-06-28	NA	1.17394957983193	NA	0.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S1	4	7	1	UCPH
8	NA	2021-06-28	NA	3.13355704697987	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S2	4	8	1	UCPH
9	NA	2021-06-28	NA	1.56258064516129	NA	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	S1	5	9	1	UCPH
10	NA	2021-06-28	NA	4.56114519427403	NA	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	S2	5	10	1	UCPH
