timeNumber	timePoint	S_Height_cm_corr	S_Height_cm	wt	genotype	geno.decomp	rowId	colId	plotId
1	2021-06-13T00:00:00Z	NA	1.58	15.634656167352256	EPPN1_H	Hybrid	11	2	23
1	2021-06-13T00:00:00Z	NA	1.73	15.634656167352256	EPPN1_H	Hybrid	1	7	73
1	2021-06-13T00:00:00Z	NA	1.99	15.634656167352256	EPPN1_H	Hybrid	3	1	3
1	2021-06-13T00:00:00Z	NA	1.67	15.634656167352256	EPPN1_H	Hybrid	2	7	74
1	2021-06-13T00:00:00Z	NA	1.49	15.634656167352256	EPPN1_H	Hybrid	8	8	92
1	2021-06-13T00:00:00Z	NA	1.71	15.634656167352256	EPPN1_H	Hybrid	5	3	29
1	2021-06-13T00:00:00Z	NA	1.63	15.634656167352256	EPPN1_H	Hybrid	4	6	64
1	2021-06-13T00:00:00Z	NA	1.95	15.634656167352256	EPPN1_H	Hybrid	6	4	42
1	2021-06-13T00:00:00Z	NA	1.89	15.634656167352256	EPPN1_H	Hybrid	10	4	46
1	2021-06-13T00:00:00Z	NA	1.6	15.634656167352256	EPPN1_H	Hybrid	9	5	57
1	2021-06-13T00:00:00Z	NA	1.9	15.634656167352256	EPPN1_H	Hybrid	7	9	103
1	2021-06-13T00:00:00Z	NA	1.58	15.634656167352256	EPPN1_H	Hybrid	12	3	36
1	2021-06-13T00:00:00Z	NA	1.62	15.634720356171089	EPPN2_H	Hybrid	8	5	56
1	2021-06-13T00:00:00Z	NA	1.63	15.634720356171089	EPPN2_H	Hybrid	6	9	102
1	2021-06-13T00:00:00Z	NA	1.54	15.634720356171089	EPPN2_H	Hybrid	9	8	93
1	2021-06-13T00:00:00Z	NA	1.64	15.634720356171089	EPPN2_H	Hybrid	1	1	1
1	2021-06-13T00:00:00Z	NA	1.52	15.634720356171089	EPPN2_H	Hybrid	11	3	35
1	2021-06-13T00:00:00Z	NA	1.57	15.634720356171089	EPPN2_H	Hybrid	5	4	41
1	2021-06-13T00:00:00Z	NA	1.8	15.634720356171089	EPPN2_H	Hybrid	12	2	24
1	2021-06-13T00:00:00Z	NA	1.15	15.634720356171089	EPPN2_H	Hybrid	7	7	79
1	2021-06-13T00:00:00Z	NA	1.27	15.634720356171089	EPPN2_H	Hybrid	10	9	106
1	2021-06-13T00:00:00Z	NA	1.56	15.634720356171089	EPPN2_H	Hybrid	4	1	4
