timeNumber	timePoint	S_Height_cm_corr	S_Height_cm	wt	genotype	geno.decomp	rowId	colId	plotId
1	2020-09-10T00:00:00Z	10.358348147105447	10.2680377677083	0.35972436464224555	EPPN1_H	Hybrid	24	16	46
1	2020-09-10T00:00:00Z	NA	10.3230205669999	0.35972436464224555	EPPN1_H	Hybrid	26	18	42
1	2020-09-10T00:00:00Z	10.28581793570215	10.3230205669999	0.35972436464224555	EPPN1_H	Hybrid	5	16	45
1	2020-09-10T00:00:00Z	NA	10.4879689648748	0.35972436464224555	EPPN1_H	Hybrid	19	15	48
1	2020-09-10T00:00:00Z	NA	13.2646003291011	0.35972436464224555	EPPN1_H	Hybrid	11	18	41
1	2020-09-10T00:00:00Z	10.569590233586366	10.3367662668228	0.35972436464224555	EPPN1_H	Hybrid	8	14	49
1	2020-09-10T00:00:00Z	10.024936909578885	10.3505119666457	0.35972436464224555	EPPN1_H	Hybrid	10	17	43
1	2020-09-10T00:00:00Z	NA	11.2302367553115	0.35972436464224555	EPPN1_H	Hybrid	14	14	50
1	2020-09-10T00:00:00Z	NA	7.78006609976293	0.35972436464224555	EPPN1_H	Hybrid	5	15	47
1	2020-09-10T00:00:00Z	NA	8.96219628453256	0.35972436464224555	EPPN1_H	Hybrid	16	17	44
1	2020-09-10T00:00:00Z	NA	10.5704431638122	0.35975299468884164	EPPN2_H	Hybrid	16	15	58
1	2020-09-10T00:00:00Z	NA	10.8316114604473	0.35975299468884164	EPPN2_H	Hybrid	3	15	57
1	2020-09-10T00:00:00Z	NA	11.0377969577909	0.35975299468884164	EPPN2_H	Hybrid	2	14	59
1	2020-09-10T00:00:00Z	NA	8.04123439639808	0.35975299468884164	EPPN2_H	Hybrid	25	14	60
1	2020-09-10T00:00:00Z	NA	8.37113119214774	0.35975299468884164	EPPN2_H	Hybrid	10	18	51
1	2020-09-10T00:00:00Z	NA	9.03092478364707	0.35975299468884164	EPPN2_H	Hybrid	6	17	53
1	2020-09-10T00:00:00Z	NA	8.90721348524095	0.35975299468884164	EPPN2_H	Hybrid	20	18	52
1	2020-09-10T00:00:00Z	NA	9.56700707674028	0.35975299468884164	EPPN2_H	Hybrid	22	17	54
1	2020-09-10T00:00:00Z	NA	10.1855635687709	0.35975299468884164	EPPN2_H	Hybrid	8	16	55
1	2020-09-10T00:00:00Z	NA	8.57731668949128	0.35975299468884164	EPPN2_H	Hybrid	22	16	56
1	2020-09-10T00:00:00Z	NA	6.98281551003457	0.3596583063693403	EPPN3_H	Hybrid	1	14	69
1	2020-09-10T00:00:00Z	NA	6.1168364211917	0.3596583063693403	EPPN3_H	Hybrid	19	14	70
1	2020-09-10T00:00:00Z	NA	9.63573557585479	0.3596583063693403	EPPN3_H	Hybrid	13	18	62
1	2020-09-10T00:00:00Z	NA	5.22336593270303	0.3596583063693403	EPPN3_H	Hybrid	23	16	66
1	2020-09-10T00:00:00Z	NA	9.1546360820532	0.3596583063693403	EPPN3_H	Hybrid	12	16	65
1	2020-09-10T00:00:00Z	NA	11.2302367553115	0.3596583063693403	EPPN3_H	Hybrid	7	17	63
1	2020-09-10T00:00:00Z	NA	9.11339898258449	0.3596583063693403	EPPN3_H	Hybrid	1	18	61
1	2020-09-10T00:00:00Z	NA	7.99999729692937	0.3596583063693403	EPPN3_H	Hybrid	26	15	68
1	2020-09-10T00:00:00Z	NA	9.36082157939674	0.3596583063693403	EPPN3_H	Hybrid	14	17	64
1	2020-09-10T00:00:00Z	NA	10.1168350696564	0.3596583063693403	EPPN3_H	Hybrid	14	15	67
1	2020-09-10T00:00:00Z	NA	10.1855635687709	0.359502572320749	EPPN4_H	Hybrid	25	15	78
1	2020-09-10T00:00:00Z	NA	11.285219554603099	0.359502572320749	EPPN4_H	Hybrid	17	17	74
1	2020-09-10T00:00:00Z	NA	9.00343338400127	0.359502572320749	EPPN4_H	Hybrid	4	15	77
1	2020-09-10T00:00:00Z	NA	11.1340168565512	0.359502572320749	EPPN4_H	Hybrid	4	16	75
1	2020-09-10T00:00:00Z	NA	10.3642576664686	0.359502572320749	EPPN4_H	Hybrid	3	18	71
1	2020-09-10T00:00:00Z	NA	11.6013706505299	0.359502572320749	EPPN4_H	Hybrid	22	18	72
1	2020-09-10T00:00:00Z	NA	7.72508330047132	0.359502572320749	EPPN4_H	Hybrid	23	14	80
1	2020-09-10T00:00:00Z	NA	11.161508256197	0.359502572320749	EPPN4_H	Hybrid	17	16	76
1	2020-09-10T00:00:00Z	NA	11.0515426576138	0.359502572320749	EPPN4_H	Hybrid	7	14	79
1	2020-09-10T00:00:00Z	NA	5.31958583146334	0.359502572320749	EPPN4_H	Hybrid	1	17	73
1	2020-09-10T00:00:00Z	NA	8.54982528984548	0.3479538052346091	EPPN1_L	Line	1	15	7
1	2020-09-10T00:00:00Z	NA	11.3951851531863	0.3479538052346091	EPPN1_L	Line	5	17	3
1	2020-09-10T00:00:00Z	NA	11.7525733485818	0.3479538052346091	EPPN1_L	Line	13	14	9
1	2020-09-10T00:00:00Z	NA	8.61855378895999	0.3479538052346091	EPPN1_L	Line	18	14	10
1	2020-09-10T00:00:00Z	NA	10.2405463680625	0.3479538052346091	EPPN1_L	Line	3	16	5
1	2020-09-10T00:00:00Z	NA	11.7800647482276	0.3479538052346091	EPPN1_L	Line	20	17	4
1	2020-09-10T00:00:00Z	NA	9.07216188311578	0.3479538052346091	EPPN1_L	Line	19	16	6
1	2020-09-10T00:00:00Z	NA	9.30583878010513	0.3479538052346091	EPPN1_L	Line	15	18	2
1	2020-09-10T00:00:00Z	NA	9.14089038223029	0.3479538052346091	EPPN1_L	Line	21	15	8
1	2020-09-10T00:00:00Z	NA	9.26460168063642	0.3479538052346091	EPPN1_L	Line	6	18	1
1	2020-09-10T00:00:00Z	NA	3.39518785625697	0.34808654003447687	EPPN2_L	Line	13	15	17
1	2020-09-10T00:00:00Z	NA	8.04123439639808	0.34808654003447687	EPPN2_L	Line	21	16	16
1	2020-09-10T00:00:00Z	NA	4.86597773730755	0.34808654003447687	EPPN2_L	Line	16	14	20
1	2020-09-10T00:00:00Z	NA	8.39862259179355	0.34808654003447687	EPPN2_L	Line	10	14	19
1	2020-09-10T00:00:00Z	NA	8.6597908884287	0.34808654003447687	EPPN2_L	Line	11	16	15
1	2020-09-10T00:00:00Z	NA	6.35051331818105	0.34808654003447687	EPPN2_L	Line	25	17	14
1	2020-09-10T00:00:00Z	NA	8.30240269303323	0.34808654003447687	EPPN2_L	Line	2	17	13
1	2020-09-10T00:00:00Z	NA	8.85223068594934	0.34808654003447687	EPPN2_L	Line	5	18	11
1	2020-09-10T00:00:00Z	NA	7.95876019746066	0.34808654003447687	EPPN2_L	Line	23	18	12
1	2020-09-10T00:00:00Z	NA	6.47422461658717	0.34808654003447687	EPPN2_L	Line	15	15	18
1	2020-09-10T00:00:00Z	NA	6.48797031641007	0.3472829408761705	EPPN20_T	Line	24	14	90
1	2020-09-10T00:00:00Z	NA	7.93126879781486	0.3472829408761705	EPPN20_T	Line	9	14	89
1	2020-09-10T00:00:00Z	NA	6.5979359149933	0.3472829408761705	EPPN20_T	Line	18	15	88
1	2020-09-10T00:00:00Z	NA	3.91752444952727	0.3472829408761705	EPPN20_T	Line	10	16	85
1	2020-09-10T00:00:00Z	NA	10.5841888636351	0.3472829408761705	EPPN20_T	Line	24	17	84
1	2020-09-10T00:00:00Z	NA	7.17525530755521	0.3472829408761705	EPPN20_T	Line	13	17	83
1	2020-09-10T00:00:00Z	NA	6.6254273146391	0.3472829408761705	EPPN20_T	Line	13	16	86
1	2020-09-10T00:00:00Z	NA	5.93814232349397	0.3472829408761705	EPPN20_T	Line	7	15	87
1	2020-09-10T00:00:00Z	NA	7.98625159710647	0.3472829408761705	EPPN20_T	Line	19	18	82
1	2020-09-10T00:00:00Z	NA	7.98625159710647	0.3472829408761705	EPPN20_T	Line	12	18	81
1	2020-09-10T00:00:00Z	NA	10.6804087623954	0.34772740768966703	EPPN3_L	Line	15	14	30
1	2020-09-10T00:00:00Z	NA	9.6769726753235	0.34772740768966703	EPPN3_L	Line	2	18	21
1	2020-09-10T00:00:00Z	NA	11.4089308530092	0.34772740768966703	EPPN3_L	Line	11	17	23
1	2020-09-10T00:00:00Z	NA	8.71477368772031	0.34772740768966703	EPPN3_L	Line	5	14	29
1	2020-09-10T00:00:00Z	NA	10.2680377677083	0.34772740768966703	EPPN3_L	Line	9	16	25
1	2020-09-10T00:00:00Z	NA	11.4501679524779	0.34772740768966703	EPPN3_L	Line	22	15	28
1	2020-09-10T00:00:00Z	NA	11.9312674462795	0.34772740768966703	EPPN3_L	Line	9	15	27
1	2020-09-10T00:00:00Z	NA	14.2817821159959	0.34772740768966703	EPPN3_L	Line	18	18	22
1	2020-09-10T00:00:00Z	NA	11.1065254569054	0.34772740768966703	EPPN3_L	Line	18	17	24
1	2020-09-10T00:00:00Z	NA	8.1786913946271	0.34772740768966703	EPPN3_L	Line	26	16	26
1	2020-09-10T00:00:00Z	NA	7.01030690968038	0.3477771727373001	EPPN4_L	Line	20	15	38
1	2020-09-10T00:00:00Z	NA	8.04123439639808	0.3477771727373001	EPPN4_L	Line	3	17	33
1	2020-09-10T00:00:00Z	NA	2.84535986334086	0.3477771727373001	EPPN4_L	Line	20	16	36
1	2020-09-10T00:00:00Z	NA	1.71821247786284	0.3477771727373001	EPPN4_L	Line	17	14	40
1	2020-09-10T00:00:00Z	NA	7.46391500383617	0.3477771727373001	EPPN4_L	Line	9	18	31
1	2020-09-10T00:00:00Z	NA	5.085908934474	0.3477771727373001	EPPN4_L	Line	14	18	32
1	2020-09-10T00:00:00Z	NA	3.99999864846469	0.3477771727373001	EPPN4_L	Line	6	14	39
1	2020-09-10T00:00:00Z	NA	7.90377739816905	0.3477771727373001	EPPN4_L	Line	12	15	37
1	2020-09-10T00:00:00Z	NA	4.72852073907853	0.3477771727373001	EPPN4_L	Line	1	16	35
1	2020-09-10T00:00:00Z	NA	7.09278110861779	0.3477771727373001	EPPN4_L	Line	19	17	34
2	2020-09-14T00:00:00Z	14.897160648561373	15.4226752012968	0.2416470666752073	EPPN1_H	Hybrid	24	16	46
2	2020-09-14T00:00:00Z	NA	14.5704418122769	0.2416470666752073	EPPN1_H	Hybrid	26	18	42
2	2020-09-14T00:00:00Z	12.782803563432337	12.9072121337056	0.2416470666752073	EPPN1_H	Hybrid	5	16	45
2	2020-09-14T00:00:00Z	NA	15.0927784055472	0.2416470666752073	EPPN1_H	Hybrid	19	15	48
2	2020-09-14T00:00:00Z	NA	17.0446677803993	0.2416470666752073	EPPN1_H	Hybrid	11	18	41
2	2020-09-14T00:00:00Z	14.131752841472549	14.2405450165272	0.2416470666752073	EPPN1_H	Hybrid	8	14	49
2	2020-09-14T00:00:00Z	14.08622017670678	13.7594455227256	0.2416470666752073	EPPN1_H	Hybrid	10	17	43
2	2020-09-14T00:00:00Z	NA	16.5635682865978	0.2416470666752073	EPPN1_H	Hybrid	14	14	50
2	2020-09-14T00:00:00Z	NA	14.6666617110372	0.2416470666752073	EPPN1_H	Hybrid	5	15	47
2	2020-09-14T00:00:00Z	NA	16.109960192442	0.2416470666752073	EPPN1_H	Hybrid	16	17	44
2	2020-09-14T00:00:00Z	NA	10.4329861655831	0.2417333214565141	EPPN2_H	Hybrid	16	15	58
2	2020-09-14T00:00:00Z	NA	13.2646003291011	0.2417333214565141	EPPN2_H	Hybrid	3	15	57
2	2020-09-14T00:00:00Z	NA	13.5395143255592	0.2417333214565141	EPPN2_H	Hybrid	2	14	59
2	2020-09-14T00:00:00Z	NA	11.3402023538947	0.2417333214565141	EPPN2_H	Hybrid	25	14	60
2	2020-09-14T00:00:00Z	NA	11.8350475475192	0.2417333214565141	EPPN2_H	Hybrid	10	18	51
2	2020-09-14T00:00:00Z	NA	11.4914050519467	0.2417333214565141	EPPN2_H	Hybrid	6	17	53
2	2020-09-14T00:00:00Z	NA	10.309274867177	0.2417333214565141	EPPN2_H	Hybrid	20	18	52
2	2020-09-14T00:00:00Z	NA	11.6700991496444	0.2417333214565141	EPPN2_H	Hybrid	22	17	54
2	2020-09-14T00:00:00Z	NA	12.151198643446	0.2417333214565141	EPPN2_H	Hybrid	8	16	55
2	2020-09-14T00:00:00Z	NA	11.7800647482276	0.2417333214565141	EPPN2_H	Hybrid	22	16	56
2	2020-09-14T00:00:00Z	NA	15.2164897039533	0.2413544167714648	EPPN3_H	Hybrid	1	14	69
2	2020-09-14T00:00:00Z	NA	9.81442967355253	0.2413544167714648	EPPN3_H	Hybrid	19	14	70
2	2020-09-14T00:00:00Z	NA	13.2371089294553	0.2413544167714648	EPPN3_H	Hybrid	13	18	62
2	2020-09-14T00:00:00Z	NA	12.9759406328201	0.2413544167714648	EPPN3_H	Hybrid	23	16	66
2	2020-09-14T00:00:00Z	NA	16.948447881639	0.2413544167714648	EPPN3_H	Hybrid	12	16	65
2	2020-09-14T00:00:00Z	NA	18.8041173577309	0.2413544167714648	EPPN3_H	Hybrid	7	17	63
2	2020-09-14T00:00:00Z	NA	15.395183801651	0.2413544167714648	EPPN3_H	Hybrid	1	18	61
2	2020-09-14T00:00:00Z	NA	16.2749085903168	0.2413544167714648	EPPN3_H	Hybrid	26	15	68
