Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
1	NA	2021-03-11	NA	12.3	70.9	22.3	52.5	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	1	1	2	ABER
2	NA	2021-03-11	NA	28.8	73.6	16.2	40.5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	2	1	10	ABER
3	NA	2021-03-11	NA	12.2	75.1	10.9	34	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	3	2	7	ABER
4	NA	2021-03-11	NA	12.1	64.2	18.3	46.5	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	4	3	10	ABER
5	NA	2021-03-11	NA	11.8	64	14.5	37.5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	5	4	1	ABER
6	NA	2021-03-11	NA	12.4	59.9	16.1	34.4	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	6	6	1	ABER
7	NA	2021-03-11	NA	20.3	68.1	16.3	41.5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	1	2	2	ABER
8	NA	2021-03-11	NA	13.8	74.3	16	37.9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	2	2	9	ABER
9	NA	2021-03-11	NA	15.5	71.3	20.1	45.6	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	3	3	7	ABER
10	NA	2021-03-11	NA	12.1	67.6	12.3	31.5	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	4	5	7	ABER
11	NA	2021-03-11	NA	12.6	64	21.9	44.2	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	5	5	10	ABER
12	NA	2021-03-11	NA	12.8	69.3	13.8	32.6	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	6	6	8	ABER
13	NA	2021-03-11	NA	13.3	81.3	14.7	43.4	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	1	2	6	ABER
14	NA	2021-03-11	NA	11.5	72.1	24.6	66.1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	2	3	6	ABER
15	NA	2021-03-11	NA	11.7	91.1	13.6	46.2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	3	4	6	ABER
16	NA	2021-03-11	NA	11.9	76.5	21.1	55.5	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	4	4	9	ABER
17	NA	2021-03-11	NA	11.9	71.7	18.7	47.2	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	5	5	3	ABER
18	NA	2021-03-11	NA	10.07	71.7	17.3	46.4	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	6	6	3	ABER
19	NA	2021-03-11	NA	4.9	52.8	7.4	29.6	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	1	1	5	ABER
20	NA	2021-03-11	NA	5.4	58.7	9.2	37.4	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	2	2	4	ABER
21	NA	2021-03-11	NA	4.5	45.6	7	28.5	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	3	3	4	ABER
22	NA	2021-03-11	NA	8.1	76.1	10.4	36.8	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	4	3	8	ABER
23	NA	2021-03-11	NA	9.9	72.1	11.8	41.7	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	5	4	7	ABER
24	NA	2021-03-11	NA	10.7	66.9	9.2	30.1	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	6	6	7	ABER
25	NA	2021-03-11	NA	25.8	84.1	20.1	50.2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	1	1	7	ABER
26	NA	2021-03-11	NA	14.5	82.2	21	48.5	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	2	2	5	ABER
27	NA	2021-03-11	NA	16.2	81.6	20.5	48.4	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	3	3	3	ABER
28	NA	2021-03-11	NA	13	73.1	14.2	42.6	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	4	5	2	ABER
29	NA	2021-03-11	NA	16.6	77.2	15.4	40.9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	5	5	4	ABER
30	NA	2021-03-11	NA	14.4	75.5	13.1	32.5	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	6	6	2	ABER
31	NA	2021-03-11	NA	23.9	73.4	39.3	77.1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	1	1	6	ABER
32	NA	2021-03-11	NA	16.6	67.8	17.2	39.8	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	2	3	2	ABER
33	NA	2021-03-11	NA	16.5	65.7	24.1	51.5	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	3	3	5	ABER
34	NA	2021-03-11	NA	17.5	59.4	19.1	43.9	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	4	4	2	ABER
35	NA	2021-03-11	NA	12.8	58.1	15.3	39.1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	5	5	1	ABER
36	NA	2021-03-11	NA	13.2	66.2	25	50.1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	6	5	5	ABER
37	NA	2021-03-11	NA	20.5	73.4	22.1	54.9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	1	1	8	ABER
38	NA	2021-03-11	NA	15.6	73.6	15.6	41.9	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	2	2	8	ABER
39	NA	2021-03-11	NA	17.2	68.3	22.7	51.4	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	3	3	1	ABER
40	NA	2021-03-11	NA	11.8	68.8	20.2	51.8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	4	3	9	ABER
41	NA	2021-03-11	NA	15.9	73.5	17.9	48.9	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	5	4	4	ABER
42	NA	2021-03-11	NA	14.1	74.5	14.7	42.9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	6	6	5	ABER
43	NA	2021-03-11	NA	17.5	78.6	22.2	52.3	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	1	1	3	ABER
44	NA	2021-03-11	NA	25.9	81.4	23.6	51.2	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	2	2	1	ABER
45	NA	2021-03-11	NA	14.4	81.1	22.2	49.1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	3	2	3	ABER
46	NA	2021-03-11	NA	13.6	76.9	17.6	43.4	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	4	4	10	ABER
47	NA	2021-03-11	NA	13.2	78.6	23.4	55.2	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	5	5	8	ABER
48	NA	2021-03-11	NA	13.5	82.2	14	38	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	6	6	6	ABER
49	NA	2021-03-11	NA	28.8	98.8	20.6	49.9	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	NA	1	1	4	ABER
50	NA	2021-03-11	NA	32.8	95.2	15.1	41.2	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	NA	2	1	9	ABER
51	NA	2021-03-11	NA	16.3	92.8	10.2	28.5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	NA	3	4	5	ABER
52	NA	2021-03-11	NA	18.2	94.5	16.1	41.8	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	NA	4	4	8	ABER
53	NA	2021-03-11	NA	14	86.6	18	43.2	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	NA	5	5	9	ABER
54	NA	2021-03-11	NA	14.4	82.6	25.4	53.2	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	NA	6	6	10	ABER
