Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
1	EPPN1_L	NA	1	1	2	ABER
2	EPPN1_L	NA	2	1	10	ABER
3	EPPN1_L	NA	3	2	7	ABER
4	EPPN1_L	NA	4	3	10	ABER
5	EPPN1_L	NA	5	4	1	ABER
6	EPPN1_L	NA	6	6	1	ABER
7	EPPN2_L	NA	1	2	2	ABER
8	EPPN2_L	NA	2	2	9	ABER
9	EPPN2_L	NA	3	3	7	ABER
10	EPPN2_L	NA	4	5	7	ABER
11	EPPN2_L	NA	5	5	10	ABER
12	EPPN2_L	NA	6	6	8	ABER
13	EPPN3_L	NA	1	2	6	ABER
14	EPPN3_L	NA	2	3	6	ABER
15	EPPN3_L	NA	3	4	6	ABER
16	EPPN3_L	NA	4	4	9	ABER
17	EPPN3_L	NA	5	5	3	ABER
18	EPPN3_L	NA	6	6	3	ABER
19	EPPN4_L	NA	1	1	5	ABER
20	EPPN4_L	NA	2	2	4	ABER
21	EPPN4_L	NA	3	3	4	ABER
22	EPPN4_L	NA	4	3	8	ABER
23	EPPN4_L	NA	5	4	7	ABER
24	EPPN4_L	NA	6	6	7	ABER
25	EPPN1_H	NA	1	1	7	ABER
26	EPPN1_H	NA	2	2	5	ABER
27	EPPN1_H	NA	3	3	3	ABER
28	EPPN1_H	NA	4	5	2	ABER
29	EPPN1_H	NA	5	5	4	ABER
30	EPPN1_H	NA	6	6	2	ABER
31	EPPN2_H	NA	1	1	6	ABER
32	EPPN2_H	NA	2	3	2	ABER
33	EPPN2_H	NA	3	3	5	ABER
34	EPPN2_H	NA	4	4	2	ABER
35	EPPN2_H	NA	5	5	1	ABER
36	EPPN2_H	NA	6	5	5	ABER
37	EPPN3_H	NA	1	1	8	ABER
38	EPPN3_H	NA	2	2	8	ABER
39	EPPN3_H	NA	3	3	1	ABER
40	EPPN3_H	NA	4	3	9	ABER
41	EPPN3_H	NA	5	4	4	ABER
42	EPPN3_H	NA	6	6	5	ABER
43	EPPN4_H	NA	1	1	3	ABER
44	EPPN4_H	NA	2	2	1	ABER
45	EPPN4_H	NA	3	2	3	ABER
46	EPPN4_H	NA	4	4	10	ABER
47	EPPN4_H	NA	5	5	8	ABER
48	EPPN4_H	NA	6	6	6	ABER
49	EPPN_T	NA	1	1	4	ABER
50	EPPN_T	NA	2	1	9	ABER
51	EPPN_T	NA	3	4	5	ABER
52	EPPN_T	NA	4	4	8	ABER
53	EPPN_T	NA	5	5	9	ABER
54	EPPN_T	NA	6	6	10	ABER
