Unit.ID	Timestamp	Date	Time	S_Height_cm	S_Height_pixel	S_Area_cmsquared	S_Area_pixel	S_Perimeter_cm	S_Perimeter_pixel	S_Convex_hull_area_cmsquared	S_Solidity	S_Compactness	S_Width_cm	S_Width_pixel	S_Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
69	2020-09-10 09:10:51	2020-09-10	09:10:51	6.98281551003457	NA	5.73229802207075	NA	NA	NA	19.2055796875055	0.301338629284939	NA	NA	NA	25.9825903158159	EPPN3_H	NA	9	1	14	ALSIA
59	2020-09-10 09:11:06	2020-09-10	09:11:06	11.0377969577909	NA	8.85581940358859	NA	NA	NA	49.3490088578024	0.21992222984702	NA	NA	NA	45.0990561564795	EPPN2_H	NA	9	2	14	ALSIA
29	2020-09-10 09:12:36	2020-09-10	09:12:36	8.71477368772031	NA	8.90192163427457	NA	NA	NA	21.0687194234926	0.437404079350912	NA	NA	NA	30.3837096108124	EPPN3_L	NA	9	5	14	ALSIA
39	2020-09-10 09:13:14	2020-09-10	09:13:14	3.99999864846469	NA	3.43556871153286	NA	NA	NA	11.271995402722	0.404941958100761	NA	NA	NA	21.7442085673041	EPPN4_L	NA	9	6	14	ALSIA
79	2020-09-10 09:13:52	2020-09-10	09:13:52	11.0515426576138	NA	6.41544925859935	NA	NA	NA	28.7883664972829	0.288733124746209	NA	NA	NA	26.9642261769289	EPPN4_H	NA	9	7	14	ALSIA
49	2020-09-10 09:14:30	2020-09-10	09:14:30	10.3367662668228	NA	8.87334587145269	NA	NA	NA	32.5350300134034	0.451051384179461	NA	NA	NA	42.3421058263929	EPPN1_H	NA	9	8	14	ALSIA
89	2020-09-10 09:15:08	2020-09-10	09:15:08	7.93126879781486	NA	4.80301421510295	NA	NA	NA	16.8215990478181	0.387521187868767	NA	NA	NA	19.6390636329484	EPPN20_T	NA	9	9	14	ALSIA
19	2020-09-10 09:15:46	2020-09-10	09:15:46	8.39862259179355	NA	6.13426375243197	NA	NA	NA	27.2612777320812	0.293492431623568	NA	NA	NA	32.1570594740671	EPPN2_L	NA	9	10	14	ALSIA
9	2020-09-10 09:17:44	2020-09-10	09:17:44	11.7525733485818	NA	9.20330067950275	NA	NA	NA	38.8601798614856	0.37059241119617	NA	NA	NA	43.5895831244737	EPPN1_L	NA	9	13	14	ALSIA
50	2020-09-10 09:18:25	2020-09-10	09:18:25	11.2302367553115	NA	8.20086291971092	NA	NA	NA	34.3692129763977	0.277944119925385	NA	NA	NA	35.3708623350221	EPPN1_H	NA	10	14	14	ALSIA
30	2020-09-10 09:19:04	2020-09-10	09:19:04	10.6804087623954	NA	8.95450103786685	NA	NA	NA	26.4838264782404	0.503257037579427	NA	NA	NA	35.4578310810784	EPPN3_L	NA	10	15	14	ALSIA
20	2020-09-10 09:19:42	2020-09-10	09:19:42	4.86597773730755	NA	3.51710488811798	NA	NA	NA	7.15651404111365	0.597905212958318	NA	NA	NA	16.1689850335044	EPPN2_L	NA	10	16	14	ALSIA
40	2020-09-10 09:20:20	2020-09-10	09:20:20	1.71821247786284	NA	1.2607626557017	NA	NA	NA	2.82861950919596	0.637286544698108	NA	NA	NA	9.40959392858014	EPPN4_L	NA	10	17	14	ALSIA
10	2020-09-10 09:21:00	2020-09-10	09:21:00	8.61855378895999	NA	7.27043608223024	NA	NA	NA	27.9787198839961	0.285962251747446	NA	NA	NA	31.3562983437358	EPPN1_L	NA	10	18	14	ALSIA
70	2020-09-10 09:21:38	2020-09-10	09:21:38	6.1168364211917	NA	3.81772191300425	NA	NA	NA	13.4395622653049	0.476648570220736	NA	NA	NA	17.3768087405736	EPPN3_H	NA	10	19	14	ALSIA
80	2020-09-10 09:24:19	2020-09-10	09:24:19	7.72508330047132	NA	5.67247942523026	NA	NA	NA	27.9453814940372	0.220537219663162	NA	NA	NA	25.0872792398079	EPPN4_H	NA	10	23	14	ALSIA
90	2020-09-10 09:24:57	2020-09-10	09:24:57	6.48797031641007	NA	5.36919532914729	NA	NA	NA	16.7042479151629	0.359761630464436	NA	NA	NA	23.8424180981521	EPPN20_T	NA	10	24	14	ALSIA
60	2020-09-10 09:25:21	2020-09-10	09:25:21	8.04123439639808	NA	6.94810147759935	NA	NA	NA	27.1700257961367	0.425159210778269	NA	NA	NA	36.7732986018145	EPPN2_H	NA	10	25	14	ALSIA
7	2020-09-10 09:55:26	2020-09-10	09:55:26	8.54982528984548	NA	6.88409176887832	NA	NA	NA	25.9109776862043	0.304612416407616	NA	NA	NA	34.9438691700039	EPPN1_L	NA	7	1	15	ALSIA
57	2020-09-10 09:56:04	2020-09-10	09:56:04	10.8316114604473	NA	8.29992556416013	NA	NA	NA	41.8901632460331	0.198828331194807	NA	NA	NA	38.1771117950147	EPPN2_H	NA	7	3	15	ALSIA
77	2020-09-10 09:56:42	2020-09-10	09:56:42	9.00343338400127	NA	6.98696451503712	NA	NA	NA	32.6245674035787	0.317586493865843	NA	NA	NA	39.1928411933614	EPPN4_H	NA	7	4	15	ALSIA
47	2020-09-10 09:57:06	2020-09-10	09:57:06	7.78006609976293	NA	7.78975294524669	NA	NA	NA	24.389223063396	0.428127368480958	NA	NA	NA	34.9776936071083	EPPN1_H	NA	7	5	15	ALSIA
87	2020-09-10 09:58:21	2020-09-10	09:58:21	5.93814232349397	NA	4.48639476303643	NA	NA	NA	16.0588166855592	0.348965104444685	NA	NA	NA	18.5091398177885	EPPN20_T	NA	7	7	15	ALSIA
27	2020-09-10 09:59:34	2020-09-10	09:59:34	11.9312674462795	NA	8.49385974117801	NA	NA	NA	26.4790638511034	0.430009833159785	NA	NA	NA	35.3016546059634	EPPN3_L	NA	7	9	15	ALSIA
37	2020-09-10 10:01:15	2020-09-10	10:01:15	7.90377739816905	NA	5.53379172300137	NA	NA	NA	28.5620464557336	0.215322057511427	NA	NA	NA	31.3661446609047	EPPN4_L	NA	7	12	15	ALSIA
17	2020-09-10 10:01:39	2020-09-10	10:01:39	3.39518785625697	NA	2.22471838822673	NA	NA	NA	5.92356512789192	0.49902660967015	NA	NA	NA	12.0222965050034	EPPN2_L	NA	7	13	15	ALSIA
67	2020-09-10 10:02:15	2020-09-10	10:02:15	10.1168350696564	NA	7.53981027309791	NA	NA	NA	32.6106605323387	0.317443971251492	NA	NA	NA	33.2075630222697	EPPN3_H	NA	7	14	15	ALSIA
18	2020-09-10 10:02:53	2020-09-10	10:02:53	6.47422461658717	NA	5.85269723609364	NA	NA	NA	20.9195539415623	0.341838089599653	NA	NA	NA	29.1464322840751	EPPN2_L	NA	8	15	15	ALSIA
58	2020-09-10 10:03:31	2020-09-10	10:03:31	10.5704431638122	NA	8.18066938065012	NA	NA	NA	43.6841496359913	0.189167932671762	NA	NA	NA	42.5081006094418	EPPN2_H	NA	8	16	15	ALSIA
88	2020-09-10 10:04:47	2020-09-10	10:04:47	6.5979359149933	NA	3.99984477472241	NA	NA	NA	14.848728382595	0.313499034327342	NA	NA	NA	15.3844430776484	EPPN20_T	NA	8	18	15	ALSIA
48	2020-09-10 10:05:25	2020-09-10	10:05:25	10.4879689648748	NA	6.75950144297489	NA	NA	NA	33.1135939580039	0.266738063880231	NA	NA	NA	33.5343480239257	EPPN1_H	NA	8	19	15	ALSIA
38	2020-09-10 10:06:00	2020-09-10	10:06:00	7.01030690968038	NA	5.5509371806945	NA	NA	NA	25.9166928387687	0.330194175767908	NA	NA	NA	30.869933820258	EPPN4_L	NA	8	20	15	ALSIA
8	2020-09-10 10:06:38	2020-09-10	10:06:38	9.14089038223029	NA	8.76475797272951	NA	NA	NA	30.1731479636316	0.339038001103983	NA	NA	NA	40.5017214686545	EPPN1_L	NA	8	21	15	ALSIA
28	2020-09-10 10:07:16	2020-09-10	10:07:16	11.4501679524779	NA	8.64893088075813	NA	NA	NA	30.2386817130365	0.438252511929337	NA	NA	NA	36.6453242106221	EPPN3_L	NA	8	22	15	ALSIA
78	2020-09-10 10:09:11	2020-09-10	10:09:11	10.1855635687709	NA	7.45217793377745	NA	NA	NA	39.9041477299119	0.191574497701828	NA	NA	NA	36.5534773298873	EPPN4_H	NA	8	25	15	ALSIA
68	2020-09-10 10:09:51	2020-09-10	10:09:51	7.99999729692937	NA	6.22875427482968	NA	NA	NA	24.278730113818	0.309204612459447	NA	NA	NA	30.8623264442206	EPPN3_H	NA	8	26	15	ALSIA
35	2020-09-10 10:40:28	2020-09-10	10:40:28	4.72852073907853	NA	3.92935789309509	NA	NA	NA	15.0289461934583	0.267909098363726	NA	NA	NA	22.0934939809387	EPPN4_L	NA	5	1	16	ALSIA
5	2020-09-10 10:40:58	2020-09-10	10:40:58	10.2405463680625	NA	7.59505674788689	NA	NA	NA	31.4419118329235	0.337363885022629	NA	NA	NA	35.7084842032153	EPPN1_L	NA	5	3	16	ALSIA
75	2020-09-10 10:41:36	2020-09-10	10:41:36	11.1340168565512	NA	10.0525723505693	NA	NA	NA	51.1631887868213	0.24825922435144	NA	NA	NA	49.1749500894935	EPPN4_H	NA	5	4	16	ALSIA
45	2020-09-10 10:42:00	2020-09-10	10:42:00	10.3230205669999	NA	7.36416458428604	NA	NA	NA	31.6526104574635	0.344822433185941	NA	NA	NA	35.4073298897924	EPPN1_H	NA	5	5	16	ALSIA
55	2020-09-10 10:43:55	2020-09-10	10:43:55	10.1855635687709	NA	8.78190343042264	NA	NA	NA	43.1179685219469	0.211679269608692	NA	NA	NA	40.6712797640651	EPPN2_H	NA	5	8	16	ALSIA
25	2020-09-10 10:44:33	2020-09-10	10:44:33	10.2680377677083	NA	9.9512236450943	NA	NA	NA	26.9757106089478	0.40899108432281	NA	NA	NA	39.9494957203578	EPPN3_L	NA	5	9	16	ALSIA
85	2020-09-10 10:45:09	2020-09-10	10:45:09	3.91752444952727	NA	2.30358749361514	NA	NA	NA	7.96463661371664	0.432787335062753	NA	NA	NA	11.0091264574446	EPPN20_T	NA	5	10	16	ALSIA
15	2020-09-10 10:45:47	2020-09-10	10:45:47	8.6597908884287	NA	7.25900577710149	NA	NA	NA	32.0393357809864	0.292414123070642	NA	NA	NA	38.1919166112747	EPPN2_L	NA	5	11	16	ALSIA
65	2020-09-10 10:46:25	2020-09-10	10:46:25	9.1546360820532	NA	8.74304039298488	NA	NA	NA	36.0256546946398	0.261435329279515	NA	NA	NA	39.0358652660968	EPPN3_H	NA	5	12	16	ALSIA
