Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
1	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	69.3	NA	NA	NA	110	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	1	6	18	ALSIA
2	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	59	NA	NA	NA	105	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	2	15	18	ALSIA
3	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	98.3	NA	NA	NA	125	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	3	5	17	ALSIA
4	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	50.1	NA	NA	NA	99	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	4	20	17	ALSIA
5	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	37.7	NA	NA	NA	104	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	5	3	16	ALSIA
6	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	95.6	NA	NA	NA	115	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	6	19	16	ALSIA
7	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	54	NA	NA	NA	107	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	7	1	15	ALSIA
8	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	128.2	NA	NA	NA	144	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	8	21	15	ALSIA
9	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	91.2	NA	NA	NA	130	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	9	13	14	ALSIA
10	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	16.5	NA	NA	NA	74	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	10	18	14	ALSIA
11	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	54.9	NA	NA	NA	107	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	1	5	18	ALSIA
12	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	84.3	NA	NA	NA	112	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	2	23	18	ALSIA
13	12:00:00	2020-10-03	2020-10-03 12:00:00	NA	72.1	NA	NA	NA	113	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	3	2	17	ALSIA
