Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
1	EPPN1_L	NA	1	6	18	ALSIA
2	EPPN1_L	NA	2	15	18	ALSIA
3	EPPN1_L	NA	3	5	17	ALSIA
4	EPPN1_L	NA	4	20	17	ALSIA
5	EPPN1_L	NA	5	3	16	ALSIA
6	EPPN1_L	NA	6	19	16	ALSIA
7	EPPN1_L	NA	7	1	15	ALSIA
8	EPPN1_L	NA	8	21	15	ALSIA
9	EPPN1_L	NA	9	13	14	ALSIA
10	EPPN1_L	NA	10	18	14	ALSIA
11	EPPN2_L	NA	1	5	18	ALSIA
12	EPPN2_L	NA	2	23	18	ALSIA
13	EPPN2_L	NA	3	2	17	ALSIA
14	EPPN2_L	NA	4	25	17	ALSIA
15	EPPN2_L	NA	5	11	16	ALSIA
16	EPPN2_L	NA	6	21	16	ALSIA
17	EPPN2_L	NA	7	13	15	ALSIA
18	EPPN2_L	NA	8	15	15	ALSIA
19	EPPN2_L	NA	9	10	14	ALSIA
20	EPPN2_L	NA	10	16	14	ALSIA
21	EPPN3_L	NA	1	2	18	ALSIA
22	EPPN3_L	NA	2	18	18	ALSIA
23	EPPN3_L	NA	3	11	17	ALSIA
24	EPPN3_L	NA	4	18	17	ALSIA
25	EPPN3_L	NA	5	9	16	ALSIA
26	EPPN3_L	NA	6	26	16	ALSIA
27	EPPN3_L	NA	7	9	15	ALSIA
28	EPPN3_L	NA	8	22	15	ALSIA
29	EPPN3_L	NA	9	5	14	ALSIA
30	EPPN3_L	NA	10	15	14	ALSIA
31	EPPN4_L	NA	1	9	18	ALSIA
32	EPPN4_L	NA	2	14	18	ALSIA
33	EPPN4_L	NA	3	3	17	ALSIA
34	EPPN4_L	NA	4	19	17	ALSIA
35	EPPN4_L	NA	5	1	16	ALSIA
36	EPPN4_L	NA	6	20	16	ALSIA
37	EPPN4_L	NA	7	12	15	ALSIA
38	EPPN4_L	NA	8	20	15	ALSIA
39	EPPN4_L	NA	9	6	14	ALSIA
40	EPPN4_L	NA	10	17	14	ALSIA
41	EPPN1_H	NA	1	11	18	ALSIA
42	EPPN1_H	NA	2	26	18	ALSIA
43	EPPN1_H	NA	3	10	17	ALSIA
44	EPPN1_H	NA	4	16	17	ALSIA
45	EPPN1_H	NA	5	5	16	ALSIA
46	EPPN1_H	NA	6	24	16	ALSIA
47	EPPN1_H	NA	7	5	15	ALSIA
48	EPPN1_H	NA	8	19	15	ALSIA
49	EPPN1_H	NA	9	8	14	ALSIA
50	EPPN1_H	NA	10	14	14	ALSIA
51	EPPN2_H	NA	1	10	18	ALSIA
52	EPPN2_H	NA	2	20	18	ALSIA
53	EPPN2_H	NA	3	6	17	ALSIA
54	EPPN2_H	NA	4	22	17	ALSIA
55	EPPN2_H	NA	5	8	16	ALSIA
56	EPPN2_H	NA	6	22	16	ALSIA
57	EPPN2_H	NA	7	3	15	ALSIA
58	EPPN2_H	NA	8	16	15	ALSIA
59	EPPN2_H	NA	9	2	14	ALSIA
60	EPPN2_H	NA	10	25	14	ALSIA
61	EPPN3_H	NA	1	1	18	ALSIA
62	EPPN3_H	NA	2	13	18	ALSIA
63	EPPN3_H	NA	3	7	17	ALSIA
64	EPPN3_H	NA	4	14	17	ALSIA
65	EPPN3_H	NA	5	12	16	ALSIA
66	EPPN3_H	NA	6	23	16	ALSIA
67	EPPN3_H	NA	7	14	15	ALSIA
68	EPPN3_H	NA	8	26	15	ALSIA
69	EPPN3_H	NA	9	1	14	ALSIA
70	EPPN3_H	NA	10	19	14	ALSIA
71	EPPN4_H	NA	1	3	18	ALSIA
72	EPPN4_H	NA	2	22	18	ALSIA
73	EPPN4_H	NA	3	1	17	ALSIA
74	EPPN4_H	NA	4	17	17	ALSIA
75	EPPN4_H	NA	5	4	16	ALSIA
76	EPPN4_H	NA	6	17	16	ALSIA
77	EPPN4_H	NA	7	4	15	ALSIA
78	EPPN4_H	NA	8	25	15	ALSIA
79	EPPN4_H	NA	9	7	14	ALSIA
80	EPPN4_H	NA	10	23	14	ALSIA
81	EPPN20_T	NA	1	12	18	ALSIA
82	EPPN20_T	NA	2	19	18	ALSIA
83	EPPN20_T	NA	3	13	17	ALSIA
84	EPPN20_T	NA	4	24	17	ALSIA
85	EPPN20_T	NA	5	10	16	ALSIA
86	EPPN20_T	NA	6	13	16	ALSIA
87	EPPN20_T	NA	7	7	15	ALSIA
88	EPPN20_T	NA	8	18	15	ALSIA
89	EPPN20_T	NA	9	9	14	ALSIA
90	EPPN20_T	NA	10	24	14	ALSIA
