Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
69	09:10:51	2020-09-10	2020-09-10 09:10:51	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	9	1	14	ALSIA
59	09:11:06	2020-09-10	2020-09-10 09:11:06	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	9	2	14	ALSIA
29	09:12:36	2020-09-10	2020-09-10 09:12:36	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	9	5	14	ALSIA
39	09:13:14	2020-09-10	2020-09-10 09:13:14	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	9	6	14	ALSIA
79	09:13:52	2020-09-10	2020-09-10 09:13:52	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	9	7	14	ALSIA
49	09:14:30	2020-09-10	2020-09-10 09:14:30	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	9	8	14	ALSIA
89	09:15:08	2020-09-10	2020-09-10 09:15:08	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	9	9	14	ALSIA
19	09:15:46	2020-09-10	2020-09-10 09:15:46	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	9	10	14	ALSIA
9	09:17:44	2020-09-10	2020-09-10 09:17:44	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	9	13	14	ALSIA
50	09:18:25	2020-09-10	2020-09-10 09:18:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	10	14	14	ALSIA
30	09:19:04	2020-09-10	2020-09-10 09:19:04	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	10	15	14	ALSIA
20	09:19:42	2020-09-10	2020-09-10 09:19:42	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	10	16	14	ALSIA
40	09:20:20	2020-09-10	2020-09-10 09:20:20	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	10	17	14	ALSIA
10	09:21:00	2020-09-10	2020-09-10 09:21:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	10	18	14	ALSIA
70	09:21:38	2020-09-10	2020-09-10 09:21:38	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	10	19	14	ALSIA
