Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
1	NA	2019-11-11	NA	0.5506	6.61	0.0838	NA	NA	NA	NA	2137.9	13	69	NA	NA	NA	NA	EPPN2_H	NA	5	1	1	FZJ
2	NA	2019-11-11	NA	0.5655	7.39	0.07	NA	NA	NA	NA	1622.61	11	67	NA	NA	NA	NA	EPPN4_H	NA	5	2	1	FZJ
3	NA	2019-11-11	NA	0.4032	4.6	0.0877	NA	NA	NA	NA	1766.15	6	128	NA	NA	NA	NA	EPPN2_L	NA	5	3	1	FZJ
4	NA	2019-11-11	NA	0.1335	2.11	0.0176	NA	NA	NA	NA	275.45	4	11	NA	NA	NA	NA	EPPN20_T	NA	5	4	1	FZJ
5	NA	2019-11-11	NA	NA	7.56	0.1071	NA	NA	NA	NA	2122.43	8	82	NA	NA	NA	NA	EPPN1_L	NA	5	5	1	FZJ
6	NA	2019-11-11	NA	0.3114	4.08	0.0649	NA	NA	NA	NA	1170.97	9	109	NA	NA	NA	NA	EPPN4_L	NA	5	6	1	FZJ
7	NA	2019-11-11	NA	1.0255	14.37	0.161	NA	NA	NA	NA	4418.41	9	130	NA	NA	NA	NA	EPPN1_H	NA	5	7	1	FZJ
8	NA	2019-11-11	NA	0.5077	7.5	0.0988	NA	NA	NA	NA	1938.89	8	63	NA	NA	NA	NA	EPPN3_L	NA	5	8	1	FZJ
9	NA	2019-11-11	NA	0.951	13.18	0.1302	NA	NA	NA	NA	3409.77	11	69	NA	NA	NA	NA	EPPN3_H	NA	5	9	1	FZJ
10	NA	2019-11-11	NA	0.7459	10.34	0.0933	NA	NA	NA	NA	2365.98	8	50	NA	NA	NA	NA	EPPN1_H	NA	7	10	1	FZJ
11	NA	2019-11-11	NA	0.7319	10.07	0.1482	NA	NA	NA	NA	2326.02	9	57	NA	NA	NA	NA	EPPN1_L	NA	7	11	1	FZJ
12	NA	2019-11-11	NA	0.3384	4.06	0.0686	NA	NA	NA	NA	703.02	10	88	NA	NA	NA	NA	EPPN4_L	NA	7	12	1	FZJ
13	NA	2019-11-11	NA	0.8123	10.39	0.1103	NA	NA	NA	NA	2307.07	14	105	NA	NA	NA	NA	EPPN4_H	NA	7	13	1	FZJ
14	NA	2019-11-11	NA	0.7071	8.49	0.1133	NA	NA	NA	NA	2886.04	11	NA	NA	NA	NA	NA	EPPN2_H	NA	7	14	1	FZJ
15	NA	2019-11-11	NA	0.5736	8.43	0.1141	NA	NA	NA	NA	1931.65	16	90	NA	NA	NA	NA	EPPN3_L	NA	7	15	1	FZJ
16	NA	2019-11-11	NA	0.4883	6.73	0.0675	NA	NA	NA	NA	1466.14	10	107	NA	NA	NA	NA	EPPN20_T	NA	7	16	1	FZJ
17	NA	2019-11-11	NA	0.3276	3.6	0.0658	NA	NA	NA	NA	1549.39	8	103	NA	NA	NA	NA	EPPN2_L	NA	7	17	1	FZJ
18	NA	2019-11-11	NA	0.5965	8.05	0.092	NA	NA	NA	NA	2072.25	6	NA	NA	NA	NA	NA	EPPN3_H	NA	7	18	1	FZJ
19	NA	2019-11-11	NA	0.3718	5.54	0.0776	NA	NA	NA	NA	972.08	14	57	NA	NA	NA	NA	EPPN3_L	NA	1	19	1	FZJ
20	NA	2019-11-11	NA	0.7521	10.99	0.1158	NA	NA	NA	NA	2682.94	10	90	NA	NA	NA	NA	EPPN1_H	NA	1	20	1	FZJ
21	NA	2019-11-11	NA	0.2868	2.91	0.0561	NA	NA	NA	NA	1381.4	9	107	NA	NA	NA	NA	EPPN2_L	NA	1	21	1	FZJ
22	NA	2019-11-11	NA	0.689	9.52	0.1033	NA	NA	NA	NA	1645.89	10	87	NA	NA	NA	NA	EPPN1_L	NA	1	22	1	FZJ
23	NA	2019-11-11	NA	0.8637	10.99	0.1602	NA	NA	NA	NA	3420.12	11	NA	NA	NA	NA	NA	EPPN4_H	NA	1	23	1	FZJ
24	NA	2019-11-11	NA	0.8364	12.2	0.0962	NA	NA	NA	NA	2798.6	12	100	NA	NA	NA	NA	EPPN3_H	NA	1	24	1	FZJ
25	NA	2019-11-11	NA	0.4343	5.98	0.0633	NA	NA	NA	NA	1205.42	11	NA	NA	NA	NA	NA	EPPN20_T	NA	1	25	1	FZJ
26	NA	2019-11-11	NA	0.2348	3.1	0.0494	NA	NA	NA	NA	880.79	10	NA	NA	NA	NA	NA	EPPN4_L	NA	1	26	1	FZJ
27	NA	2019-11-11	NA	0.3446	4.12	0.0641	NA	NA	NA	NA	1756.84	10	86	NA	NA	NA	NA	EPPN2_H	NA	1	27	1	FZJ
28	NA	2019-11-11	NA	0.4604	6.01	0.0774	NA	NA	NA	NA	1059.28	10	NA	NA	NA	NA	NA	EPPN20_T	NA	6	28	1	FZJ
29	NA	2019-11-11	NA	0.6532	9.22	0.1081	NA	NA	NA	NA	2886.34	8	NA	NA	NA	NA	NA	EPPN1_H	NA	6	29	1	FZJ
30	NA	2019-11-11	NA	0.7246	9.72	0.1084	NA	NA	NA	NA	2383.21	11	58	NA	NA	NA	NA	EPPN4_H	NA	6	30	1	FZJ
31	NA	2019-11-11	NA	0.4732	5.97	0.0988	NA	NA	NA	NA	2477.2	9	NA	NA	NA	NA	NA	EPPN2_H	NA	6	31	1	FZJ
32	NA	2019-11-11	NA	0.4438	6.57	0.0783	NA	NA	NA	NA	1422.71	13	55	NA	NA	NA	NA	EPPN3_L	NA	6	32	1	FZJ
33	NA	2019-11-11	NA	0.6401	8.68	0.0995	NA	NA	NA	NA	1978.71	11	80	NA	NA	NA	NA	EPPN1_L	NA	6	33	1	FZJ
34	NA	2019-11-11	NA	0.3573	3.93	0.066	NA	NA	NA	NA	1262.97	6	53	NA	NA	NA	NA	EPPN2_L	NA	6	34	1	FZJ
35	NA	2019-11-11	NA	0.3272	4.22	0.0596	NA	NA	NA	NA	888.35	11	NA	NA	NA	NA	NA	EPPN4_L	NA	6	35	1	FZJ
36	NA	2019-11-11	NA	0.5624	7.89	0.077	NA	NA	NA	NA	2116.13	12	NA	NA	NA	NA	NA	EPPN3_H	NA	6	36	1	FZJ
37	NA	2019-11-11	NA	0.1756	1.95	0.0356	NA	NA	NA	NA	813.58	4	83	NA	NA	NA	NA	EPPN2_L	NA	3	1	2	FZJ
38	NA	2019-11-11	NA	0.3332	4.11	0.0391	NA	NA	NA	NA	1208.34	7	123	NA	NA	NA	NA	EPPN2_H	NA	3	2	2	FZJ
39	NA	2019-11-11	NA	0.282	4.07	0.0331	NA	NA	NA	NA	631.67	9	57	NA	NA	NA	NA	EPPN20_T	NA	3	3	2	FZJ
40	NA	2019-11-11	NA	0.4018	5.71	0.0521	NA	NA	NA	NA	1314.71	8	80	NA	NA	NA	NA	EPPN3_H	NA	3	4	2	FZJ
41	NA	2019-11-11	NA	0.4339	6.6	0.0425	NA	NA	NA	NA	912.38	10	NA	NA	NA	NA	NA	EPPN3_L	NA	3	5	2	FZJ
42	NA	2019-11-11	NA	0.9525	13.07	0.1434	NA	NA	NA	NA	3518.73	11	NA	NA	NA	NA	NA	EPPN4_H	NA	3	6	2	FZJ
43	NA	2019-11-11	NA	0.6166	8.46	0.1013	NA	NA	NA	NA	1843.94	9	NA	NA	NA	NA	NA	EPPN1_L	NA	3	7	2	FZJ
44	NA	2019-11-11	NA	0.315	4.04	0.0799	NA	NA	NA	NA	1561.45	11	NA	NA	NA	NA	NA	EPPN4_L	NA	3	8	2	FZJ
45	NA	2019-11-11	NA	0.7526	10.81	0.0971	NA	NA	NA	NA	2140.62	7	NA	NA	NA	NA	NA	EPPN1_H	NA	3	9	2	FZJ
