Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
1	EPPN2_H	NA	5	1	1	FZJ
2	EPPN4_H	NA	5	2	1	FZJ
3	EPPN2_L	NA	5	3	1	FZJ
4	EPPN20_T	NA	5	4	1	FZJ
5	EPPN1_L	NA	5	5	1	FZJ
6	EPPN4_L	NA	5	6	1	FZJ
7	EPPN1_H	NA	5	7	1	FZJ
8	EPPN3_L	NA	5	8	1	FZJ
9	EPPN3_H	NA	5	9	1	FZJ
10	EPPN1_H	NA	7	10	1	FZJ
11	EPPN1_L	NA	7	11	1	FZJ
12	EPPN4_L	NA	7	12	1	FZJ
13	EPPN4_H	NA	7	13	1	FZJ
14	EPPN2_H	NA	7	14	1	FZJ
15	EPPN3_L	NA	7	15	1	FZJ
16	EPPN20_T	NA	7	16	1	FZJ
17	EPPN2_L	NA	7	17	1	FZJ
18	EPPN3_H	NA	7	18	1	FZJ
19	EPPN3_L	NA	1	19	1	FZJ
20	EPPN1_H	NA	1	20	1	FZJ
21	EPPN2_L	NA	1	21	1	FZJ
22	EPPN1_L	NA	1	22	1	FZJ
23	EPPN4_H	NA	1	23	1	FZJ
24	EPPN3_H	NA	1	24	1	FZJ
25	EPPN20_T	NA	1	25	1	FZJ
26	EPPN4_L	NA	1	26	1	FZJ
27	EPPN2_H	NA	1	27	1	FZJ
28	EPPN20_T	NA	6	28	1	FZJ
29	EPPN1_H	NA	6	29	1	FZJ
30	EPPN4_H	NA	6	30	1	FZJ
31	EPPN2_H	NA	6	31	1	FZJ
32	EPPN3_L	NA	6	32	1	FZJ
33	EPPN1_L	NA	6	33	1	FZJ
34	EPPN2_L	NA	6	34	1	FZJ
35	EPPN4_L	NA	6	35	1	FZJ
36	EPPN3_H	NA	6	36	1	FZJ
37	EPPN2_L	NA	3	1	2	FZJ
38	EPPN2_H	NA	3	2	2	FZJ
39	EPPN20_T	NA	3	3	2	FZJ
40	EPPN3_H	NA	3	4	2	FZJ
41	EPPN3_L	NA	3	5	2	FZJ
42	EPPN4_H	NA	3	6	2	FZJ
43	EPPN1_L	NA	3	7	2	FZJ
44	EPPN4_L	NA	3	8	2	FZJ
45	EPPN1_H	NA	3	9	2	FZJ
46	EPPN3_H	NA	4	10	2	FZJ
47	EPPN1_H	NA	4	11	2	FZJ
48	EPPN3_L	NA	4	12	2	FZJ
49	EPPN2_L	NA	4	13	2	FZJ
50	EPPN20_T	NA	4	14	2	FZJ
51	EPPN4_L	NA	4	15	2	FZJ
52	EPPN4_H	NA	4	16	2	FZJ
53	EPPN2_H	NA	4	17	2	FZJ
54	EPPN1_L	NA	4	18	2	FZJ
55	EPPN3_H	NA	2	19	2	FZJ
56	EPPN1_L	NA	2	20	2	FZJ
57	EPPN3_L	NA	2	21	2	FZJ
58	EPPN2_H	NA	2	22	2	FZJ
59	EPPN4_L	NA	2	23	2	FZJ
60	EPPN4_H	NA	2	24	2	FZJ
61	EPPN2_L	NA	2	25	2	FZJ
62	EPPN1_H	NA	2	26	2	FZJ
63	EPPN20_T	NA	2	27	2	FZJ
64	EPPN2_H	NA	8	28	2	FZJ
65	EPPN4_H	NA	8	29	2	FZJ
66	EPPN1_H	NA	8	30	2	FZJ
67	EPPN3_L	NA	8	31	2	FZJ
68	EPPN2_L	NA	8	32	2	FZJ
69	EPPN4_L	NA	8	33	2	FZJ
70	EPPN1_L	NA	8	34	2	FZJ
71	EPPN20_T	NA	8	35	2	FZJ
72	EPPN3_H	NA	8	36	2	FZJ
