Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
1	NA	2019-10-28	NA	10	2.2	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	5	1	1	FZJ
1	NA	2019-10-31	NA	21.1	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	5	1	1	FZJ
1	NA	2019-11-04	NA	33.4	4	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	5	1	1	FZJ
1	NA	2019-11-07	NA	38.2	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	5	1	1	FZJ
1	NA	2019-11-11	NA	45.5	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	5	1	1	FZJ
2	NA	2019-10-28	NA	8.5	2.2	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	5	2	1	FZJ
2	NA	2019-10-31	NA	20.9	3.5	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	5	2	1	FZJ
2	NA	2019-11-04	NA	32.5	4.5	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	5	2	1	FZJ
2	NA	2019-11-07	NA	45.5	5	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	5	2	1	FZJ
2	NA	2019-11-11	NA	50.5	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	5	2	1	FZJ
3	NA	2019-10-28	NA	9	2	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	5	3	1	FZJ
3	NA	2019-10-31	NA	17.6	3	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	5	3	1	FZJ
3	NA	2019-11-04	NA	27.4	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	5	3	1	FZJ
3	NA	2019-11-07	NA	31	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	5	3	1	FZJ
3	NA	2019-11-11	NA	34	5.2	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	5	3	1	FZJ
4	NA	2019-10-28	NA	7.2	2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	5	4	1	FZJ
4	NA	2019-10-31	NA	15.6	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	5	4	1	FZJ
4	NA	2019-11-07	NA	25	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	5	4	1	FZJ
4	NA	2019-11-04	NA	25.5	4	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	5	4	1	FZJ
