Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
1	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	113	NA	NA	NA	NA	NA	NA	NA	EPPN7_L	WD1	1	1	1	M3P
2	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	231	NA	NA	NA	NA	NA	NA	NA	EPPN10_L	WD1	1	1	2	M3P
3	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	156	NA	NA	NA	NA	NA	NA	NA	EPPN8_L	WD1	1	1	3	M3P
4	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	150	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	WD1	1	1	4	M3P
5	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	138	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	WD1	1	1	5	M3P
6	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	96	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	WD1	1	1	6	M3P
7	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	111	NA	NA	NA	NA	NA	NA	NA	EPPN9_L	WD1	1	1	7	M3P
8	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	90	NA	NA	NA	NA	NA	NA	NA	EPPN14_L	WD1	1	1	8	M3P
9	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	89	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	WD1	1	1	9	M3P
10	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	101	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	WD1	1	1	10	M3P
11	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	EPPN13_L	WD1	1	1	11	M3P
12	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	141	NA	NA	NA	NA	NA	NA	NA	EPPN6_L	WD1	1	1	12	M3P
13	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	105	NA	NA	NA	NA	NA	NA	NA	EPPN11_L	WD1	1	1	13	M3P
14	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	129	NA	NA	NA	NA	NA	NA	NA	EPPN5_L	WD1	1	1	14	M3P
15	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	105	NA	NA	NA	NA	NA	NA	NA	EPPN12_L	WD1	1	1	15	M3P
16	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	296	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	WW	2	1	16	M3P
17	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	404	NA	NA	NA	NA	NA	NA	NA	EPPN8_H	WW	2	1	17	M3P
18	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	390	NA	NA	NA	NA	NA	NA	NA	EPPN10_H	WW	2	1	18	M3P
19	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	420	NA	NA	NA	NA	NA	NA	NA	EPPN13_H	WW	2	1	19	M3P
20	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	353	NA	NA	NA	NA	NA	NA	NA	EPPN7_H	WW	2	1	20	M3P
21	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	386	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	WW	2	1	21	M3P
22	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	296	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	WW	2	1	22	M3P
23	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	341	NA	NA	NA	NA	NA	NA	NA	EPPN6_H	WW	2	1	23	M3P
24	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	361	NA	NA	NA	NA	NA	NA	NA	EPPN14_H	WW	2	1	24	M3P
25	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	279	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	WW	2	1	25	M3P
26	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	323	NA	NA	NA	NA	NA	NA	NA	EPPN11_H	WW	2	1	26	M3P
27	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	428	NA	NA	NA	NA	NA	NA	NA	EPPN15_H	WW	2	1	27	M3P
28	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	253	NA	NA	NA	NA	NA	NA	NA	EPPN5_H	WW	2	1	28	M3P
29	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	430	NA	NA	NA	NA	NA	NA	NA	EPPN9_H	WW	2	1	29	M3P
30	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	323	NA	NA	NA	NA	NA	NA	NA	EPPN12_H	WW	2	1	30	M3P
31	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	152	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	WD1	3	1	31	M3P
32	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	116	NA	NA	NA	NA	NA	NA	NA	EPPN14_L	WD1	3	1	32	M3P
33	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	143	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	WD1	3	1	33	M3P
34	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	166	NA	NA	NA	NA	NA	NA	NA	EPPN9_L	WD1	3	1	34	M3P
35	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	135	NA	NA	NA	NA	NA	NA	NA	EPPN5_L	WD1	3	1	35	M3P
36	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	NA	NA	NA	NA	NA	EPPN13_L	WD1	3	1	36	M3P
37	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	146	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	WD1	3	1	37	M3P
38	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	99	NA	NA	NA	NA	NA	NA	NA	EPPN7_L	WD1	3	1	38	M3P
39	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	114	NA	NA	NA	NA	NA	NA	NA	EPPN12_L	WD1	3	1	39	M3P
40	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA	NA	EPPN11_L	WD1	3	1	40	M3P
41	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	215	NA	NA	NA	NA	NA	NA	NA	EPPN10_L	WD1	3	1	41	M3P
42	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	127	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	WD1	3	1	42	M3P
43	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	58	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	WD1	3	1	43	M3P
44	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	126	NA	NA	NA	NA	NA	NA	NA	EPPN8_L	WD1	3	1	44	M3P
45	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	99	NA	NA	NA	NA	NA	NA	NA	EPPN6_L	WD1	3	1	45	M3P
46	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	105	NA	NA	NA	NA	NA	NA	NA	EPPN15_H	WW	4	1	46	M3P
47	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	290	NA	NA	NA	NA	NA	NA	NA	EPPN6_H	WW	4	1	47	M3P
48	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	349	NA	NA	NA	NA	NA	NA	NA	EPPN8_H	WW	4	1	48	M3P
49	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	292	NA	NA	NA	NA	NA	NA	NA	EPPN12_H	WW	4	1	49	M3P
50	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	289	NA	NA	NA	NA	NA	NA	NA	EPPN7_H	WW	4	1	50	M3P
51	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	229	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	WW	4	1	51	M3P
52	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	275	NA	NA	NA	NA	NA	NA	NA	EPPN5_H	WW	4	1	52	M3P
53	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	236	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	WW	4	1	53	M3P
54	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	216	NA	NA	NA	NA	NA	NA	NA	EPPN13_H	WW	4	1	54	M3P
55	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	234	NA	NA	NA	NA	NA	NA	NA	EPPN10_H	WW	4	1	55	M3P
56	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	349	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	WW	4	1	56	M3P
57	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	341	NA	NA	NA	NA	NA	NA	NA	EPPN11_H	WW	4	1	57	M3P
58	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	447	NA	NA	NA	NA	NA	NA	NA	EPPN14_H	WW	4	1	58	M3P
59	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	329	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	WW	4	1	59	M3P
60	NA	2020-04-19	NA	NA	NA	NA	NA	NA	NA	504	NA	NA	NA	NA	NA	NA	NA	EPPN9_H	WW	4	1	60	M3P
