Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
1	EPPN7_L	WD1	1	1	1	M3P
2	EPPN10_L	WD1	1	1	2	M3P
3	EPPN8_L	WD1	1	1	3	M3P
4	EPPN3_L	WD1	1	1	4	M3P
5	EPPN1_L	WD1	1	1	5	M3P
6	EPPN2_L	WD1	1	1	6	M3P
7	EPPN9_L	WD1	1	1	7	M3P
8	EPPN14_L	WD1	1	1	8	M3P
9	EPPN4_L	WD1	1	1	9	M3P
10	EPPN20_T	WD1	1	1	10	M3P
11	EPPN13_L	WD1	1	1	11	M3P
12	EPPN6_L	WD1	1	1	12	M3P
13	EPPN11_L	WD1	1	1	13	M3P
14	EPPN5_L	WD1	1	1	14	M3P
15	EPPN12_L	WD1	1	1	15	M3P
16	EPPN2_H	WW	2	1	16	M3P
17	EPPN8_H	WW	2	1	17	M3P
18	EPPN10_H	WW	2	1	18	M3P
19	EPPN13_H	WW	2	1	19	M3P
20	EPPN7_H	WW	2	1	20	M3P
21	EPPN3_H	WW	2	1	21	M3P
22	EPPN4_H	WW	2	1	22	M3P
23	EPPN6_H	WW	2	1	23	M3P
24	EPPN14_H	WW	2	1	24	M3P
25	EPPN1_H	WW	2	1	25	M3P
26	EPPN11_H	WW	2	1	26	M3P
27	EPPN15_H	WW	2	1	27	M3P
28	EPPN5_H	WW	2	1	28	M3P
29	EPPN9_H	WW	2	1	29	M3P
30	EPPN12_H	WW	2	1	30	M3P
31	EPPN20_T	WD1	3	1	31	M3P
32	EPPN14_L	WD1	3	1	32	M3P
33	EPPN3_L	WD1	3	1	33	M3P
34	EPPN9_L	WD1	3	1	34	M3P
35	EPPN5_L	WD1	3	1	35	M3P
36	EPPN13_L	WD1	3	1	36	M3P
37	EPPN1_L	WD1	3	1	37	M3P
38	EPPN7_L	WD1	3	1	38	M3P
39	EPPN12_L	WD1	3	1	39	M3P
40	EPPN11_L	WD1	3	1	40	M3P
41	EPPN10_L	WD1	3	1	41	M3P
42	EPPN2_L	WD1	3	1	42	M3P
43	EPPN4_L	WD1	3	1	43	M3P
44	EPPN8_L	WD1	3	1	44	M3P
45	EPPN6_L	WD1	3	1	45	M3P
46	EPPN15_H	WW	4	1	46	M3P
47	EPPN6_H	WW	4	1	47	M3P
48	EPPN8_H	WW	4	1	48	M3P
49	EPPN12_H	WW	4	1	49	M3P
50	EPPN7_H	WW	4	1	50	M3P
51	EPPN1_H	WW	4	1	51	M3P
52	EPPN5_H	WW	4	1	52	M3P
53	EPPN4_H	WW	4	1	53	M3P
54	EPPN13_H	WW	4	1	54	M3P
55	EPPN10_H	WW	4	1	55	M3P
56	EPPN3_H	WW	4	1	56	M3P
57	EPPN11_H	WW	4	1	57	M3P
58	EPPN14_H	WW	4	1	58	M3P
59	EPPN2_H	WW	4	1	59	M3P
60	EPPN9_H	WW	4	1	60	M3P
61	EPPN15_H	WD1	1	2	1	M3P
62	EPPN14_H	WD1	1	2	2	M3P
63	EPPN8_H	WD1	1	2	3	M3P
64	EPPN3_H	WD1	1	2	4	M3P
65	EPPN13_H	WD1	1	2	5	M3P
66	EPPN12_H	WD1	1	2	6	M3P
67	EPPN4_H	WD1	1	2	7	M3P
68	EPPN9_H	WD1	1	2	8	M3P
69	EPPN6_H	WD1	1	2	9	M3P
70	EPPN5_H	WD1	1	2	10	M3P
71	EPPN1_H	WD1	1	2	11	M3P
72	EPPN10_H	WD1	1	2	12	M3P
73	EPPN7_H	WD1	1	2	13	M3P
74	EPPN11_H	WD1	1	2	14	M3P
75	EPPN2_H	WD1	1	2	15	M3P
76	EPPN12_L	WW	2	2	16	M3P
77	EPPN9_L	WW	2	2	17	M3P
78	EPPN5_L	WW	2	2	18	M3P
79	EPPN6_L	WW	2	2	19	M3P
80	EPPN3_L	WW	2	2	20	M3P
81	EPPN1_L	WW	2	2	21	M3P
82	EPPN14_L	WW	2	2	22	M3P
83	EPPN11_L	WW	2	2	23	M3P
84	EPPN7_L	WW	2	2	24	M3P
85	EPPN13_L	WW	2	2	25	M3P
86	EPPN10_L	WW	2	2	26	M3P
87	EPPN4_L	WW	2	2	27	M3P
88	EPPN8_L	WW	2	2	28	M3P
89	EPPN2_L	WW	2	2	29	M3P
90	EPPN20_T	WW	2	2	30	M3P
91	EPPN12_H	WD1	3	2	31	M3P
92	EPPN8_H	WD1	3	2	32	M3P
93	EPPN11_H	WD1	3	2	33	M3P
94	EPPN14_H	WD1	3	2	34	M3P
95	EPPN2_H	WD1	3	2	35	M3P
96	EPPN13_H	WD1	3	2	36	M3P
97	EPPN1_H	WD1	3	2	37	M3P
98	EPPN3_H	WD1	3	2	38	M3P
99	EPPN5_H	WD1	3	2	39	M3P
100	EPPN9_H	WD1	3	2	40	M3P
101	EPPN6_H	WD1	3	2	41	M3P
102	EPPN10_H	WD1	3	2	42	M3P
103	EPPN4_H	WD1	3	2	43	M3P
104	EPPN15_H	WD1	3	2	44	M3P
