Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
1	EPPN20_T	S1	1	1	1	NaPPI
2	EPPN06_H	S1	1	1	2	NaPPI
3	EPPN08_H	S2	1	1	3	NaPPI
4	EPPN10_L	S2	1	1	4	NaPPI
5	EPPN05_H	S2	2	1	5	NaPPI
6	EPPN11_H	S2	2	1	6	NaPPI
7	EPPN06_H	S1	2	1	7	NaPPI
8	EPPN09_H	S1	2	1	8	NaPPI
9	EPPN09_H	S1	3	1	9	NaPPI
10	EPPN04_H	S2	3	1	11	NaPPI
11	EPPN03_H	S2	3	1	12	NaPPI
12	EPPN12_H	S1	4	1	13	NaPPI
13	EPPN10_H	S1	4	1	14	NaPPI
14	EPPN11_H	S2	4	1	15	NaPPI
15	EPPN01_H	S2	5	1	17	NaPPI
16	EPPN08_H	S2	5	1	18	NaPPI
17	EPPN02_H	S1	5	1	19	NaPPI
18	EPPN11_L	S1	5	1	20	NaPPI
19	EPPN10_L	S1	1	2	1	NaPPI
20	EPPN12_H	S1	1	2	2	NaPPI
21	EPPN03_H	S2	1	2	3	NaPPI
22	EPPN09_H	S2	1	2	4	NaPPI
23	EPPN13_H	S2	2	2	5	NaPPI
24	EPPN06_H	S2	2	2	6	NaPPI
25	EPPN01_H	S1	2	2	7	NaPPI
26	EPPN09_H	S1	2	2	8	NaPPI
27	EPPN02_H	S1	3	2	9	NaPPI
28	EPPN04_H	S1	3	2	10	NaPPI
29	EPPN11_H	S2	3	2	11	NaPPI
30	EPPN02_H	S2	3	2	12	NaPPI
31	EPPN08_H	S1	4	2	14	NaPPI
32	EPPN05_H	S2	4	2	15	NaPPI
33	EPPN12_H	S2	4	2	16	NaPPI
34	EPPN06_H	S2	5	2	18	NaPPI
35	EPPN09_H	S1	5	2	19	NaPPI
36	EPPN13_H	S1	5	2	20	NaPPI
37	EPPN05_H	S1	1	3	1	NaPPI
38	EPPN11_L	S1	1	3	2	NaPPI
39	EPPN11_H	S2	1	3	3	NaPPI
40	EPPN06_H	S2	1	3	4	NaPPI
41	EPPN12_H	S2	2	3	5	NaPPI
42	EPPN04_H	S2	2	3	6	NaPPI
43	EPPN10_H	S1	2	3	7	NaPPI
44	EPPN03_H	S1	2	3	8	NaPPI
45	EPPN07_L	S1	3	3	9	NaPPI
46	EPPN08_H	S1	3	3	10	NaPPI
47	EPPN06_H	S1	4	3	13	NaPPI
48	EPPN06_H	S1	4	3	14	NaPPI
49	EPPN01_H	S2	4	3	15	NaPPI
50	EPPN06_H	S2	4	3	16	NaPPI
51	EPPN03_H	S2	5	3	17	NaPPI
52	EPPN02_H	S2	5	3	18	NaPPI
53	EPPN10_H	S1	5	3	19	NaPPI
54	EPPN06_H	S1	5	3	20	NaPPI
55	EPPN09_H	S1	1	4	1	NaPPI
56	EPPN11_H	S1	1	4	2	NaPPI
57	EPPN06_H	S2	1	4	3	NaPPI
58	EPPN20_T	S2	1	4	4	NaPPI
59	EPPN01_H	S2	2	4	5	NaPPI
60	EPPN02_H	S2	2	4	6	NaPPI
61	EPPN11_H	S1	2	4	7	NaPPI
62	EPPN05_H	S1	2	4	8	NaPPI
63	EPPN10_H	S1	3	4	9	NaPPI
64	EPPN03_H	S1	3	4	10	NaPPI
65	EPPN06_H	S2	3	4	11	NaPPI
66	EPPN01_H	S2	3	4	12	NaPPI
67	EPPN05_H	S1	4	4	13	NaPPI
68	EPPN02_H	S1	4	4	14	NaPPI
69	EPPN04_H	S2	4	4	15	NaPPI
70	EPPN06_H	S2	5	4	17	NaPPI
71	EPPN05_H	S2	5	4	18	NaPPI
72	EPPN08_H	S1	5	4	19	NaPPI
73	EPPN12_H	S1	5	4	20	NaPPI
74	EPPN01_H	S1	1	5	2	NaPPI
75	EPPN06_H	S2	1	5	3	NaPPI
76	EPPN12_H	S2	1	5	4	NaPPI
77	EPPN09_H	S2	2	5	6	NaPPI
78	EPPN12_H	S1	2	5	7	NaPPI
79	EPPN02_H	S1	2	5	8	NaPPI
80	EPPN06_H	S1	3	5	9	NaPPI
81	EPPN01_H	S1	3	5	10	NaPPI
82	EPPN08_H	S2	3	5	11	NaPPI
83	EPPN07_L	S2	3	5	12	NaPPI
84	EPPN09_H	S1	4	5	13	NaPPI
85	EPPN11_H	S1	4	5	14	NaPPI
86	EPPN02_H	S2	4	5	15	NaPPI
87	EPPN03_H	S2	4	5	16	NaPPI
88	EPPN20_T	S2	5	5	17	NaPPI
89	EPPN05_H	S2	5	5	18	NaPPI
90	EPPN05_H	S1	5	5	19	NaPPI
91	EPPN04_H	S1	5	5	20	NaPPI
92	EPPN06_H	S1	1	6	1	NaPPI
93	EPPN13_H	S1	1	6	2	NaPPI
94	EPPN01_H	S2	1	6	3	NaPPI
95	EPPN10_H	S2	2	6	5	NaPPI
96	EPPN03_H	S2	2	6	6	NaPPI
97	EPPN05_H	S1	2	6	7	NaPPI
98	EPPN13_H	S1	2	6	8	NaPPI
99	EPPN05_H	S1	3	6	9	NaPPI
100	EPPN11_H	S1	3	6	10	NaPPI
101	EPPN12_H	S2	3	6	11	NaPPI
102	EPPN10_H	S2	3	6	12	NaPPI
103	EPPN04_H	S1	4	6	13	NaPPI
104	EPPN03_H	S1	4	6	14	NaPPI
105	EPPN06_H	S2	4	6	15	NaPPI
106	EPPN09_H	S2	4	6	16	NaPPI
107	EPPN12_H	S2	5	6	17	NaPPI
108	EPPN13_H	S2	5	6	18	NaPPI
109	EPPN05_H	S1	5	6	19	NaPPI
110	EPPN06_H	S1	5	6	20	NaPPI
111	EPPN06_H	S1	1	7	1	NaPPI
112	EPPN03_H	S1	1	7	2	NaPPI
113	EPPN05_H	S2	1	7	3	NaPPI
114	EPPN02_H	S2	1	7	4	NaPPI
115	EPPN09_H	S2	2	7	5	NaPPI
116	EPPN04_H	S1	2	7	8	NaPPI
117	EPPN12_H	S1	3	7	9	NaPPI
118	EPPN05_H	S2	3	7	11	NaPPI
119	EPPN09_H	S2	3	7	12	NaPPI
120	EPPN01_H	S1	4	7	13	NaPPI
121	EPPN10_H	S2	4	7	15	NaPPI
122	EPPN08_H	S2	4	7	16	NaPPI
123	EPPN11_H	S2	5	7	17	NaPPI
124	EPPN11_L	S2	5	7	18	NaPPI
125	EPPN03_H	S1	5	7	19	NaPPI
126	EPPN11_H	S1	5	7	20	NaPPI
