Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
166	NA	2019-12-05	NA	0.0593	NA	0.0462	NA	3	NA	NA	NA	NA	NA	NA	0.0346	NA	NA	4L	NA	8	12	15	4PMI
167	NA	2019-12-05	NA	0.4302	NA	0.3027	NA	5	NA	NA	NA	NA	NA	NA	0.023	NA	NA	11H	NA	8	13	15	4PMI
168	NA	2019-12-05	NA	0.2923	NA	0.2075	NA	4	NA	NA	NA	NA	NA	NA	0.0313	NA	NA	7H	NA	8	14	15	4PMI
169	NA	2019-12-05	NA	0.376	NA	0.3035	NA	4	NA	NA	NA	NA	NA	NA	0.038	NA	NA	14H	NA	8	15	15	4PMI
170	NA	2019-12-05	NA	0.1642	NA	0.0832	NA	4	NA	NA	NA	NA	NA	NA	0.0495	NA	NA	12L	NA	8	16	15	4PMI
171	NA	2019-12-05	NA	0.2525	NA	0.2168	NA	5	NA	NA	NA	NA	NA	NA	0.0307	NA	NA	6L	NA	8	17	15	4PMI
172	NA	2019-12-05	NA	0.1247	NA	0.0845	NA	4	NA	NA	NA	NA	NA	NA	0.0153	NA	NA	12H	NA	8	18	15	4PMI
173	NA	2019-12-05	NA	0.2821	NA	0.2645	NA	4	NA	NA	NA	NA	NA	NA	0.0327	NA	NA	6H	NA	8	19	15	4PMI
174	NA	2019-12-05	NA	0.3518	NA	0.2533	NA	5	NA	NA	NA	NA	NA	NA	0.0466	NA	NA	23T	NA	8	20	15	4PMI
175	NA	2019-12-05	NA	0.2554	NA	0.1629	NA	4	NA	NA	NA	NA	NA	NA	0.0291	NA	NA	10L	NA	8	21	15	4PMI
176	NA	2019-12-05	NA	0.302	NA	0.2502	NA	5	NA	NA	NA	NA	NA	NA	0.0611	NA	NA	9H	NA	8	22	15	4PMI
177	NA	2019-12-05	NA	0.0932	NA	0.0789	NA	3	NA	NA	NA	NA	NA	NA	0.0749	NA	NA	2L	NA	3	1	14	4PMI
178	NA	2019-12-05	NA	0.2187	NA	0.1892	NA	4	NA	NA	NA	NA	NA	NA	0.0359	NA	NA	6H	NA	3	2	14	4PMI
179	NA	2019-12-05	NA	0.173	NA	0.1265	NA	4	NA	NA	NA	NA	NA	NA	0.0306	NA	NA	9H	NA	3	3	14	4PMI
180	NA	2019-12-05	NA	0.1307	NA	0.1023	NA	4	NA	NA	NA	NA	NA	NA	0.0319	NA	NA	1L	NA	3	4	14	4PMI
181	NA	2019-12-05	NA	0.1761	NA	0.154	NA	4	NA	NA	NA	NA	NA	NA	0.0232	NA	NA	8H	NA	3	5	14	4PMI
182	NA	2019-12-05	NA	0.227	NA	0.1493	NA	4	NA	NA	NA	NA	NA	NA	0.017	NA	NA	10H	NA	3	6	14	4PMI
183	NA	2019-12-05	NA	0.1683	NA	0.1334	NA	4	NA	NA	NA	NA	NA	NA	0.023	NA	NA	24T	NA	3	7	14	4PMI
184	NA	2019-12-05	NA	0.1953	NA	0.1541	NA	4	NA	NA	NA	NA	NA	NA	0.0147	NA	NA	12H	NA	3	8	14	4PMI
185	NA	2019-12-05	NA	0.4465	NA	0.3573	NA	5	NA	NA	NA	NA	NA	NA	0.0294	NA	NA	11H	NA	3	9	14	4PMI
186	NA	2019-12-05	NA	0.1644	NA	0.1399	NA	4	NA	NA	NA	NA	NA	NA	0.0429	NA	NA	6L	NA	3	10	14	4PMI
187	NA	2019-12-05	NA	0.2589	NA	0.2167	NA	4	NA	NA	NA	NA	NA	NA	0.0548	NA	NA	11L	NA	3	11	14	4PMI
188	NA	2019-12-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13	NA	NA	14L	NA	8	12	14	4PMI
189	NA	2019-12-05	NA	0.1019	NA	0.0414	NA	4	NA	NA	NA	NA	NA	NA	0.0636	NA	NA	13L	NA	8	13	14	4PMI
190	NA	2019-12-05	NA	0.1632	NA	0.1304	NA	4	NA	NA	NA	NA	NA	NA	0.0677	NA	NA	3L	NA	8	14	14	4PMI
191	NA	2019-12-05	NA	0.2415	NA	0.1932	NA	4	NA	NA	NA	NA	NA	NA	0.0785	NA	NA	9L	NA	8	15	14	4PMI
192	NA	2019-12-05	NA	0.2287	NA	0.1602	NA	5	NA	NA	NA	NA	NA	NA	0.1017	NA	NA	7L	NA	8	16	14	4PMI
193	NA	2019-12-05	NA	0.1254	NA	0.0779	NA	4	NA	NA	NA	NA	NA	NA	0.0355	NA	NA	3H	NA	8	17	14	4PMI
194	NA	2019-12-05	NA	0.345	NA	0.2656	NA	5	NA	NA	NA	NA	NA	NA	0.0249	NA	NA	1H	NA	8	18	14	4PMI
195	NA	2019-12-05	NA	0.1989	NA	0.1415	NA	5	NA	NA	NA	NA	NA	NA	0.0475	NA	NA	8L	NA	8	19	14	4PMI
196	NA	2019-12-05	NA	0.2917	NA	0.2491	NA	5	NA	NA	NA	NA	NA	NA	0.0307	NA	NA	15H	NA	8	20	14	4PMI
197	NA	2019-12-05	NA	0.1601	NA	0.1165	NA	4	NA	NA	NA	NA	NA	NA	0.0527	NA	NA	5L	NA	8	21	14	4PMI
198	NA	2019-12-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1177	NA	NA	15L	NA	8	22	14	4PMI
199	NA	2019-12-05	NA	0.1609	NA	0.1246	NA	4	NA	NA	NA	NA	NA	NA	0.0268	NA	NA	1H	NA	2	1	13	4PMI
200	NA	2019-12-05	NA	0.1515	NA	0.1071	NA	5	NA	NA	NA	NA	NA	NA	0.0388	NA	NA	15L	NA	2	2	13	4PMI
201	NA	2019-12-05	NA	0.1531	NA	0.1052	NA	4	NA	NA	NA	NA	NA	NA	0.1233	NA	NA	9L	NA	2	3	13	4PMI
202	NA	2019-12-05	NA	0.0695	NA	0.041	NA	3	NA	NA	NA	NA	NA	NA	0.0553	NA	NA	4L	NA	2	4	13	4PMI
203	NA	2019-12-05	NA	0.1861	NA	0.1579	NA	4	NA	NA	NA	NA	NA	NA	0.028	NA	NA	12H	NA	2	5	13	4PMI
204	NA	2019-12-05	NA	0.1562	NA	0.1314	NA	4	NA	NA	NA	NA	NA	NA	0.0584	NA	NA	11L	NA	2	6	13	4PMI
205	NA	2019-12-05	NA	0.1711	NA	0.1359	NA	4	NA	NA	NA	NA	NA	NA	0.0217	NA	NA	15H	NA	2	7	13	4PMI
206	NA	2019-12-05	NA	0.1929	NA	0.18	NA	4	NA	NA	NA	NA	NA	NA	0.0512	NA	NA	14H	NA	2	8	13	4PMI
207	NA	2019-12-05	NA	0.0912	NA	0.0569	NA	4	NA	NA	NA	NA	NA	NA	0.0753	NA	NA	3L	NA	2	9	13	4PMI
208	NA	2019-12-05	NA	0.4321	NA	0.3179	NA	5	NA	NA	NA	NA	NA	NA	0.0561	NA	NA	5H	NA	2	10	13	4PMI
209	NA	2019-12-05	NA	0.33	NA	0.2254	NA	4	NA	NA	NA	NA	NA	NA	0.033	NA	NA	10L	NA	2	11	13	4PMI
210	NA	2019-12-05	NA	0.2309	NA	0.1879	NA	5	NA	NA	NA	NA	NA	NA	0.0554	NA	NA	5L	NA	7	12	13	4PMI
211	NA	2019-12-05	NA	0.4072	NA	0.2521	NA	5	NA	NA	NA	NA	NA	NA	0.0188	NA	NA	10H	NA	7	13	13	4PMI
212	NA	2019-12-05	NA	0.1481	NA	0.12	NA	4	NA	NA	NA	NA	NA	NA	0.1131	NA	NA	24T	NA	7	14	13	4PMI
213	NA	2019-12-05	NA	0.3744	NA	0.2882	NA	5	NA	NA	NA	NA	NA	NA	0.0259	NA	NA	8H	NA	7	15	13	4PMI
214	NA	2019-12-05	NA	0.2721	NA	0.213	NA	5	NA	NA	NA	NA	NA	NA	0.016	NA	NA	4H	NA	7	16	13	4PMI
215	NA	2019-12-05	NA	0.2069	NA	0.1291	NA	4	NA	NA	NA	NA	NA	NA	0.014	NA	NA	20T	NA	7	17	13	4PMI
216	NA	2019-12-05	NA	0.4058	NA	0.3175	NA	5	NA	NA	NA	NA	NA	NA	0.0359	NA	NA	23T	NA	7	18	13	4PMI
217	NA	2019-12-05	NA	0.2077	NA	0.2104	NA	4	NA	NA	NA	NA	NA	NA	0.054	NA	NA	7H	NA	7	19	13	4PMI
218	NA	2019-12-05	NA	0.1575	NA	0.1195	NA	4	NA	NA	NA	NA	NA	NA	0.0369	NA	NA	12L	NA	7	20	13	4PMI
219	NA	2019-12-05	NA	0.2071	NA	0.1468	NA	4	NA	NA	NA	NA	NA	NA	0.0746	NA	NA	7L	NA	7	21	13	4PMI
220	NA	2019-12-05	NA	0.2541	NA	0.168	NA	4	NA	NA	NA	NA	NA	NA	0.0299	NA	NA	3H	NA	7	22	13	4PMI
221	NA	2019-12-05	NA	0.1269	NA	0.1291	NA	4	NA	NA	NA	NA	NA	NA	0.0341	NA	NA	24T	NA	2	1	12	4PMI
222	NA	2019-12-05	NA	0.231	NA	0.19	NA	4	NA	NA	NA	NA	NA	NA	0.0341	NA	NA	13H	NA	2	2	12	4PMI
223	NA	2019-12-05	NA	0.1309	NA	0.1165	NA	4	NA	NA	NA	NA	NA	NA	0.0451	NA	NA	8L	NA	2	3	12	4PMI
224	NA	2019-12-05	NA	0.149	NA	0.1387	NA	4	NA	NA	NA	NA	NA	NA	0.0458	NA	NA	7H	NA	2	4	12	4PMI
225	NA	2019-12-05	NA	0.0289	NA	0.0103	NA	2	NA	NA	NA	NA	NA	NA	0.0988	NA	NA	13L	NA	2	5	12	4PMI
226	NA	2019-12-05	NA	0.1671	NA	0.099	NA	4	NA	NA	NA	NA	NA	NA	0.0705	NA	NA	2L	NA	2	6	12	4PMI
227	NA	2019-12-05	NA	0.2349	NA	0.2199	NA	4	NA	NA	NA	NA	NA	NA	0.0369	NA	NA	2H	NA	2	7	12	4PMI
228	NA	2019-12-05	NA	0.1444	NA	0.1223	NA	4	NA	NA	NA	NA	NA	NA	0.0159	NA	NA	4H	NA	2	8	12	4PMI
229	NA	2019-12-05	NA	0.3435	NA	0.2531	NA	5	NA	NA	NA	NA	NA	NA	0.0237	NA	NA	23T	NA	2	9	12	4PMI
230	NA	2019-12-05	NA	0.3589	NA	0.2364	NA	5	NA	NA	NA	NA	NA	NA	0.0191	NA	NA	10H	NA	2	10	12	4PMI
231	NA	2019-12-05	NA	0.1953	NA	0.1137	NA	5	NA	NA	NA	NA	NA	NA	0.0186	NA	NA	20T	NA	2	11	12	4PMI
232	NA	2019-12-05	NA	0.2001	NA	0.1497	NA	5	NA	NA	NA	NA	NA	NA	0.0349	NA	NA	15L	NA	7	12	12	4PMI
233	NA	2019-12-05	NA	0.1739	NA	0.1338	NA	5	NA	NA	NA	NA	NA	NA	0.0427	NA	NA	6L	NA	7	13	12	4PMI
234	NA	2019-12-05	NA	0.2694	NA	0.2174	NA	4	NA	NA	NA	NA	NA	NA	0.0568	NA	NA	14H	NA	7	14	12	4PMI
235	NA	2019-12-05	NA	0.4368	NA	0.2962	NA	5	NA	NA	NA	NA	NA	NA	0.0278	NA	NA	6H	NA	7	15	12	4PMI
236	NA	2019-12-05	NA	0.2271	NA	0.1879	NA	5	NA	NA	NA	NA	NA	NA	0.0706	NA	NA	3L	NA	7	16	12	4PMI
237	NA	2019-12-05	NA	0.0612	NA	0.0189	NA	4	NA	NA	NA	NA	NA	NA	0.0188	NA	NA	14L	NA	7	17	12	4PMI
238	NA	2019-12-05	NA	0.4669	NA	0.3091	NA	5	NA	NA	NA	NA	NA	NA	0.0675	NA	NA	5H	NA	7	18	12	4PMI
239	NA	2019-12-05	NA	0.305	NA	0.2064	NA	4	NA	NA	NA	NA	NA	NA	0.0439	NA	NA	9H	NA	7	19	12	4PMI
240	NA	2019-12-05	NA	0.2781	NA	0.1963	NA	4	NA	NA	NA	NA	NA	NA	0.0592	NA	NA	9L	NA	7	20	12	4PMI
241	NA	2019-12-05	NA	0.2201	NA	0.1772	NA	4	NA	NA	NA	NA	NA	NA	0.0221	NA	NA	1L	NA	7	21	12	4PMI
242	NA	2019-12-05	NA	0.2942	NA	0.1859	NA	4	NA	NA	NA	NA	NA	NA	0.0149	NA	NA	11H	NA	7	22	12	4PMI
243	NA	2019-12-05	NA	0.1308	NA	0.0935	NA	4	NA	NA	NA	NA	NA	NA	0.0362	NA	NA	3H	NA	2	1	11	4PMI
244	NA	2019-12-05	NA	0.1224	NA	0.0769	NA	4	NA	NA	NA	NA	NA	NA	0.0636	NA	NA	12L	NA	2	2	11	4PMI
245	NA	2019-12-05	NA	0.078	NA	0.0529	NA	4	NA	NA	NA	NA	NA	NA	0.09	NA	NA	5L	NA	2	3	11	4PMI
246	NA	2019-12-05	NA	0.0827	NA	0.0581	NA	4	NA	NA	NA	NA	NA	NA	0.1058	NA	NA	7L	NA	2	4	11	4PMI
247	NA	2019-12-05	NA	0.2903	NA	0.2601	NA	4	NA	NA	NA	NA	NA	NA	0.0465	NA	NA	6H	NA	2	5	11	4PMI
248	NA	2019-12-05	NA	0.0129	NA	0.0096	NA	1	NA	NA	NA	NA	NA	NA	0.032	NA	NA	14L	NA	2	6	11	4PMI
249	NA	2019-12-05	NA	0.1604	NA	0.1594	NA	4	NA	NA	NA	NA	NA	NA	0.0667	NA	NA	6L	NA	2	7	11	4PMI
250	NA	2019-12-05	NA	0.4266	NA	0.3566	NA	5	NA	NA	NA	NA	NA	NA	0.0394	NA	NA	8H	NA	2	8	11	4PMI
251	NA	2019-12-05	NA	0.2727	NA	0.2285	NA	4	NA	NA	NA	NA	NA	NA	0.0425	NA	NA	9H	NA	2	9	11	4PMI
252	NA	2019-12-05	NA	0.4263	NA	0.3319	NA	5	NA	NA	NA	NA	NA	NA	0.0243	NA	NA	11H	NA	2	10	11	4PMI
253	NA	2019-12-05	NA	0.1364	NA	0.1266	NA	4	NA	NA	NA	NA	NA	NA	0.0261	NA	NA	1L	NA	2	11	11	4PMI
254	NA	2019-12-05	NA	0.1509	NA	0.1514	NA	4	NA	NA	NA	NA	NA	NA	0.0461	NA	NA	11L	NA	7	12	11	4PMI
255	NA	2019-12-05	NA	0.2171	NA	0.1279	NA	4	NA	NA	NA	NA	NA	NA	0.031	NA	NA	10L	NA	7	13	11	4PMI
256	NA	2019-12-05	NA	0.2266	NA	0.1483	NA	5	NA	NA	NA	NA	NA	NA	0.0399	NA	NA	4L	NA	7	14	11	4PMI
257	NA	2019-12-05	NA	0.3	NA	0.2212	NA	5	NA	NA	NA	NA	NA	NA	0.0324	NA	NA	1H	NA	7	15	11	4PMI
258	NA	2019-12-05	NA	0.2989	NA	0.2358	NA	4	NA	NA	NA	NA	NA	NA	0.026	NA	NA	12H	NA	7	16	11	4PMI
259	NA	2019-12-05	NA	0.0983	NA	0.0709	NA	4	NA	NA	NA	NA	NA	NA	0.0516	NA	NA	13L	NA	7	17	11	4PMI
260	NA	2019-12-05	NA	0.1829	NA	0.1424	NA	5	NA	NA	NA	NA	NA	NA	0.0673	NA	NA	8L	NA	7	18	11	4PMI
