Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
1	7L	NA	5	1	22	4PMI
2	8H	NA	5	2	22	4PMI
3	15H	NA	5	3	22	4PMI
4	14H	NA	5	4	22	4PMI
5	8L	NA	5	5	22	4PMI
6	13H	NA	5	6	22	4PMI
7	11H	NA	5	7	22	4PMI
8	24T	NA	5	8	22	4PMI
9	5H	NA	5	9	22	4PMI
10	9L	NA	5	10	22	4PMI
11	7H	NA	5	11	22	4PMI
12	2L	NA	10	12	22	4PMI
13	9H	NA	10	13	22	4PMI
14	5L	NA	10	14	22	4PMI
15	4H	NA	10	15	22	4PMI
16	10L	NA	10	16	22	4PMI
17	3L	NA	10	17	22	4PMI
18	2H	NA	10	18	22	4PMI
19	12L	NA	10	19	22	4PMI
20	11L	NA	10	20	22	4PMI
21	15L	NA	10	21	22	4PMI
22	23T	NA	10	22	22	4PMI
23	20T	NA	5	1	21	4PMI
24	6L	NA	5	2	21	4PMI
25	4L	NA	5	3	21	4PMI
26	11L	NA	5	4	21	4PMI
27	9H	NA	5	5	21	4PMI
28	10L	NA	5	6	21	4PMI
29	23T	NA	5	7	21	4PMI
30	2H	NA	5	8	21	4PMI
31	1L	NA	5	9	21	4PMI
32	6H	NA	5	10	21	4PMI
33	1H	NA	5	11	21	4PMI
34	12H	NA	10	12	21	4PMI
35	14L	NA	10	13	21	4PMI
36	13H	NA	10	14	21	4PMI
37	7H	NA	10	15	21	4PMI
38	10H	NA	10	16	21	4PMI
39	7L	NA	10	17	21	4PMI
40	3H	NA	10	18	21	4PMI
41	8H	NA	10	19	21	4PMI
42	8L	NA	10	20	21	4PMI
43	14H	NA	10	21	21	4PMI
44	13L	NA	10	22	21	4PMI
45	4H	NA	5	1	20	4PMI
46	14L	NA	5	2	20	4PMI
47	15L	NA	5	3	20	4PMI
48	12H	NA	5	4	20	4PMI
49	3L	NA	5	5	20	4PMI
50	3H	NA	5	6	20	4PMI
51	12L	NA	5	7	20	4PMI
52	13L	NA	5	8	20	4PMI
53	5L	NA	5	9	20	4PMI
54	2L	NA	5	10	20	4PMI
55	10H	NA	5	11	20	4PMI
56	6L	NA	10	12	20	4PMI
57	6H	NA	10	13	20	4PMI
58	11H	NA	10	14	20	4PMI
59	15H	NA	10	15	20	4PMI
60	9L	NA	10	16	20	4PMI
61	4L	NA	10	17	20	4PMI
62	1L	NA	10	18	20	4PMI
63	5H	NA	10	19	20	4PMI
64	20T	NA	10	20	20	4PMI
65	1H	NA	10	21	20	4PMI
66	24T	NA	10	22	20	4PMI
67	11L	NA	4	1	19	4PMI
68	8L	NA	4	2	19	4PMI
69	10L	NA	4	3	19	4PMI
70	5H	NA	4	4	19	4PMI
71	10H	NA	4	5	19	4PMI
72	15H	NA	4	6	19	4PMI
73	15L	NA	4	7	19	4PMI
74	20T	NA	4	8	19	4PMI
75	14H	NA	4	9	19	4PMI
76	2H	NA	4	10	19	4PMI
77	4H	NA	4	11	19	4PMI
78	23T	NA	9	12	19	4PMI
79	7L	NA	9	13	19	4PMI
80	1L	NA	9	14	19	4PMI
81	3L	NA	9	15	19	4PMI
82	14L	NA	9	16	19	4PMI
83	5L	NA	9	17	19	4PMI
84	7H	NA	9	18	19	4PMI
85	13L	NA	9	19	19	4PMI
86	6L	NA	9	20	19	4PMI
87	9H	NA	9	21	19	4PMI
88	2L	NA	9	22	19	4PMI
89	8H	NA	4	1	18	4PMI
90	7L	NA	4	2	18	4PMI
91	11H	NA	4	3	18	4PMI
92	2L	NA	4	4	18	4PMI
93	4L	NA	4	5	18	4PMI
94	5L	NA	4	6	18	4PMI
95	9L	NA	4	7	18	4PMI
96	6H	NA	4	8	18	4PMI
97	12L	NA	4	9	18	4PMI
98	1H	NA	4	10	18	4PMI
99	13H	NA	4	11	18	4PMI
100	14H	NA	9	12	18	4PMI
101	24T	NA	9	13	18	4PMI
102	12H	NA	9	14	18	4PMI
103	20T	NA	9	15	18	4PMI
104	3H	NA	9	16	18	4PMI
105	10H	NA	9	17	18	4PMI
106	10L	NA	9	18	18	4PMI
107	11L	NA	9	19	18	4PMI
108	15L	NA	9	20	18	4PMI
109	5H	NA	9	21	18	4PMI
110	4H	NA	9	22	18	4PMI
111	13L	NA	4	1	17	4PMI
112	23T	NA	4	2	17	4PMI
113	6L	NA	4	3	17	4PMI
114	9H	NA	4	4	17	4PMI
115	24T	NA	4	5	17	4PMI
116	3L	NA	4	6	17	4PMI
117	12H	NA	4	7	17	4PMI
118	3H	NA	4	8	17	4PMI
119	7H	NA	4	9	17	4PMI
120	1L	NA	4	10	17	4PMI
121	14L	NA	4	11	17	4PMI
122	2H	NA	9	12	17	4PMI
123	9L	NA	9	13	17	4PMI
124	12L	NA	9	14	17	4PMI
125	11H	NA	9	15	17	4PMI
126	8L	NA	9	16	17	4PMI
127	6H	NA	9	17	17	4PMI
128	4L	NA	9	18	17	4PMI
129	1H	NA	9	19	17	4PMI
130	8H	NA	9	20	17	4PMI
131	13H	NA	9	21	17	4PMI
132	15H	NA	9	22	17	4PMI
133	9L	NA	3	1	16	4PMI
134	7H	NA	3	2	16	4PMI
135	3L	NA	3	3	16	4PMI
136	15H	NA	3	4	16	4PMI
