Unit.ID	Timestamp	Date	Time	S_Height_cm	S_Height_pixel	S_Area_cmsquared	S_Area_pixel	S_Perimeter_cm	S_Perimeter_pixel	S_Convex_hull_area_cmsquared	S_Solidity	S_Compactness	S_Width_cm	S_Width_pixel	S_Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
1	2020-02-17 22:03:25	2020-02-17	22:03:25	0.331196581196581	77.5	0.0121947012464103	699	0.774965649237152	185.539105243401	NA	NA	0.822822822822823	0.11430569752	28	NA	EPPN1_L	S2	1	1	1	SPPU
2	2020-02-17 22:06:08	2020-02-17	22:06:08	0.583333333333333	136.5	0.0210572309076068	1207	0.916804049208498	219.497474683058	NA	NA	0.885297184567258	0.13063508288	32	NA	EPPN_T	S2	1	1	2	SPPU
3	2020-02-17 22:17:46	2020-02-17	22:17:46	0.626068376068376	146.5	0.0364619822675214	2090	1.47111424001171	352.208152801714	NA	NA	0.785625	0.18778793164	46	NA	EPPN2_H	S2	1	1	3	SPPU
4	2020-02-17 22:27:03	2020-02-17	22:27:03	0.211538461538462	49.5	0.0057571550948718	330	0.543090002830469	130.024386617639	NA	NA	0.884718498659517	0.12655273654	31	NA	EPPN3_H	S2	1	1	4	SPPU
5	2020-02-17 22:38:22	2020-02-17	22:38:22	0.0106837606837607	2.5	0.000767620679316239	44	0.136699028138518	32.7279220613579	NA	NA	0.704545454545455	0.1632938536	40	NA	EPPN4_H	S2	1	1	5	SPPU
6	2020-02-17 22:48:56	2020-02-17	22:48:56	0.0576923076923077	13.5	0.00162247098128205	93	0.181927547732473	43.556349186104	NA	NA	0.964912280701754	0.03265877072	8	NA	EPPN3_L	S2	1	1	6	SPPU
7	2020-02-17 23:01:39	2020-02-17	23:01:39	0.329059829059829	77	0.00889742151025641	510	0.724843666711441	173.539105243401	NA	NA	0.847176079734219	0.11838804386	29	NA	EPPN4_L	S2	1	1	7	SPPU
8	2020-02-17 23:11:04	2020-02-17	23:11:04	0.72008547008547	168.5	0.0258025223797436	1479	1.10708526069526	265.053823869163	NA	NA	0.784452296819788	0.15104681458	37	NA	EPPN2_L	S2	1	1	8	SPPU
9	2020-02-17 23:21:52	2020-02-17	23:21:52	0.643162393162393	150.5	0.0125436197370085	719	0.873182675575271	209.053823869163	NA	NA	0.858866103739445	0.1020586585	25	NA	EPPN1_H	S2	1	1	9	SPPU
10	2020-02-17 23:31:02	2020-02-17	23:31:02	0.371794871794872	87	0.0141660907182906	812	0.843821897984737	202.02438661764	NA	NA	0.891328210757409	0.13063508288	32	NA	EPPN3_H	S1	1	1	10	SPPU
11	2020-02-17 23:41:32	2020-02-17	23:41:32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S1	1	1	11	SPPU
12	2020-02-17 23:49:59	2020-02-17	23:49:59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	S1	1	1	12	SPPU
13	2020-02-17 23:58:20	2020-02-17	23:58:20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	S1	1	1	13	SPPU
14	2020-02-18 00:07:39	2020-02-18	00:07:39	0.264957264957265	62	0.00778088234034188	446	0.70813633920287	169.539105243401	NA	NA	0.872832369942196	0.19187027798	47	NA	EPPN2_L	S1	1	1	14	SPPU
15	2020-02-18 00:18:12	2020-02-18	00:18:12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	S1	1	1	15	SPPU
16	2020-02-18 00:24:28	2020-02-18	00:24:28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S1	1	1	16	SPPU
17	2020-02-18 00:34:08	2020-02-18	00:34:08	0.341880341880342	80	0.0116015398123932	665	0.760950962095532	182.183766184074	NA	NA	0.880354505169867	0.06531754144	16	NA	EPPN2_H	S1	1	1	17	SPPU
18	2020-02-18 00:43:34	2020-02-18	00:43:34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S1	1	1	18	SPPU
19	2020-02-18 00:50:14	2020-02-18	00:50:14	0.378205128205128	88.5	0.0366538874373504	2101	1.16936887550079	279.965512114594	NA	NA	0.876861397479954	0.17962323896	44	NA	EPPN1_L	S1	2	2	1	SPPU
