Unit.ID	Timestamp	Time	Date	T_Area_cm_squared	T_Area_pixel	T_Perimeter_cm	T_Perimeter_pixel	T_Convex_hull_area_cmsquared	T_Solidity	T_Compactness	T_Roundness	T_Roundness2	T_Isotropy	T_Eccentricity	T_Rms	T_Sol	Genotype	Soil	Replication	Row	Column	Platform
2	2020-02-17 22:04:55	22:04:55	2020-02-17	0.0117817447667752	1400	0.440311807161249	151.78174593052	NA	NA	0.99361249112846	0.763657834058904	0.853322451481034	0	1.06230590062112	0.916944150513114	2.86526743398781	EPPN_T	S2	1	1	2	SPPU
4	2020-02-17 22:26:10	22:26:10	2020-02-17	0.00612193545076981	688	0.476625546573898	159.78174593052	NA	NA	0.856661045531197	0.33864446178163	0.516795031159632	0	1.94244301905592	0.979827106203171	4.37689983519502	EPPN3_H	S2	1	1	4	SPPU
6	2020-02-17 22:47:36	22:47:36	2020-02-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S2	1	1	6	SPPU
8	2020-02-17 23:09:45	23:09:45	2020-02-17	0.00901383809829915	1013	0.488557461419319	163.78174593052	NA	NA	0.892452830188679	0.4970396351691	0.641293761255463	0	1.23601203083962	0.957669529904456	2.73421524410987	EPPN2_L	S2	1	1	8	SPPU
10	2020-02-17 23:29:53	23:29:53	2020-02-17	0.000866799793555603	103	0.106254438378955	36.6274169979695	NA	NA	1.00980392156863	1.03499621558774	1.06877470459638	NA	0.383455882352941	0.697654484105724	0.14495514317316	EPPN3_H	S1	1	1	10	SPPU
12	2020-02-17 23:48:49	23:48:49	2020-02-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	S1	1	1	12	SPPU
14	2020-02-18 00:06:29	00:06:29	2020-02-18	0.00313899342714796	373	0.317938657429005	109.597979746447	NA	NA	0.916461916461916	0.652114323263857	0.915584583556864	NA	1.37652296157451	0.882738098745612	2.88600018813791	EPPN2_L	S1	1	1	14	SPPU
16	2020-02-18 00:23:18	00:23:18	2020-02-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN_T	S1	1	1	16	SPPU
18	2020-02-18 00:42:15	00:42:15	2020-02-18	0.00197765001442298	235	0.184786350875755	63.698484809835	NA	NA	0.936254980079681	0.727812520463271	0.987438432462534	NA	0.455379353233831	0.360499413334884	1.04005550416281	EPPN3_L	S1	1	1	18	SPPU
20	2020-02-18 01:00:30	01:00:30	2020-02-18	0.0194567099291316	2312	0.901967227980688	316.894444302729	NA	NA	0.930756843800322	0.587123921345569	0.722218293475843	0.252687607329888	1.27896637224016	0.928167966966658	5.32274550919584	EPPN2_L	S1	2	2	2	SPPU
22	2020-02-18 01:19:51	01:19:51	2020-02-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	S1	2	2	4	SPPU
24	2020-02-18 01:39:14	01:39:14	2020-02-18	0.0452649500553285	5087	1.13000700150257	378.81832585698	NA	NA	0.760843553694287	0.445460951921781	0.857957476211864	0.310136574458747	1.10119445918859	0.90751240039539	8.61597211540346	EPPN4_H	S1	2	2	6	SPPU
26	2020-02-18 02:00:15	02:00:15	2020-02-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	S1	2	2	8	SPPU
28	2020-02-18 02:22:45	02:22:45	2020-02-18	0.0512623112382048	5761	0.999479730207127	335.0609665441	NA	NA	0.951287978863937	0.644852021073818	0.784240509786496	0	0.658766968791419	0.896100771636737	1.43712903972886	EPPN2_H	S2	2	2	10	SPPU
30	2020-02-18 02:43:59	02:43:59	2020-02-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	S2	2	2	12	SPPU
