Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
1	EPPN1_L	S2	1	1	1	SPPU
2	EPPN_T	S2	1	1	2	SPPU
3	EPPN2_H	S2	1	1	3	SPPU
4	EPPN3_H	S2	1	1	4	SPPU
5	EPPN4_H	S2	1	1	5	SPPU
6	EPPN3_L	S2	1	1	6	SPPU
7	EPPN4_L	S2	1	1	7	SPPU
8	EPPN2_L	S2	1	1	8	SPPU
9	EPPN1_H	S2	1	1	9	SPPU
10	EPPN3_H	S1	1	1	10	SPPU
11	EPPN1_L	S1	1	1	11	SPPU
12	EPPN1_H	S1	1	1	12	SPPU
13	EPPN4_H	S1	1	1	13	SPPU
14	EPPN2_L	S1	1	1	14	SPPU
15	EPPN4_L	S1	1	1	15	SPPU
16	EPPN_T	S1	1	1	16	SPPU
17	EPPN2_H	S1	1	1	17	SPPU
18	EPPN3_L	S1	1	1	18	SPPU
19	EPPN1_L	S1	2	2	1	SPPU
20	EPPN2_L	S1	2	2	2	SPPU
21	EPPN_T	S1	2	2	3	SPPU
22	EPPN1_H	S1	2	2	4	SPPU
23	EPPN2_H	S1	2	2	5	SPPU
24	EPPN4_H	S1	2	2	6	SPPU
25	EPPN3_H	S1	2	2	7	SPPU
26	EPPN3_L	S1	2	2	8	SPPU
27	EPPN4_L	S1	2	2	9	SPPU
28	EPPN2_H	S2	2	2	10	SPPU
29	EPPN4_L	S2	2	2	11	SPPU
30	EPPN1_L	S2	2	2	12	SPPU
31	EPPN1_H	S2	2	2	13	SPPU
32	EPPN_T	S2	2	2	14	SPPU
33	EPPN2_L	S2	2	2	15	SPPU
34	EPPN4_H	S2	2	2	16	SPPU
35	EPPN3_L	S2	2	2	17	SPPU
36	EPPN3_H	S2	2	2	18	SPPU
37	EPPN_T	S2	3	3	1	SPPU
38	EPPN4_L	S2	3	3	2	SPPU
39	EPPN3_H	S2	3	3	3	SPPU
40	EPPN1_H	S2	3	3	4	SPPU
41	EPPN3_L	S2	3	3	5	SPPU
42	EPPN2_L	S2	3	3	6	SPPU
43	EPPN1_L	S2	3	3	7	SPPU
44	EPPN4_H	S2	3	3	8	SPPU
45	EPPN2_H	S2	3	3	9	SPPU
46	EPPN1_L	S1	3	3	10	SPPU
47	EPPN3_L	S1	3	3	11	SPPU
48	EPPN4_H	S1	3	3	12	SPPU
49	EPPN2_L	S1	3	3	13	SPPU
50	EPPN3_H	S1	3	3	14	SPPU
51	EPPN1_H	S1	3	3	15	SPPU
52	EPPN4_L	S1	3	3	16	SPPU
53	EPPN_T	S1	3	3	17	SPPU
54	EPPN2_H	S1	3	3	18	SPPU
55	EPPN4_H	S1	4	4	1	SPPU
56	EPPN_T	S1	4	4	2	SPPU
57	EPPN1_L	S1	4	4	3	SPPU
58	EPPN2_H	S1	4	4	4	SPPU
59	EPPN4_L	S1	4	4	5	SPPU
60	EPPN3_H	S1	4	4	6	SPPU
61	EPPN3_L	S1	4	4	7	SPPU
62	EPPN2_L	S1	4	4	8	SPPU
63	EPPN1_H	S1	NA	4	9 rep	SPPU
64	EPPN4_H	S2	4	4	10	SPPU
65	EPPN1_H	S2	4	4	11	SPPU
66	EPPN4_L	S2	4	4	12	SPPU
67	EPPN1_L	S2	4	4	13	SPPU
68	EPPN3_L	S2	4	4	14	SPPU
69	EPPN_T	S2	4	4	15	SPPU
70	EPPN3_H	S2	4	4	16	SPPU
71	EPPN2_L	S2	4	4	17	SPPU
72	EPPN2_H	S2	4	4	18	SPPU
73	EPPN_T	S1	5	5	1	SPPU
74	EPPN4_H	S1	5	5	2	SPPU
75	EPPN2_H	S1	5	5	3	SPPU
76	EPPN3_H	S1	5	5	4	SPPU
77	EPPN1_L	S1	5	5	5	SPPU
78	EPPN4_L	S1	5	5	6	SPPU
79	EPPN2_L	S1	5	5	7	SPPU
80	EPPN1_H	S1	5	5	8	SPPU
81	EPPN3_L	S1	5	5	9	SPPU
82	EPPN4_L	S2	5	5	10	SPPU
83	EPPN4_H	S2	5	5	11	SPPU
84	EPPN1_H	S2	5	5	12	SPPU
85	EPPN3_L	S2	5	5	13	SPPU
86	EPPN_T	S2	5	5	14	SPPU
87	EPPN3_H	S2	5	5	15	SPPU
88	EPPN2_L	S2	5	5	16	SPPU
89	EPPN2_H	S2	5	5	17	SPPU
90	EPPN1_L	S2	5	5	18	SPPU
91	EPPN1_H	S2	6	6	1	SPPU
92	EPPN2_H	S2	6	6	2	SPPU
93	EPPN_T	S2	6	6	3	SPPU
94	EPPN4_H	S2	6	6	4	SPPU
95	EPPN3_H	S2	6	6	5	SPPU
96	EPPN1_L	S2	6	6	6	SPPU
97	EPPN2_L	S2	6	6	7	SPPU
98	EPPN4_L	S2	6	6	8	SPPU
99	EPPN3_L	S2	6	6	9	SPPU
100	EPPN1_H	S1	6	6	10	SPPU
101	EPPN4_H	S1	6	6	11	SPPU
102	EPPN1_L	S1	6	6	12	SPPU
103	EPPN3_H	S1	6	6	13	SPPU
104	EPPN4_L	S1	6	6	14	SPPU
105	EPPN2_L	S1	6	6	15	SPPU
106	EPPN2_H	S1	6	6	16	SPPU
107	EPPN3_L	S1	6	6	17	SPPU
108	EPPN_T	S1	6	6	18	SPPU
