Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
1	NA	2020-12-23	NA	0.3837	5.47	0.1703	3.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN14_H	NA	NA	1	1	UCL
2	NA	2020-12-23	NA	0.3246	4.78	0.1279	3.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	NA	2	1	UCL
3	NA	2020-12-23	NA	0.2416	3.53	0.104	2.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN12_H	NA	NA	3	1	UCL
5	NA	2020-12-23	NA	0.5105	7.63	0.1912	4.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN10_H	NA	NA	5	1	UCL
6	NA	2020-12-23	NA	0.2566	3.57	0.0624	1.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Local	NA	NA	6	1	UCL
7	NA	2020-12-23	NA	0.3246	4.91	0.1696	3.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN6_H	NA	NA	7	1	UCL
8	NA	2020-12-23	NA	0.1774	2.38	0.0692	1.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN15_L	NA	NA	8	1	UCL
9	NA	2020-12-23	NA	0.455	6.61	0.2316	5.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN13_H	NA	NA	9	1	UCL
10	NA	2020-12-23	NA	0.1706	2.55	0.0631	1.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN9_L	NA	NA	10	1	UCL
12	NA	2020-12-23	NA	0.1671	2.42	0.0849	1.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	NA	12	1	UCL
13	NA	2020-12-23	NA	0.2503	3.74	0.1157	3.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	NA	13	1	UCL
14	NA	2020-12-23	NA	0.3388	5.23	0.1409	2.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	NA	14	1	UCL
15	NA	2020-12-23	NA	0.2731	3.72	0.0865	1.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	NA	15	1	UCL
16	NA	2020-12-23	NA	0.1676	2.26	0.0609	1.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN11_H	NA	NA	16	1	UCL
17	NA	2020-12-23	NA	0.0842	1.04	0.0119	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN14_L	NA	NA	17	1	UCL
19	NA	2020-12-23	NA	0.2658	3.83	0.1294	3.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN5_H	NA	NA	19	1	UCL
20	NA	2020-12-23	NA	0.2862	4.2	0.1456	3.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	NA	20	1	UCL
