Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
1	EPPN14_H	NA	NA	1	1	UCL
2	EPPN3_L	NA	NA	2	1	UCL
3	EPPN12_H	NA	NA	3	1	UCL
4	EPPN12_L	NA	NA	4	1	UCL
5	EPPN10_H	NA	NA	5	1	UCL
6	Local	NA	NA	6	1	UCL
7	EPPN6_H	NA	NA	7	1	UCL
8	EPPN15_L	NA	NA	8	1	UCL
9	EPPN13_H	NA	NA	9	1	UCL
10	EPPN9_L	NA	NA	10	1	UCL
11	EPPN7_H	NA	NA	11	1	UCL
12	EPPN20_T	NA	NA	12	1	UCL
13	EPPN4_H	NA	NA	13	1	UCL
14	EPPN1_H	NA	NA	14	1	UCL
15	EPPN1_L	NA	NA	15	1	UCL
16	EPPN11_H	NA	NA	16	1	UCL
17	EPPN14_L	NA	NA	17	1	UCL
18	EPPN3_H	NA	NA	18	1	UCL
19	EPPN5_H	NA	NA	19	1	UCL
20	EPPN2_H	NA	NA	20	1	UCL
21	EPPN15_H	NA	NA	21	1	UCL
22	EPPN6_L	NA	NA	22	1	UCL
23	EPPN10_L	NA	NA	23	1	UCL
24	EPPN8_H	NA	NA	24	1	UCL
25	EPPN4_L	NA	NA	25	1	UCL
26	EPPN9_H	NA	NA	26	1	UCL
27	EPPN5_L	NA	NA	27	1	UCL
28	EPPN11_L	NA	NA	28	1	UCL
29	EPPN7_L	NA	NA	29	1	UCL
30	EPPN8_L	NA	NA	30	1	UCL
31	EPPN13_L	NA	NA	31	1	UCL
32	EPPN2_L	NA	NA	32	1	UCL
33	Local	NA	NA	33	1	UCL
34	EPPN10_H	NA	NA	34	1	UCL
35	EPPN6_L	NA	NA	35	1	UCL
36	EPPN11_H	NA	NA	36	1	UCL
37	EPPN7_H	NA	NA	37	1	UCL
38	EPPN11_L	NA	NA	38	1	UCL
39	EPPN3_H	NA	NA	39	1	UCL
40	EPPN8_L	NA	NA	40	1	UCL
41	EPPN15_H	NA	NA	41	1	UCL
42	EPPN2_H	NA	NA	42	1	UCL
43	EPPN3_L	NA	NA	43	1	UCL
44	EPPN12_L	NA	NA	44	1	UCL
45	EPPN1_H	NA	NA	45	1	UCL
46	EPPN9_L	NA	NA	46	1	UCL
47	EPPN7_L	NA	NA	47	1	UCL
48	EPPN14_L	NA	NA	48	1	UCL
49	EPPN2_L	NA	NA	49	1	UCL
50	EPPN12_H	NA	NA	50	1	UCL
51	EPPN5_L	NA	NA	51	1	UCL
52	EPPN14_H	NA	NA	52	1	UCL
53	EPPN4_L	NA	NA	53	1	UCL
54	EPPN5_H	NA	NA	54	1	UCL
55	EPPN8_H	NA	NA	55	1	UCL
56	EPPN15_L	NA	NA	56	1	UCL
57	Local	NA	NA	57	1	UCL
58	EPPN10_L	NA	NA	58	1	UCL
59	EPPN6_H	NA	NA	59	1	UCL
60	EPPN9_H	NA	NA	60	1	UCL
61	EPPN13_H	NA	NA	61	1	UCL
62	Local	NA	NA	62	1	UCL
63	EPPN20_T	NA	NA	63	1	UCL
64	EPPN4_H	NA	NA	64	1	UCL
65	EPPN1_L	NA	NA	65	1	UCL
66	EPPN13_L	NA	NA	66	1	UCL
67	EPPN15_H	NA	NA	67	1	UCL
68	EPPN15_L	NA	NA	68	1	UCL
69	EPPN14_L	NA	NA	69	1	UCL
70	EPPN7_L	NA	NA	70	1	UCL
71	EPPN5_L	NA	NA	71	1	UCL
72	EPPN4_L	NA	NA	72	1	UCL
73	Local	NA	NA	73	1	UCL
74	EPPN7_H	NA	NA	74	1	UCL
75	EPPN13_L	NA	NA	75	1	UCL
76	EPPN6_H	NA	NA	76	1	UCL
77	EPPN10_H	NA	NA	77	1	UCL
78	EPPN9_H	NA	NA	78	1	UCL
79	EPPN14_H	NA	NA	79	1	UCL
80	EPPN12_L	NA	NA	80	1	UCL
81	EPPN1_H	NA	NA	81	1	UCL
82	EPPN10_L	NA	NA	82	1	UCL
83	EPPN12_H	NA	NA	83	1	UCL
84	EPPN9_L	NA	NA	84	1	UCL
85	EPPN11_H	NA	NA	85	1	UCL
86	EPPN3_H	NA	NA	86	1	UCL
87	EPPN8_H	NA	NA	87	1	UCL
88	EPPN8_L	NA	NA	88	1	UCL
89	EPPN4_H	NA	NA	89	1	UCL
