Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
1	EPPN2_H	S2	1	1	1	UCPH
2	EPPN_T	S1	1	2	1	UCPH
3	EPPN1_H	S2	2	3	1	UCPH
4	EPPN2_H	S1	2	4	1	UCPH
5	EPPN1_L	S2	3	5	1	UCPH
6	EPPN3_L	S1	3	6	1	UCPH
7	EPPN4_H	S1	4	7	1	UCPH
8	EPPN2_L	S2	4	8	1	UCPH
9	EPPN2_L	S1	5	9	1	UCPH
10	EPPN3_H	S2	5	10	1	UCPH
11	EPPN3_L	S2	6	11	1	UCPH
12	EPPN4_L	S1	6	12	1	UCPH
13	EPPN3_H	S2	1	1	2	UCPH
14	EPPN3_L	S1	1	2	2	UCPH
15	EPPN4_H	S2	2	3	2	UCPH
16	EPPN2_L	S1	2	4	2	UCPH
17	EPPN4_L	S2	3	5	2	UCPH
18	EPPN4_L	S1	3	6	2	UCPH
19	EPPN1_L	S1	4	7	2	UCPH
20	EPPN_T	S2	4	8	2	UCPH
21	EPPN4_H	S1	5	9	2	UCPH
22	EPPN1_L	S2	5	10	2	UCPH
23	EPPN1_H	S2	6	11	2	UCPH
24	EPPN2_H	S1	6	12	2	UCPH
25	EPPN_T	S2	1	1	3	UCPH
26	EPPN2_H	S1	1	2	3	UCPH
27	EPPN3_L	S2	2	3	3	UCPH
28	EPPN4_L	S1	2	4	3	UCPH
29	EPPN1_H	S2	3	5	3	UCPH
30	EPPN2_L	S1	3	6	3	UCPH
31	EPPN3_H	S1	4	7	3	UCPH
32	EPPN1_L	S2	4	8	3	UCPH
33	EPPN_T	S1	5	9	3	UCPH
34	EPPN4_H	S2	5	10	3	UCPH
35	EPPN2_H	S2	6	11	3	UCPH
36	EPPN1_H	S1	6	12	3	UCPH
37	EPPN4_L	S2	1	1	4	UCPH
38	EPPN2_L	S1	1	2	4	UCPH
39	EPPN1_L	S2	2	3	4	UCPH
40	EPPN_T	S1	2	4	4	UCPH
41	EPPN2_H	S2	3	5	4	UCPH
42	EPPN1_H	S1	3	6	4	UCPH
43	EPPN3_L	S1	4	7	4	UCPH
44	EPPN3_H	S2	4	8	4	UCPH
45	EPPN3_H	S1	5	9	4	UCPH
46	EPPN1_H	S2	5	10	4	UCPH
47	EPPN_T	S2	6	11	4	UCPH
48	EPPN4_H	S1	6	12	4	UCPH
49	EPPN3_L	S2	1	1	5	UCPH
50	EPPN4_L	S1	1	2	5	UCPH
51	EPPN4_L	S2	2	3	5	UCPH
52	EPPN4_H	S1	2	4	5	UCPH
53	EPPN4_H	S2	3	5	5	UCPH
54	EPPN1_L	S1	3	6	5	UCPH
55	EPPN_T	S1	4	7	5	UCPH
56	EPPN2_H	S2	4	8	5	UCPH
57	EPPN1_H	S1	5	9	5	UCPH
58	EPPN2_L	S2	5	10	5	UCPH
59	EPPN3_H	S2	6	11	5	UCPH
60	EPPN2_L	S1	6	12	5	UCPH
61	EPPN2_L	S2	1	1	6	UCPH
62	EPPN4_H	S1	1	2	6	UCPH
63	EPPN2_H	S2	2	3	6	UCPH
64	EPPN1_H	S1	2	4	6	UCPH
65	EPPN3_L	S2	3	5	6	UCPH
66	EPPN3_H	S1	3	6	6	UCPH
67	EPPN4_L	S1	4	7	6	UCPH
68	EPPN4_H	S2	4	8	6	UCPH
69	EPPN1_L	S1	5	9	6	UCPH
70	EPPN_T	S2	5	10	6	UCPH
71	EPPN1_L	S2	6	11	6	UCPH
72	EPPN3_L	S1	6	12	6	UCPH
73	EPPN1_H	S2	1	1	7	UCPH
74	EPPN1_H	S1	1	2	7	UCPH
75	EPPN_T	S2	2	3	7	UCPH
76	EPPN1_L	S1	2	4	7	UCPH
77	EPPN3_H	S2	3	5	7	UCPH
78	EPPN4_H	S1	3	6	7	UCPH
79	EPPN2_H	S1	4	7	7	UCPH
80	EPPN3_L	S2	4	8	7	UCPH
81	EPPN4_L	S1	5	9	7	UCPH
82	EPPN4_L	S2	5	10	7	UCPH
83	EPPN2_L	S2	6	11	7	UCPH
84	EPPN3_H	S1	6	12	7	UCPH
85	EPPN4_H	S2	1	1	8	UCPH
86	EPPN3_H	S1	1	2	8	UCPH
87	EPPN2_L	S2	2	3	8	UCPH
88	EPPN3_L	S1	2	4	8	UCPH
89	EPPN_T	S2	3	5	8	UCPH
90	EPPN_T	S1	3	6	8	UCPH
91	EPPN2_L	S1	4	7	8	UCPH
92	EPPN1_H	S2	4	8	8	UCPH
93	EPPN2_H	S1	5	9	8	UCPH
94	EPPN3_L	S2	5	10	8	UCPH
95	EPPN4_L	S2	6	11	8	UCPH
96	EPPN1_L	S1	6	12	8	UCPH
97	EPPN1_L	S2	1	1	9	UCPH
98	EPPN1_L	S1	1	2	9	UCPH
99	EPPN3_H	S2	2	3	9	UCPH
100	EPPN3_H	S1	2	4	9	UCPH
101	EPPN2_L	S2	3	5	9	UCPH
102	EPPN2_H	S1	3	6	9	UCPH
103	EPPN1_H	S1	4	7	9	UCPH
104	EPPN4_L	S2	4	8	9	UCPH
105	EPPN3_L	S1	5	9	9	UCPH
106	EPPN2_H	S2	5	10	9	UCPH
107	EPPN4_H	S2	6	11	9	UCPH
108	EPPN_T	S1	6	12	9	UCPH
